Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,36.059182,[22 69] ; [197 133],[47.33729216 43.66270784] ; [171.66270784 158.33729216],1
d1,1,0.0,34.622751,[36 56] ; [239  92],[59.8108747 32.1891253] ; [215.1891253 115.8108747],1
a4,1,0.0,27.814338,[20 72] ; [174 156],[42.29383886 49.70616114] ; [151.70616114 178.29383886],1
r1,1,0.0,27.67118,[62 30] ; [295  34],[78.01425178 13.98574822] ; [278.98574822  50.01425178],1
a3,1,1e-06,25.026886,[53 39] ; [272  58],[70.85308057 21.14691943] ; [254.14691943  75.85308057],1
u1,1,2e-06,22.370451,[ 3 89] ; [ 86 245],[19.356974 72.643026] ; [ 69.643026 261.356974],1
d5,1,3.5e-05,17.134818,[67 25] ; [297  34],[79.1678487 12.8321513] ; [284.8321513  46.1678487],1
d4,1,7.8e-05,15.609794,[67 24] ; [297  34],[78.492891 12.507109] ; [285.507109  45.492891],1
a6,1,0.00018,14.029784,[51 41] ; [249  81],[65.4028436 26.5971564] ; [234.5971564  95.4028436],1
n4,1,0.000557,11.915014,[62 29] ; [278  52],[73.49168646 17.50831354] ; [266.50831354  63.49168646],1
p3,1,0.001075,10.69351,[38 54] ; [200 131],[51.76359338 40.23640662] ; [186.23640662 144.76359338],0
r4,1,0.001575,9.989065,[77 15] ; [311  20],[84.38770686  7.61229314] ; [303.61229314  27.38770686],0
p10,1,0.002289,9.302155,[67 22] ; [290  39],[76.01196172 12.98803828] ; [280.98803828  48.01196172],0
s7,1,0.00278,8.946597,[35 52] ; [183 131],[47.2967581 39.7032419] ; [170.7032419 143.2967581],0
p9,1,0.003645,8.452699,[73 17] ; [300  27],[80.50359712  9.49640288] ; [292.49640288  34.50359712],0
p4,1,0.007361,7.182605,[50 41] ; [230  99],[60.66666667 30.33333333] ; [219.33333333 109.66666667],0
r2,1,0.009294,6.76551,[81  9] ; [315  11],[85.67307692  4.32692308] ; [310.32692308  15.67307692],0
s2,1,0.01745,5.65058,[38 53] ; [182 144],[48.00959233 42.99040767] ; [171.99040767 154.00959233],0
