Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,22.093257,[4 7] ; [66  6],[9.27710843 1.72289157] ; [60.72289157 11.27710843],1
v4,1,1.5e-05,18.676572,[6 5] ; [69  3],[9.93975904 1.06024096] ; [65.06024096  6.93975904],1
a1,1,0.000189,13.937136,[3 8] ; [ 1 71],[ 0.53012048 10.46987952] ; [ 3.46987952 68.53012048],1
r1,1,0.000579,11.84158,[3 8] ; [56 16],[7.81927711 3.18072289] ; [51.18072289 20.81927711],1
a7,1,0.002539,9.112242,[3 8] ; [52 19],[7.37804878 3.62195122] ; [47.62195122 23.37804878],0
s3,1,0.009192,6.785213,[7 4] ; [64  6],[9.64197531 1.35802469] ; [61.35802469  8.64197531],0
s7,1,0.017045,5.6917,[3 8] ; [45 24],[6.6 4.4] ; [41.4 27.6],0
r3,1,0.059888,3.540472,[8 3] ; [66  6],[9.80722892 1.19277108] ; [64.19277108  7.80722892],0
v2,1,0.071458,3.249213,[2 9] ; [33 37],[4.75308642 6.24691358] ; [30.24691358 39.75308642],0
p2,1,0.080406,3.056668,[6 5] ; [56 15],[8.31707317 2.68292683] ; [53.68292683 17.31707317],0
s5,1,0.111725,2.529644,[2 9] ; [30 39],[4.4 6.6] ; [27.6 41.4],0
p11,1,0.126318,2.337182,[6 5] ; [55 17],[8.08433735 2.91566265] ; [52.91566265 19.08433735],0
n5,1,0.126318,2.337182,[6 5] ; [55 17],[8.08433735 2.91566265] ; [52.91566265 19.08433735],0
u3,1,0.143391,2.14119,[1 3] ; [19 11],[2.35294118 1.64705882] ; [17.64705882 12.35294118],0
v3,1,0.15824,1.990967,[2 9] ; [29 43],[4.10843373 6.89156627] ; [26.89156627 45.10843373],0
p9,1,0.169311,1.88903,[7 4] ; [58 13],[8.7195122 2.2804878] ; [56.2804878 14.7195122],0
d2,1,0.184244,1.763053,[ 1 10] ; [20 52],[2.78313253 8.21686747] ; [18.21686747 53.78313253],0
b2,1,0.188742,1.727409,[1 6] ; [18 27],[2.55769231 4.44230769] ; [16.44230769 28.55769231],0
b3,1,0.188742,1.727409,[1 6] ; [18 27],[2.55769231 4.44230769] ; [16.44230769 28.55769231],0
p4,1,0.201074,1.634558,[8 3] ; [37 34],[6.03658537 4.96341463] ; [38.96341463 32.03658537],0
b4,1,0.20194,1.628291,[4 7] ; [41 31],[5.96385542 5.03614458] ; [39.03614458 32.96385542],0
s8,1,0.215047,1.537119,[3 8] ; [34 38],[4.90361446 6.09638554] ; [32.09638554 39.90361446],0
s1,1,0.218574,1.513708,[2 9] ; [ 5 66],[ 0.93902439 10.06097561] ; [ 6.06097561 64.93902439],0
n4,1,0.325909,0.965084,[6 5] ; [50 22],[7.42168675 3.57831325] ; [48.57831325 23.42168675],0
p6,1,0.390522,0.737318,[3 8] ; [29 42],[4.29268293 6.70731707] ; [27.70731707 43.29268293],0
a5,1,0.392643,0.730743,[5 6] ; [42 29],[6.30487805 4.69512195] ; [40.69512195 30.30487805],0
b1,1,0.422123,0.644396,[6 5] ; [30 42],[4.77108434 6.22891566] ; [31.22891566 40.77108434],0
v1,1,0.424195,0.638664,[4 7] ; [35 36],[5.23170732 5.76829268] ; [33.76829268 37.23170732],0
n6,1,0.440371,0.595314,[7 3] ; [58 14],[7.92682927 2.07317073] ; [57.07317073 14.92682927],0
p8,1,0.444627,0.584312,[5 6] ; [41 30],[6.17073171 4.82926829] ; [39.82926829 31.17073171],0
a4,1,0.449572,0.57173,[ 1 10] ; [13 58],[1.87804878 9.12195122] ; [12.12195122 58.87804878],0
u2,1,0.484034,0.489762,[3 1] ; [17 13],[2.35294118 1.64705882] ; [17.64705882 12.35294118],0
p7,1,0.50483,0.444769,[8 3] ; [43 26],[7.0125 3.9875] ; [43.9875 25.0125],0
b5,1,0.510794,0.43244,[8 3] ; [45 27],[7.02409639 3.97590361] ; [45.97590361 26.02409639],0
p1,1,0.576162,0.312481,[ 1 10] ; [11 60],[1.6097561 9.3902439] ; [10.3902439 60.6097561],0
d4,1,0.6054,0.266928,[8 3] ; [46 25],[7.24390244 3.75609756] ; [46.75609756 24.24390244],0
p5,1,0.631782,0.229653,[2 9] ; [ 9 61],[1.49382716 9.50617284] ; [ 9.50617284 60.49382716],0
p10,1,0.646777,0.209987,[8 3] ; [56 15],[8.58536585 2.41463415] ; [55.41463415 15.58536585],0
a6,1,0.648836,0.20737,[7 4] ; [40 31],[6.30487805 4.69512195] ; [40.69512195 30.30487805],0
s4,1,0.689754,0.159352,[2 9] ; [17 55],[2.51807229 8.48192771] ; [16.48192771 55.51807229],0
a3,1,0.712158,0.136131,[7 4] ; [41 30],[6.43902439 4.56097561] ; [41.56097561 29.43902439],0
d3,1,0.81253,0.056247,[6 5] ; [36 35],[5.63414634 5.36585366] ; [36.36585366 34.63414634],0
p3,1,0.841693,0.039891,[5 6] ; [30 41],[4.69512195 6.30487805] ; [30.30487805 40.69512195],0
s6,1,0.871708,0.026079,[8 3] ; [54 18],[8.21686747 2.78313253] ; [53.78313253 18.21686747],0
a8,1,0.873031,0.025539,[2 8] ; [12 55],[1.81818182 8.18181818] ; [12.18181818 54.81818182],0
p12,1,0.94363,0.005,[ 1 10] ; [ 6 65],[ 0.93902439 10.06097561] ; [ 6.06097561 64.93902439],0
d1,1,0.947314,0.004367,[ 1 10] ; [ 7 65],[1.06024096 9.93975904] ; [ 6.93975904 65.06024096],0
