Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,35.339394,[ 8 26] ; [69 16],[22. 12.] ; [55. 30.],1
p11,1,0.007503,7.148506,[17 17] ; [64 21],[23.14285714 10.85714286] ; [57.85714286 27.14285714],0
s6,1,0.008389,6.948529,[13 21] ; [55 30],[19.42857143 14.57142857] ; [48.57142857 36.42857143],0
s8,1,0.010843,6.490909,[ 6 28] ; [36 49],[12. 22.] ; [30. 55.],0
a7,1,0.037292,4.337048,[19 15] ; [64 21],[23.71428571 10.28571429] ; [59.28571429 25.71428571],0
v4,1,0.050616,3.820922,[27  5] ; [80  4],[29.51724138  2.48275862] ; [77.48275862  6.51724138],0
s7,1,0.057976,3.594346,[ 6 23] ; [33 49],[10.18918919 18.81081081] ; [28.81081081 53.18918919],0
b3,1,0.062558,3.468249,[ 2 19] ; [14 32],[ 5.01492537 15.98507463] ; [10.98507463 35.01492537],0
b2,1,0.062558,3.468249,[ 2 19] ; [14 32],[ 5.01492537 15.98507463] ; [10.98507463 35.01492537],0
b5,1,0.067247,3.348968,[18 16] ; [60 25],[22.28571429 11.71428571] ; [55.71428571 29.28571429],0
n5,1,0.069878,3.285879,[10 24] ; [40 44],[14.40677966 19.59322034] ; [35.59322034 48.40677966],0
s2,1,0.076221,3.143699,[ 9 25] ; [37 47],[13.25423729 20.74576271] ; [32.74576271 51.25423729],0
b1,1,0.08171,3.03056,[22 12] ; [40 45],[17.71428571 16.28571429] ; [44.28571429 40.71428571],0
p4,1,0.092686,2.82709,[13 21] ; [47 38],[17.14285714 16.85714286] ; [42.85714286 42.14285714],0
d3,1,0.103967,2.643614,[19 15] ; [60 24],[22.76271186 11.23728814] ; [56.23728814 27.76271186],0
r2,1,0.107721,2.587345,[27  7] ; [75  8],[29.64102564  4.35897436] ; [72.35897436 10.64102564],0
d2,1,0.116662,2.461567,[16 18] ; [27 58],[12.28571429 21.71428571] ; [30.71428571 54.28571429],0
n1,1,0.132725,2.260334,[ 2 11] ; [ 8 12],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
v2,1,0.167464,1.905497,[12 21] ; [40 39],[15.32142857 17.67857143] ; [36.67857143 42.32142857],0
s4,1,0.212022,1.557563,[ 9 25] ; [14 71],[ 6.57142857 27.42857143] ; [16.42857143 68.57142857],0
b4,1,0.216112,1.53,[23 11] ; [47 38],[20. 14.] ; [50. 35.],0
p8,1,0.221963,1.491633,[12 22] ; [40 44],[14.98305085 19.01694915] ; [37.01694915 46.98305085],0
v1,1,0.224704,1.474073,[13 21] ; [41 40],[15.96521739 18.03478261] ; [38.03478261 42.96521739],0
u2,1,0.2449,1.352163,[9 6] ; [23  7],[10.66666667  4.33333333] ; [21.33333333  8.66666667],0
a8,1,0.285643,1.140044,[ 1 30] ; [ 7 69],[ 2.31775701 28.68224299] ; [ 5.68224299 70.31775701],0
n2,1,0.306702,1.044825,[9 5] ; [16  4],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
n3,1,0.306702,1.044825,[9 5] ; [16  4],[10.29411765  3.70588235] ; [14.70588235  5.29411765],0
a5,1,0.344424,0.893897,[18 16] ; [53 32],[20.28571429 13.71428571] ; [50.71428571 34.28571429],0
s5,1,0.412994,0.670164,[ 6 27] ; [21 62],[ 7.68103448 25.31896552] ; [19.31896552 63.68103448],0
a3,1,0.438999,0.598898,[19 15] ; [54 31],[20.85714286 13.14285714] ; [52.14285714 32.85714286],0
d4,1,0.479214,0.500652,[24  9] ; [67 18],[25.44915254  7.55084746] ; [65.55084746 19.44915254],0
d1,1,0.560389,0.339031,[14 20] ; [40 45],[15.42857143 18.57142857] ; [38.57142857 46.42857143],0
v3,1,0.629063,0.233333,[ 7 25] ; [21 59],[ 8. 24.] ; [20. 60.],0
p6,1,0.636421,0.223453,[ 8 25] ; [24 60],[ 9.02564103 23.97435897] ; [22.97435897 61.02564103],0
a6,1,0.65607,0.198333,[23 11] ; [61 24],[24. 10.] ; [60. 25.],0
r1,1,0.666802,0.185365,[26  8] ; [61 23],[25.06779661  8.93220339] ; [61.93220339 22.06779661],0
r4,1,0.669406,0.182298,[26  8] ; [68 17],[26.85714286  7.14285714] ; [67.14285714 17.85714286],0
s3,1,0.678187,0.172174,[17 17] ; [45 38],[18.01709402 15.98290598] ; [43.98290598 39.01709402],0
n4,1,0.684343,0.165278,[19 15] ; [44 41],[18. 16.] ; [45. 40.],0
r3,1,0.700178,0.148287,[30  4] ; [77  8],[30.57142857  3.42857143] ; [76.42857143  8.57142857],0
a4,1,0.710972,0.137308,[12 22] ; [27 58],[11.14285714 22.85714286] ; [27.85714286 57.14285714],0
d5,1,0.789438,0.071311,[26  8] ; [63 22],[25.42857143  8.57142857] ; [63.57142857 21.42857143],0
s1,1,0.841507,0.039986,[ 1 32] ; [ 2 82],[ 0.84615385 32.15384615] ; [ 2.15384615 81.84615385],0
p1,1,0.846494,0.037479,[ 2 31] ; [ 6 79],[ 2.23728814 30.76271186] ; [ 5.76271186 79.23728814],0
p3,1,0.906495,0.013797,[14 20] ; [36 49],[14.28571429 19.71428571] ; [35.71428571 49.28571429],0
u1,1,0.920278,0.010017,[ 3 31] ; [ 8 77],[ 3.14285714 30.85714286] ; [ 7.85714286 77.14285714],0
p7,1,0.925801,0.008673,[20 14] ; [49 33],[20.22413793 13.77586207] ; [48.77586207 33.22413793],0
a2,1,0.935517,0.006546,[ 5 29] ; [13 72],[ 5.14285714 28.85714286] ; [12.85714286 72.14285714],0
u3,1,1.0,0.0,[10  5] ; [20 10],[10.  5.] ; [20. 10.],0
