Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,164.206542,[470  77] ; [49 95],[410.84370478 136.15629522] ; [108.15629522  35.84370478],1
n6,1,0.0,52.136957,[489  58] ; [94 51],[460.83959538  86.16040462] ; [122.16040462  22.83959538],1
s7,1,1e-06,25.08528,[270 250] ; [ 39 100],[243.82397572 276.17602428] ; [65.17602428 73.82397572],1
a5,1,3e-06,21.623049,[427 121] ; [86 60],[405.0778098 142.9221902] ; [107.9221902  38.0778098],1
p6,1,1.1e-05,19.268808,[213 326] ; [ 28 114],[190.74743025 348.25256975] ; [50.25256975 91.74743025],1
p4,1,1.7e-05,18.47425,[345 198] ; [63 81],[322.48034934 220.51965066] ; [85.51965066 58.48034934],1
v3,1,6.4e-05,15.969641,[243 283] ; [37 99],[222.47734139 303.52265861] ; [57.52265861 78.47734139],1
p10,1,0.000109,14.973693,[454  89] ; [99 44],[437.7244898 105.2755102] ; [115.2755102  27.7244898],1
p3,1,0.000268,13.280481,[292 253] ; [53 92],[272.5 272.5] ; [72.5 72.5],1
a4,1,0.0003,13.068833,[263 282] ; [ 46 100],[243.71201158 301.28798842] ; [65.28798842 80.71201158],1
d2,1,0.000398,12.539884,[284 261] ; [52 94],[265.00723589 279.99276411] ; [70.99276411 75.00723589],1
a8,1,0.000621,11.713323,[ 93 401] ; [  9 127],[ 79.98095238 414.01904762] ; [ 22.01904762 113.98095238],1
p2,1,0.000863,11.101577,[469  77] ; [107  37],[455.79130435  90.20869565] ; [120.20869565  23.79130435],1
s8,1,0.001004,10.819819,[256 289] ; [46 99],[238.53623188 306.46376812] ; [63.46376812 81.53623188],0
a3,1,0.001217,10.464424,[403 142] ; [88 58],[387.25759768 157.74240232] ; [103.74240232  42.25759768],0
v1,1,0.001741,9.804747,[308 226] ; [61 81],[291.48816568 242.51183432] ; [77.51183432 64.48816568],0
d1,1,0.002087,9.471207,[337 212] ; [69 77],[320.71079137 228.28920863] ; [85.28920863 60.71079137],0
d5,1,0.002216,9.361196,[454  92] ; [105  41],[441.06069364 104.93930636] ; [117.93930636  28.06069364],0
p11,1,0.002928,8.851591,[455  94] ; [105  41],[442.35971223 106.64028777] ; [117.64028777  28.35971223],0
s6,1,0.004174,8.206386,[362 178] ; [78 66],[347.36842105 192.63157895] ; [92.63157895 51.36842105],0
u1,1,0.005754,7.6258,[106 443] ; [ 14 132],[ 94.79136691 454.20863309] ; [ 25.20863309 120.79136691],0
a2,1,0.008459,6.93358,[144 405] ; [ 23 123],[131.91798561 417.08201439] ; [ 35.08201439 110.91798561],0
p5,1,0.008908,6.841267,[ 73 469] ; [  8 136],[ 63.99708455 478.00291545] ; [ 17.00291545 126.99708455],0
p9,1,0.010751,6.505943,[463  77] ; [110  33],[453.03074671  86.96925329] ; [119.96925329  23.03074671],0
s3,1,0.011518,6.383523,[302 238] ; [64 81],[288.52554745 251.47445255] ; [77.47445255 67.52554745],0
s2,1,0.013495,6.10299,[270 276] ; [55 90],[256.80173661 289.19826339] ; [68.19826339 76.80173661],0
