Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,6.3e-05,15.999854,[32 24] ; [407  99],[43.74377224 12.25622776] ; [395.25622776 110.74377224],1
d1,1,0.000328,12.900677,[23 33] ; [332 175],[35.31083481 20.68916519] ; [319.68916519 187.31083481],1
n6,1,0.000415,12.461628,[43 12] ; [467  38],[50.08928571  4.91071429] ; [459.91071429  45.08928571],1
p3,1,0.000857,11.113547,[18 38] ; [279 223],[29.80645161 26.19354839] ; [267.19354839 234.80645161],1
d2,1,0.001977,9.570614,[19 37] ; [280 223],[29.95348837 26.04651163] ; [269.04651163 233.95348837],0
r2,1,0.004044,8.263889,[51  5] ; [493  11],[54.4  1.6] ; [489.6  14.4],0
n1,1,0.006257,7.474741,[ 3 16] ; [46 46],[ 8.38738739 10.61261261] ; [40.61261261 51.38738739],0
p5,1,0.016207,5.780321,[ 2 54] ; [ 77 423],[ 7.95683453 48.04316547] ; [ 71.04316547 428.95683453],0
p10,1,0.018694,5.529941,[41 14] ; [432  68],[46.87387387  8.12612613] ; [426.12612613  73.87387387],0
s5,1,0.025091,5.017597,[13 42] ; [191 298],[20.625 34.375] ; [183.375 305.625],0
p4,1,0.02664,4.913987,[29 27] ; [334 167],[36.49551167 19.50448833] ; [326.50448833 174.49551167],0
u1,1,0.0273,4.871737,[ 6 50] ; [120 387],[12.53285968 43.46714032] ; [113.46714032 393.53285968],0
s4,1,0.031549,4.622829,[14 42] ; [ 70 426],[ 8.52173913 47.47826087] ; [ 75.47826087 420.52173913],0
d5,1,0.034808,4.454591,[41 15] ; [425  79],[46.6  9.4] ; [419.4  84.6],0
p6,1,0.042885,4.099939,[15 40] ; [206 292],[21.9801085 33.0198915] ; [199.0198915 298.9801085],0
v3,1,0.044993,4.018894,[18 37] ; [229 259],[25.01841621 29.98158379] ; [221.98158379 266.01841621],0
s7,1,0.046477,3.964205,[22 30] ; [273 208],[28.7804878 23.2195122] ; [266.2195122 214.7804878],0
a4,1,0.060988,3.510309,[21 35] ; [255 248],[27.64937388 28.35062612] ; [248.35062612 254.64937388],0
s3,1,0.070654,3.267753,[27 29] ; [300 194],[33.29454545 22.70545455] ; [293.70545455 200.29454545],0
s6,1,0.079901,3.066909,[35 21] ; [364 131],[40.55172414 15.44827586] ; [358.44827586 136.55172414],0
a8,1,0.085923,2.949146,[ 4 46] ; [ 79 372],[ 8.28343313 41.71656687] ; [ 74.71656687 376.28343313],0
p12,1,0.095492,2.779266,[ 2 54] ; [ 53 448],[ 5.52962298 50.47037702] ; [ 49.47037702 451.52962298],0
p11,1,0.09954,2.712891,[41 15] ; [417  90],[45.55595027 10.44404973] ; [412.44404973  94.55595027],0
s2,1,0.127484,2.322874,[25 30] ; [280 218],[30.33453888 24.66546112] ; [274.66546112 223.33453888],0
p2,1,0.171576,1.869117,[44 12] ; [430  73],[47.48479428  8.51520572] ; [426.51520572  76.48479428],0
s8,1,0.176242,1.829032,[23 33] ; [253 247],[27.79856115 28.20143885] ; [248.20143885 251.79856115],0
a2,1,0.200695,1.637307,[12 44] ; [150 357],[16.11367673 39.88632327] ; [145.88632327 361.11367673],0
u3,1,0.259891,1.269335,[12  4] ; [75 49],[9.94285714 6.05714286] ; [77.05714286 46.94285714],0
r4,1,0.26093,1.263817,[52  4] ; [487  20],[53.61278863  2.38721137] ; [485.38721137  21.61278863],0
p1,1,0.283948,1.148097,[ 3 53] ; [ 49 454],[ 5.20930233 50.79069767] ; [ 46.79069767 456.20930233],0
r3,1,0.28996,1.119808,[51  4] ; [483  21],[52.54025045  2.45974955] ; [481.45974955  22.54025045],0
p9,1,0.313707,1.015006,[45 10] ; [432  66],[47.44122966  7.55877034] ; [429.55877034  68.44122966],0
u2,1,0.33544,0.927783,[11  5] ; [69 54],[9.20863309 6.79136691] ; [70.79136691 52.20863309],0
d3,1,0.40246,0.700963,[37 19] ; [360 144],[39.7 16.3] ; [357.3 146.7],0
v1,1,0.40384,0.696863,[30 25] ; [300 197],[32.88043478 22.11956522] ; [297.11956522 199.88043478],0
b5,1,0.409769,0.67947,[36 20] ; [297 210],[33.12255773 22.87744227] ; [299.87744227 207.12255773],0
a3,1,0.419938,0.65049,[40 16] ; [383 119],[42.4516129 13.5483871] ; [380.5483871 121.4516129],0
s1,1,0.448979,0.573228,[ 1 54] ; [ 19 477],[ 1.99637024 53.00362976] ; [ 18.00362976 477.99637024],0
n2,1,0.465798,0.531927,[16  3] ; [72 22],[14.79646018  4.20353982] ; [73.20353982 20.79646018],0
p8,1,0.480239,0.498321,[29 26] ; [285 209],[31.4571949 23.5428051] ; [282.5428051 211.4571949],0
b4,1,0.563751,0.333251,[30 26] ; [292 215],[32.02841918 23.97158082] ; [289.97158082 217.02841918],0
n3,1,0.584222,0.299458,[12  7] ; [64 28],[13.00900901  5.99099099] ; [62.99099099 29.00900901],0
u4,1,0.616201,0.251243,[ 1 55] ; [ 15 492],[ 1.59147425 54.40852575] ; [ 14.40852575 492.59147425],0
a6,1,0.695858,0.152816,[38 18] ; [354 149],[39.27012522 16.72987478] ; [352.72987478 150.27012522],0
a7,1,0.701474,0.146943,[40 16] ; [372 132],[41.2 14.8] ; [370.8 133.2],0
d4,1,0.726172,0.122656,[45 10] ; [420  82],[45.91561939  9.08438061] ; [419.08438061  82.91561939],0
p7,1,0.776158,0.080843,[35 18] ; [333 157],[35.91896869 17.08103131] ; [332.08103131 157.91896869],0
b2,1,0.782429,0.076261,[11 18] ; [131 192],[11.69886364 17.30113636] ; [130.30113636 192.69886364],0
b3,1,0.782429,0.076261,[11 18] ; [131 192],[11.69886364 17.30113636] ; [130.30113636 192.69886364],0
v2,1,0.872357,0.025813,[31 22] ; [291 197],[31.54528651 21.45471349] ; [290.45471349 197.54528651],0
b1,1,0.949252,0.004051,[23 33] ; [206 301],[22.77797513 33.22202487] ; [206.22202487 300.77797513],0
