Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,22.951261,[24  8] ; [ 4 25],[14.68852459 17.31147541] ; [13.31147541 15.68852459],1
v2,1,5.8e-05,16.151279,[28  3] ; [12 17],[20.66666667 10.33333333] ; [19.33333333  9.66666667],1
d5,1,0.000269,13.275594,[31  1] ; [17 12],[25.18032787  6.81967213] ; [22.81967213  6.18032787],1
p11,1,0.000714,11.452351,[29  3] ; [15 14],[23.08196721  8.91803279] ; [20.91803279  8.08196721],1
d4,1,0.003278,8.64592,[31  1] ; [20  9],[26.75409836  5.24590164] ; [24.24590164  4.75409836],0
a5,1,0.003425,8.565818,[23  9] ; [10 19],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
a3,1,0.004919,7.909022,[28  4] ; [16 13],[23.08196721  8.91803279] ; [20.91803279  8.08196721],0
r3,1,0.015184,5.895019,[31  1] ; [22  7],[27.80327869  4.19672131] ; [25.19672131  3.80327869],0
p2,1,0.025266,5.005562,[27  4] ; [18 11],[23.25  7.75] ; [21.75  7.25],0
d3,1,0.030213,4.697153,[25  7] ; [15 14],[20.98360656 11.01639344] ; [19.01639344  9.98360656],0
p6,1,0.047048,3.94367,[16 12] ; [ 9 20],[12.28070175 15.71929825] ; [12.71929825 16.28070175],0
p9,1,0.055219,3.675457,[29  3] ; [20  8],[26.13333333  5.86666667] ; [22.86666667  5.13333333],0
s3,1,0.067296,3.347767,[18 13] ; [10 19],[14.46666667 16.53333333] ; [13.53333333 15.46666667],0
p3,1,0.067296,3.347767,[18 13] ; [10 19],[14.46666667 16.53333333] ; [13.53333333 15.46666667],0
s8,1,0.073524,3.202547,[16 16] ; [ 8 21],[12.59016393 19.40983607] ; [11.40983607 17.59016393],0
r4,1,0.100437,2.698585,[25  7] ; [17 12],[22.03278689  9.96721311] ; [19.96721311  9.03278689],0
a4,1,0.1074,2.592062,[14 18] ; [ 7 22],[11.01639344 20.98360656] ; [ 9.98360656 19.01639344],0
v4,1,0.119864,2.419094,[29  3] ; [22  7],[26.75409836  5.24590164] ; [24.24590164  4.75409836],0
p7,1,0.12642,2.335929,[21 10] ; [14 15],[18.08333333 12.91666667] ; [16.91666667 12.08333333],0
a2,1,0.170805,1.875864,[ 6 26] ; [ 2 27],[ 4.19672131 27.80327869] ; [ 3.80327869 25.19672131],0
p10,1,0.185442,1.753463,[25  6] ; [19 10],[22.73333333  8.26666667] ; [21.26666667  7.73333333],0
n1,1,0.210096,1.570767,[2 7] ; [5 5],[3.31578947 5.68421053] ; [3.68421053 6.31578947],0
n6,1,0.213355,1.548512,[29  3] ; [23  6],[27.27868852  4.72131148] ; [24.72131148  4.27868852],0
p4,1,0.235159,1.409382,[16 14] ; [11 18],[13.72881356 16.27118644] ; [13.27118644 15.72881356],0
s5,1,0.244486,1.354542,[ 8 21] ; [ 4 23],[ 6.21428571 22.78571429] ; [ 5.78571429 21.21428571],0
b2,1,0.253605,1.303337,[ 8 12] ; [10  7],[ 9.72972973 10.27027027] ; [8.27027027 8.72972973],0
b3,1,0.253605,1.303337,[ 8 12] ; [10  7],[ 9.72972973 10.27027027] ; [8.27027027 8.72972973],0
p8,1,0.293223,1.104762,[16 13] ; [12 17],[14. 15.] ; [14. 15.],0
s6,1,0.366909,0.814108,[21 10] ; [14 11],[19.375 11.625] ; [15.625  9.375],0
a1,1,0.463009,0.53861,[ 4 28] ; [ 2 27],[ 3.14754098 28.85245902] ; [ 2.85245902 26.14754098],0
u3,1,0.481556,0.495338,[2 2] ; [4 9],[1.41176471 2.58823529] ; [4.58823529 8.41176471],0
s7,1,0.580069,0.306122,[16 16] ; [12 16],[14.93333333 17.06666667] ; [13.06666667 14.93333333],0
p12,1,0.59375,0.284527,[ 2 29] ; [ 1 28],[ 1.55 29.45] ; [ 1.45 27.55],0
n5,1,0.599609,0.275585,[24  8] ; [20  9],[23.08196721  8.91803279] ; [20.91803279  8.08196721],0
v1,1,0.638812,0.2203,[20 11] ; [17 12],[19.11666667 11.88333333] ; [17.88333333 11.11666667],0
n2,1,0.639207,0.21978,[6 4] ; [7 3],[6.5 3.5] ; [6.5 3.5],0
a8,1,0.639904,0.218868,[ 2 27] ; [ 3 26],[ 2.5 26.5] ; [ 2.5 26.5],0
s2,1,0.644446,0.212974,[14 18] ; [11 18],[13.1147541 18.8852459] ; [11.8852459 17.1147541],0
a6,1,0.723155,0.12549,[18 14] ; [15 14],[17.31147541 14.68852459] ; [15.68852459 13.31147541],0
b5,1,0.756764,0.095934,[20 12] ; [17 12],[19.40983607 12.59016393] ; [17.59016393 11.40983607],0
b4,1,0.772702,0.08343,[21 11] ; [18 11],[20.45901639 11.54098361] ; [18.54098361 10.45901639],0
b1,1,0.772702,0.08343,[11 21] ; [11 18],[11.54098361 20.45901639] ; [10.45901639 18.54098361],0
p5,1,0.791981,0.069558,[ 4 28] ; [ 3 26],[ 3.67213115 28.32786885] ; [ 3.32786885 25.67213115],0
a7,1,0.806396,0.060063,[20 12] ; [19 10],[20.45901639 11.54098361] ; [18.54098361 10.45901639],0
