Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.791934,[74  2] ; [3 3],[71.36585366  4.63414634] ; [5.63414634 0.36585366],1
p10,1,0.000559,11.908517,[71  5] ; [3 3],[68.58536585  7.41463415] ; [5.41463415 0.58536585],1
d4,1,0.016276,5.772806,[67 10] ; [3 3],[64.93975904 12.06024096] ; [5.06024096 0.93975904],0
s1,1,0.022686,5.192397,[ 5 72] ; [2 4],[ 6.4939759 70.5060241] ; [0.5060241 5.4939759],0
s7,1,0.024048,5.091158,[54 17] ; [2 4],[51.63636364 19.36363636] ; [4.36363636 1.63636364],0
p8,1,0.025981,4.957264,[65 11] ; [3 3],[63.02439024 12.97560976] ; [4.97560976 1.02439024],0
p6,1,0.071861,3.24,[52 23] ; [2 4],[50. 25.] ; [4. 2.],0
v4,1,0.080584,3.053077,[73  2] ; [5 1],[72.22222222  2.77777778] ; [5.77777778 0.22222222],0
s8,1,0.13698,2.211561,[48 27] ; [2 4],[46.2962963 28.7037037] ; [3.7037037 2.2962963],0
b3,1,0.173141,1.855534,[29 27] ; [1 4],[27.54098361 28.45901639] ; [2.45901639 2.54098361],0
b2,1,0.173141,1.855534,[29 27] ; [1 4],[27.54098361 28.45901639] ; [2.45901639 2.54098361],0
v3,1,0.18321,1.771388,[41 33] ; [5 1],[42.55 31.45] ; [3.45 2.55],0
p7,1,0.223352,1.482701,[65 11] ; [4 2],[63.95121951 12.04878049] ; [5.04878049 0.95121951],0
s2,1,0.228052,1.452969,[44 31] ; [2 4],[42.59259259 32.40740741] ; [3.40740741 2.59259259],0
p12,1,0.236927,1.398787,[21 56] ; [3 3],[22.26506024 54.73493976] ; [1.73493976 4.26506024],0
p4,1,0.255318,1.293967,[73  4] ; [5 1],[72.36144578  4.63855422] ; [5.63855422 0.36144578],0
b5,1,0.258419,1.277209,[33 44] ; [4 2],[34.3253012 42.6746988] ; [2.6746988 3.3253012],0
r3,1,0.267008,1.232053,[71  4] ; [5 1],[70.37037037  4.62962963] ; [5.62962963 0.37037037],0
d3,1,0.305861,1.048465,[54 23] ; [3 3],[52.87951807 24.12048193] ; [4.12048193 1.87951807],0
a6,1,0.389166,0.741547,[51 26] ; [5 1],[51.95180723 25.04819277] ; [4.04819277 1.95180723],0
v1,1,0.45094,0.568289,[49 26] ; [3 3],[48.14814815 26.85185185] ; [3.85185185 2.14814815],0
d1,1,0.463286,0.537944,[50 27] ; [3 3],[49.1686747 27.8313253] ; [3.8313253 2.1686747],0
r2,1,0.467224,0.528533,[69  6] ; [5 1],[68.51851852  6.48148148] ; [5.48148148 0.51851852],0
s3,1,0.494398,0.466941,[48 27] ; [3 3],[47.22222222 27.77777778] ; [3.77777778 2.22222222],0
d2,1,0.525106,0.403853,[41 36] ; [4 2],[41.74698795 35.25301205] ; [3.25301205 2.74698795],0
r4,1,0.544758,0.366793,[70  7] ; [5 1],[69.57831325  7.42168675] ; [5.42168675 0.57831325],0
n4,1,0.544758,0.366793,[70  7] ; [5 1],[69.57831325  7.42168675] ; [5.42168675 0.57831325],0
n5,1,0.544758,0.366793,[70  7] ; [5 1],[69.57831325  7.42168675] ; [5.42168675 0.57831325],0
a4,1,0.56506,0.331019,[35 42] ; [2 4],[34.3253012 42.6746988] ; [2.6746988 3.3253012],0
u1,1,0.582816,0.301704,[18 59] ; [2 4],[18.55421687 58.44578313] ; [1.44578313 4.55421687],0
v2,1,0.603151,0.27027,[45 29] ; [3 3],[44.4 29.6] ; [3.6 2.4],0
b4,1,0.649106,0.207029,[44 33] ; [4 2],[44.53012048 32.46987952] ; [3.46987952 2.53012048],0
b1,1,0.649106,0.207029,[33 44] ; [2 4],[32.46987952 44.53012048] ; [2.53012048 3.46987952],0
s4,1,0.675121,0.17567,[10 65] ; [1 4],[10.3125 64.6875] ; [0.6875 4.3125],0
a5,1,0.706321,0.14198,[59 18] ; [5 1],[59.37349398 17.62650602] ; [4.62650602 1.37349398],0
a8,1,0.716322,0.132044,[10 61] ; [1 4],[10.27631579 60.72368421] ; [0.72368421 4.27631579],0
p11,1,0.718238,0.130187,[68  9] ; [5 1],[67.72289157  9.27710843] ; [5.27710843 0.72289157],0
a7,1,0.804286,0.061407,[55 22] ; [4 2],[54.73493976 22.26506024] ; [4.26506024 1.73493976],0
a2,1,0.810003,0.057803,[16 61] ; [1 5],[15.77108434 61.22891566] ; [1.22891566 4.77108434],0
a3,1,0.925983,0.00863,[63 14] ; [5 1],[63.08433735 13.91566265] ; [4.91566265 1.08433735],0
s6,1,0.951041,0.00377,[59 11] ; [5 1],[58.94736842 11.05263158] ; [5.05263158 0.94736842],0
s5,1,0.960779,0.002418,[46 22] ; [4 2],[45.94594595 22.05405405] ; [4.05405405 1.94594595],0
r1,1,0.978071,0.000756,[63 13] ; [5 1],[63.02439024 12.97560976] ; [4.97560976 1.02439024],0
a1,1,0.989119,0.000186,[13 64] ; [1 5],[12.98795181 64.01204819] ; [1.01204819 4.98795181],0
d5,1,0.989119,0.000186,[64 13] ; [5 1],[64.01204819 12.98795181] ; [4.98795181 1.01204819],0
