Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.002024,9.52782,[13  2] ; [ 6 12],[8.63636364 6.36363636] ; [10.36363636  7.63636364],0
b1,1,0.005905,7.578947,[25 13] ; [13 25],[19. 19.] ; [19. 19.],0
u3,1,0.009125,6.798162,[11  4] ; [ 5 13],[7.27272727 7.72727273] ; [8.72727273 9.27272727],0
v3,1,0.025384,4.997531,[11 22] ; [ 4 32],[ 7.17391304 25.82608696] ; [ 7.82608696 28.17391304],0
n1,1,0.048954,3.876923,[9 6] ; [ 3 10],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
s3,1,0.079696,3.071088,[23 14] ; [15 21],[19.26027397 17.73972603] ; [18.73972603 17.26027397],0
p9,1,0.083925,2.987198,[16 21] ; [24 14],[19.73333333 17.26666667] ; [20.26666667 17.73333333],0
r1,1,0.093398,2.814815,[28 10] ; [21 17],[24.5 13.5] ; [24.5 13.5],0
p2,1,0.105233,2.624383,[18 20] ; [25 13],[21.5 16.5] ; [21.5 16.5],0
v1,1,0.116826,2.459368,[18 20] ; [11 26],[14.69333333 23.30666667] ; [14.30666667 22.69333333],0
s1,1,0.165113,1.926761,[ 4 34] ; [ 1 37],[ 2.5 35.5] ; [ 2.5 35.5],0
s4,1,0.168716,1.894317,[11 27] ; [ 6 32],[ 8.5 29.5] ; [ 8.5 29.5],0
p1,1,0.234038,1.416149,[ 5 33] ; [ 2 36],[ 3.5 34.5] ; [ 3.5 34.5],0
d3,1,0.249868,1.324042,[15 23] ; [20 18],[17.5 20.5] ; [17.5 20.5],0
b5,1,0.251185,1.316701,[17 21] ; [22 16],[19.5 18.5] ; [19.5 18.5],0
n2,1,0.280828,1.163077,[12  3] ; [8 5],[10.71428571  4.28571429] ; [9.28571429 3.71428571],0
a8,1,0.303484,1.058824,[ 1 35] ; [ 3 33],[ 2. 34.] ; [ 2. 34.],0
v4,1,0.332998,0.937205,[29  8] ; [33  5],[30.58666667  6.41333333] ; [31.41333333  6.58666667],0
v2,1,0.400793,0.705946,[14 22] ; [18 19],[15.78082192 20.21917808] ; [16.21917808 20.78082192],0
p10,1,0.410661,0.676887,[15 22] ; [19 19],[16.77333333 20.22666667] ; [17.22666667 20.77333333],0
b3,1,0.423075,0.641759,[10 14] ; [ 7 16],[ 8.68085106 15.31914894] ; [ 8.31914894 14.68085106],0
b2,1,0.423075,0.641759,[10 14] ; [ 7 16],[ 8.68085106 15.31914894] ; [ 8.31914894 14.68085106],0
a6,1,0.472121,0.517007,[12 26] ; [15 23],[13.5 24.5] ; [13.5 24.5],0
d1,1,0.478695,0.501834,[13 25] ; [16 22],[14.5 23.5] ; [14.5 23.5],0
d5,1,0.478695,0.501834,[22 16] ; [25 13],[23.5 14.5] ; [23.5 14.5],0
n3,1,0.484118,0.489574,[10  4] ; [7 5],[9.15384615 4.84615385] ; [7.84615385 4.15384615],0
a4,1,0.487504,0.48203,[15 23] ; [18 20],[16.5 21.5] ; [16.5 21.5],0
p7,1,0.491147,0.474012,[18 20] ; [21 17],[19.5 18.5] ; [19.5 18.5],0
r2,1,0.496253,0.462939,[30  7] ; [33  5],[31.08  5.92] ; [31.92  6.08],0
r3,1,0.497341,0.460606,[32  6] ; [34  4],[33.  5.] ; [33.  5.],0
p4,1,0.535451,0.384036,[16 22] ; [13 24],[14.69333333 23.30666667] ; [14.30666667 22.69333333],0
a2,1,0.555798,0.347032,[ 1 37] ; [ 2 36],[ 1.5 36.5] ; [ 1.5 36.5],0
a3,1,0.570992,0.321026,[23 15] ; [20 17],[21.78666667 16.21333333] ; [21.21333333 15.78666667],0
s5,1,0.596701,0.28,[ 9 26] ; [11 24],[10. 25.] ; [10. 25.],0
r4,1,0.602375,0.271429,[29  9] ; [27 11],[28. 10.] ; [28. 10.],0
s7,1,0.63818,0.22113,[ 9 24] ; [12 25],[ 9.9 23.1] ; [11.1 25.9],0
b4,1,0.638819,0.22029,[22 16] ; [24 14],[23. 15.] ; [23. 15.],0
p11,1,0.638819,0.22029,[22 16] ; [24 14],[23. 15.] ; [23. 15.],0
s2,1,0.638819,0.22029,[14 24] ; [16 22],[15. 23.] ; [15. 23.],0
n4,1,0.642175,0.215909,[15 23] ; [17 21],[16. 22.] ; [16. 22.],0
p8,1,0.688284,0.16095,[14 24] ; [12 25],[13.17333333 24.82666667] ; [12.82666667 24.17333333],0
d4,1,0.797552,0.065801,[27 11] ; [28 10],[27.5 10.5] ; [27.5 10.5],0
p3,1,0.815443,0.05448,[16 22] ; [15 23],[15.5 22.5] ; [15.5 22.5],0
d2,1,0.815443,0.05448,[16 22] ; [15 23],[15.5 22.5] ; [15.5 22.5],0
s6,1,0.815889,0.054212,[17 20] ; [18 19],[17.5 19.5] ; [17.5 19.5],0
a5,1,0.816982,0.053559,[22 16] ; [21 17],[21.5 16.5] ; [21.5 16.5],0
p6,1,0.831759,0.045133,[ 8 28] ; [ 9 28],[ 8.38356164 27.61643836] ; [ 8.61643836 28.38356164],0
s8,1,0.853087,0.034292,[11 27] ; [10 27],[10.64 27.36] ; [10.36 26.64],0
a1,1,1.0,0.0,[ 3 35] ; [ 3 35],[ 3. 35.] ; [ 3. 35.],0
