Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,39.532164,[142  10] ; [2 6],[136.8  15.2] ; [7.2 0.8],1
r2,1,1.6e-05,18.585034,[146   5] ; [5 3],[143.40251572   7.59748428] ; [7.59748428 0.40251572],1
p9,1,0.000355,12.754054,[127  21] ; [3 5],[123.33333333  24.66666667] ; [6.66666667 1.33333333],1
r3,1,0.000469,12.234184,[143   8] ; [5 3],[140.55345912  10.44654088] ; [7.44654088 0.55345912],1
n2,1,0.001421,10.17797,[32  4] ; [1 3],[29.7  6.3] ; [3.3 0.7],0
s2,1,0.00188,9.662874,[100  50] ; [1 7],[95.88607595 54.11392405] ; [5.11392405 2.88607595],0
n6,1,0.002367,9.240652,[133  18] ; [4 4],[130.10691824  20.89308176] ; [6.89308176 1.10691824],0
s6,1,0.008634,6.897001,[128  22] ; [4 4],[125.3164557  24.6835443] ; [6.6835443 1.3164557],0
p7,1,0.00944,6.737699,[87 60] ; [1 7],[83.45806452 63.54193548] ; [4.54193548 3.45806452],0
p2,1,0.016344,5.765506,[127  25] ; [4 4],[124.45  27.55] ; [6.55 1.45],0
v1,1,0.019812,5.428344,[81 67] ; [1 7],[77.79487179 70.20512821] ; [4.20512821 3.79487179],0
s8,1,0.032308,4.582084,[77 73] ; [1 7],[74.05063291 75.94936709] ; [3.94936709 4.05063291],0
p10,1,0.044238,4.047438,[120  30] ; [4 4],[117.72151899  32.27848101] ; [6.27848101 1.72151899],0
p3,1,0.045612,3.995872,[74 78] ; [1 7],[71.25 80.75] ; [3.75 4.25],0
n3,1,0.05681,3.628144,[30  7] ; [1 2],[28.675  8.325] ; [2.325 0.675],0
d2,1,0.065304,3.397276,[82 69] ; [7 1],[84.52201258 66.47798742] ; [4.47798742 3.52201258],0
s3,1,0.069932,3.284608,[102  47] ; [3 5],[99.64968153 49.35031847] ; [5.35031847 2.64968153],0
p1,1,0.074734,3.175861,[ 11 140] ; [2 6],[ 12.34591195 138.65408805] ; [0.65408805 7.34591195],0
b5,1,0.087001,2.929004,[85 67] ; [2 6],[82.65 69.35] ; [4.35 3.65],0
n5,1,0.108162,2.580868,[114  37] ; [4 4],[112.06289308  38.93710692] ; [5.93710692 2.06289308],0
p8,1,0.116977,2.457334,[66 83] ; [1 6],[63.99358974 85.00641026] ; [3.00641026 3.99358974],0
p4,1,0.1181,2.442341,[80 70] ; [2 6],[77.84810127 72.15189873] ; [4.15189873 3.84810127],0
n4,1,0.166334,1.915679,[109  41] ; [4 4],[107.27848101  42.72151899] ; [5.72151899 2.27848101],0
a1,1,0.18138,1.786284,[  5 147] ; [1 7],[  5.7 146.3] ; [0.3 7.7],0
v2,1,0.219782,1.505792,[88 60] ; [3 5],[86.33333333 61.66666667] ; [4.66666667 3.33333333],0
s7,1,0.280947,1.162501,[82 62] ; [3 5],[80.52631579 63.47368421] ; [4.47368421 3.52631579],0
a8,1,0.309986,1.030737,[ 17 119] ; [2 6],[ 17.94444444 118.05555556] ; [1.05555556 6.94444444],0
a5,1,0.322483,0.978848,[118  34] ; [5 3],[116.85  35.15] ; [6.15 1.85],0
a6,1,0.361449,0.832851,[100  52] ; [4 4],[98.8 53.2] ; [5.2 2.8],0
b4,1,0.374259,0.789474,[90 62] ; [6 2],[91.2 60.8] ; [4.8 3.2],0
p5,1,0.416392,0.660475,[ 22 130] ; [2 6],[ 22.8 129.2] ; [1.2 6.8],0
p11,1,0.429906,0.623078,[114  38] ; [5 3],[113.05  38.95] ; [5.95 2.05],0
b1,1,0.478012,0.503395,[57 95] ; [4 4],[57.95 94.05] ; [3.05 4.95],0
s4,1,0.499866,0.455221,[ 34 116] ; [1 7],[ 33.2278481 116.7721519] ; [1.7721519 6.2278481],0
r1,1,0.503533,0.447483,[126  24] ; [6 2],[125.3164557  24.6835443] ; [6.6835443 1.3164557],0
a4,1,0.635946,0.224084,[70 82] ; [3 5],[69.35 82.65] ; [3.65 4.35],0
d5,1,0.671761,0.179549,[124  28] ; [7 1],[124.45  27.55] ; [6.55 1.45],0
a7,1,0.766704,0.088024,[102  49] ; [5 3],[101.6163522  49.3836478] ; [5.3836478 2.6163522],0
n1,1,0.784916,0.074484,[15 20] ; [2 2],[15.25641026 19.74358974] ; [1.74358974 2.25641026],0
d3,1,0.817986,0.052963,[101  51] ; [5 3],[100.7  51.3] ; [5.3 2.7],0
b2,1,0.919282,0.010269,[35 54] ; [3 5],[34.86597938 54.13402062] ; [3.13402062 4.86597938],0
b3,1,0.919282,0.010269,[35 54] ; [3 5],[34.86597938 54.13402062] ; [3.13402062 4.86597938],0
d1,1,0.940647,0.005544,[93 59] ; [5 3],[93.1 58.9] ; [4.9 3.1],0
a3,1,0.974616,0.001012,[114  37] ; [6 2],[113.96226415  37.03773585] ; [6.03773585 1.96226415],0
