Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,77.69568,[108  35] ; [ 66 164],[66.7077748 76.2922252] ; [107.2922252 122.7077748],1
p8,1,0.0,37.96916,[89 53] ; [ 69 160],[60.47439353 81.52560647] ; [ 97.52560647 131.47439353],1
p6,1,0.0,29.297442,[57 85] ; [ 35 195],[ 35.11827957 106.88172043] ; [ 56.88172043 173.11827957],1
p7,1,0.0,27.476167,[101  41] ; [ 98 129],[76.5799458 65.4200542] ; [122.4200542 104.5799458],1
p5,1,0.0,27.417293,[ 26 117] ; [  6 225],[ 12.23529412 130.76470588] ; [ 19.76470588 211.23529412],1
p1,1,6.9e-05,15.827325,[ 20 123] ; [  7 224],[ 10.32352941 132.67647059] ; [ 16.67647059 214.32352941],1
p9,1,0.000263,13.314011,[118  24] ; [149  78],[102.74796748  39.25203252] ; [164.25203252  62.74796748],1
s7,1,0.000315,12.978717,[64 69] ; [ 65 158],[48.19382022 84.80617978] ; [ 80.80617978 142.19382022],1
s8,1,0.000388,12.590403,[59 82] ; [ 57 177],[43.616 97.384] ; [ 72.384 161.616],1
s6,1,0.000507,12.091502,[85 53] ; [100 133],[68.81401617 69.18598383] ; [116.18598383 116.81401617],1
p10,1,0.000908,11.006765,[112  30] ; [143  86],[97.60107817 44.39892183] ; [157.39892183  71.60107817],1
s5,1,0.00091,11.002923,[44 94] ; [ 39 191],[ 31.125 106.875] ; [ 51.875 178.125],1
p2,1,0.00118,10.521648,[117  26] ; [154  78],[103.34133333  39.65866667] ; [167.65866667  64.34133333],0
n4,1,0.001782,9.761955,[115  28] ; [153  81],[101.65517241  41.34482759] ; [166.34482759  67.65517241],0
p11,1,0.002883,8.879969,[113  30] ; [151  83],[100.13793103  42.86206897] ; [163.86206897  70.13793103],0
s2,1,0.003224,8.676157,[64 78] ; [ 70 163],[50.74133333 91.25866667] ; [ 83.25866667 149.74133333],0
n6,1,0.004449,8.090631,[120  22] ; [167  66],[108.67733333  33.32266667] ; [178.32266667  54.67733333],0
r4,1,0.005367,7.751508,[126  17] ; [179  55],[115.68965517  27.31034483] ; [189.31034483  44.68965517],0
a5,1,0.005976,7.557398,[106  37] ; [141  93],[93.68965517 49.31034483] ; [153.31034483  80.68965517],0
s3,1,0.007028,7.265893,[77 64] ; [ 93 138],[64.43548387 76.56451613] ; [105.56451613 125.43548387],0
u1,1,0.00723,7.214992,[ 28 115] ; [ 23 211],[ 19.34482759 123.65517241] ; [ 31.65517241 202.34482759],0
v4,1,0.034693,4.460237,[131  11] ; [196  35],[124.48793566  17.51206434] ; [202.51206434  28.48793566],0
v2,1,0.053387,3.73175,[65 75] ; [ 80 141],[56.23268698 83.76731302] ; [ 88.76731302 132.23268698],0
r2,1,0.076566,3.136323,[130  11] ; [199  32],[124.7016129  16.2983871] ; [204.2983871  26.7016129],0
r1,1,0.080664,3.051475,[109  33] ; [160  74],[101.59042553  40.40957447] ; [167.40957447  66.59042553],0
v3,1,0.089502,2.883311,[44 95] ; [ 53 172],[ 37.04120879 101.95879121] ; [ 59.95879121 165.04120879],0
a3,1,0.092051,2.838131,[100  43] ; [143  90],[92.41755319 50.58244681] ; [150.58244681  82.41755319],0
b5,1,0.104816,2.6307,[69 74] ; [133 101],[76.62068966 66.37931034] ; [125.37931034 108.62068966],0
p12,1,0.112802,2.514519,[ 10 132] ; [  8 225],[  6.816 135.184] ; [ 11.184 221.816],0
n3,1,0.131633,2.273143,[24  8] ; [51 34],[20.51282051 11.48717949] ; [54.48717949 30.51282051],0
n5,1,0.153114,2.040953,[100  42] ; [146  85],[93.65147453 48.34852547] ; [152.34852547  78.65147453],0
r3,1,0.223819,1.479718,[130  12] ; [203  29],[126.43315508  15.56684492] ; [206.56684492  25.43315508],0
a2,1,0.246928,1.340602,[ 32 111] ; [ 41 193],[ 27.68965517 115.31034483] ; [ 45.31034483 188.68965517],0
a1,1,0.34641,0.886566,[ 10 133] ; [ 11 223],[  7.96551724 135.03448276] ; [ 13.03448276 220.96551724],0
s1,1,0.346678,0.885579,[  4 139] ; [ 11 220],[  5.73529412 137.26470588] ; [  9.26470588 221.73529412],0
b2,1,0.389104,0.74174,[34 57] ; [40 86],[31.03225806 59.96774194] ; [42.96774194 83.03225806],0
b3,1,0.389104,0.74174,[34 57] ; [40 86],[31.03225806 59.96774194] ; [42.96774194 83.03225806],0
n2,1,0.43596,0.606893,[19 13] ; [59 29],[20.8 11.2] ; [57.2 30.8],0
b4,1,0.446328,0.579959,[78 65] ; [137  97],[81.55172414 61.44827586] ; [133.44827586 100.55172414],0
a7,1,0.510053,0.433959,[101  42] ; [157  76],[98.12234043 44.87765957] ; [159.87765957  73.12234043],0
n1,1,0.520232,0.413433,[10 22] ; [32 53],[11.48717949 20.51282051] ; [30.51282051 54.48717949],0
d2,1,0.603249,0.270123,[66 76] ; [101 130],[63.57640751 78.42359249] ; [103.42359249 127.57640751],0
a4,1,0.671937,0.179345,[59 84] ; [ 91 142],[57.04787234 85.95212766] ; [ 92.95212766 140.04787234],0
u2,1,0.711843,0.136443,[22 21] ; [42 46],[21.00763359 21.99236641] ; [42.99236641 45.00763359],0
d1,1,0.741823,0.108531,[74 69] ; [117 117],[72.44827586 70.55172414] ; [118.55172414 115.44827586],0
a6,1,0.74748,0.103661,[95 48] ; [151  82],[93.55851064 49.44148936] ; [152.44148936  80.55851064],0
d3,1,0.74774,0.10344,[87 56] ; [145  87],[88.46933333 54.53066667] ; [143.53066667  88.46933333],0
u3,1,0.784213,0.074985,[19 23] ; [38 51],[18.27480916 23.72519084] ; [38.72519084 50.27480916],0
a8,1,0.835348,0.043201,[ 17 114] ; [ 30 188],[ 17.64183381 113.35816619] ; [ 29.35816619 188.64183381],0
b1,1,0.841257,0.040115,[59 84] ; [ 99 135],[59.93103448 83.06896552] ; [ 98.06896552 135.93103448],0
u4,1,0.869118,0.027152,[  1 142] ; [  2 232],[  1.13793103 141.86206897] ; [  1.86206897 232.13793103],0
d4,1,0.87106,0.026345,[110  33] ; [176  55],[109.35294118  33.64705882] ; [176.64705882  54.35294118],0
d5,1,0.997903,7e-06,[108  35] ; [176  57],[108.0106383  34.9893617] ; [175.9893617  57.0106383],0
