Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.8e-05,18.350391,[35 27] ; [213  47],[47.7515528 14.2484472] ; [200.2484472  59.7515528],1
a3,1,2.6e-05,17.708442,[37 26] ; [216  44],[49.34674923 13.65325077] ; [203.65325077  56.34674923],1
n5,1,0.000211,13.72777,[40 23] ; [219  41],[50.51702786 12.48297214] ; [208.48297214  51.51702786],1
s3,1,0.000238,13.506019,[39 23] ; [217  42],[49.44548287 12.55451713] ; [206.55451713  52.44548287],1
p5,1,0.002077,9.480145,[ 2 61] ; [ 49 209],[10.00934579 52.99065421] ; [ 40.99065421 217.00934579],0
n6,1,0.002248,9.335346,[48 15] ; [234  25],[55.17391304  7.82608696] ; [226.82608696  32.17391304],0
v3,1,0.002806,8.929534,[16 43] ; [122 129],[26.26451613 32.73548387] ; [111.73548387 139.26451613],0
s5,1,0.005055,7.859701,[19 41] ; [130 121],[28.74598071 31.25401929] ; [120.25401929 130.74598071],0
v2,1,0.008956,6.831515,[25 32] ; [158  94],[33.75728155 23.24271845] ; [149.24271845 102.75728155],0
n4,1,0.011725,6.352022,[45 18] ; [220  39],[51.84782609 11.15217391] ; [213.15217391  45.84782609],0
v4,1,0.027503,4.858929,[59  4] ; [256   4],[61.43962848  1.56037152] ; [253.56037152   6.43962848],0
u1,1,0.042897,4.099446,[ 9 54] ; [ 69 192],[15.16666667 47.83333333] ; [ 62.83333333 198.16666667],0
v1,1,0.055912,3.654691,[30 29] ; [162  90],[36.4244373 22.5755627] ; [155.5755627  96.4244373],0
n1,1,0.061003,3.509898,[ 3 10] ; [31 29],[6.05479452 6.94520548] ; [27.94520548 32.05479452],0
a5,1,0.071741,3.242733,[45 18] ; [213  48],[50.16666667 12.83333333] ; [207.83333333  53.16666667],0
r2,1,0.076724,3.132962,[57  5] ; [249   8],[59.47335423  2.52664577] ; [246.52664577  10.47335423],0
p9,1,0.077389,3.118897,[54  9] ; [241  19],[57.53869969  5.46130031] ; [237.46130031  22.53869969],0
d4,1,0.082018,3.024446,[49 14] ; [225  35],[53.44272446  9.55727554] ; [220.55727554  39.44272446],0
a7,1,0.11239,2.520283,[48 14] ; [175  86],[42.80495356 19.19504644] ; [180.19504644  80.80495356],0
r1,1,0.113807,2.500544,[49 13] ; [226  34],[52.95031056  9.04968944] ; [222.04968944  37.95031056],0
a1,1,0.125513,2.347146,[ 1 62] ; [ 17 244],[ 3.5 59.5] ; [ 14.5 246.5],0
p7,1,0.127927,2.317487,[38 23] ; [182  70],[42.87539936 18.12460064] ; [177.12460064  74.87539936],0
u3,1,0.212483,1.554429,[16 10] ; [34 11],[18.30985915  7.69014085] ; [31.69014085 13.30985915],0
d3,1,0.228034,1.453085,[40 23] ; [186  75],[43.94444444 19.05555556] ; [182.05555556  78.94444444],0
a2,1,0.248531,1.331542,[14 49] ; [ 77 184],[17.69444444 45.30555556] ; [ 73.30555556 187.69444444],0
b4,1,0.253309,1.304964,[40 23] ; [145 116],[35.97222222 27.02777778] ; [149.02777778 111.97222222],0
p10,1,0.268812,1.222799,[53 10] ; [230  28],[55.54205607  7.45794393] ; [227.45794393  30.54205607],0
b2,1,0.315763,1.006417,[13 25] ; [ 80 106],[15.77678571 22.22321429] ; [ 77.22321429 108.77678571],0
b3,1,0.315763,1.006417,[13 25] ; [ 80 106],[15.77678571 22.22321429] ; [ 77.22321429 108.77678571],0
p12,1,0.323974,0.972836,[ 5 58] ; [ 32 227],[ 7.23913043 55.76086957] ; [ 29.76086957 229.23913043],0
d1,1,0.404554,0.694747,[39 24] ; [176  85],[41.80555556 21.19444444] ; [173.19444444  87.80555556],0
p1,1,0.450106,0.570384,[ 5 58] ; [ 29 230],[ 6.65217391 56.34782609] ; [ 27.34782609 231.65217391],0
b5,1,0.506149,0.44202,[41 22] ; [158 103],[38.69444444 24.30555556] ; [160.30555556 100.69444444],0
a4,1,0.512132,0.429708,[28 35] ; [128 133],[30.33333333 32.66666667] ; [125.66666667 135.33333333],0
p4,1,0.525104,0.403857,[40 23] ; [176  84],[42.13003096 20.86996904] ; [173.86996904  86.13003096],0
d5,1,0.566417,0.328714,[56  7] ; [224  36],[54.6130031  8.3869969] ; [225.3869969  34.6130031],0
u2,1,0.571528,0.320133,[16 10] ; [30 14],[17.08571429  8.91428571] ; [28.91428571 15.08571429],0
