Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000288,13.147826,[11  4] ; [17 52],[ 5. 10.] ; [23. 46.],1
p11,1,0.083672,2.992098,[8 7] ; [21 49],[5.11764706 9.88235294] ; [23.88235294 46.11764706],0
p8,1,0.251531,1.314783,[ 4 11] ; [10 59],[ 2.5 12.5] ; [11.5 57.5],0
b1,1,0.591614,0.287831,[7 8] ; [38 32],[7.94117647 7.05882353] ; [37.05882353 32.94117647],0
p3,1,0.679289,0.170928,[ 4 11] ; [15 54],[ 3.39285714 11.60714286] ; [15.60714286 53.39285714],0
