Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.4e-05,17.160586,[3 5] ; [137  17],[6.91358025 1.08641975] ; [133.08641975  20.91358025],1
r2,1,0.000902,11.017901,[5 3] ; [144   9],[7.40372671 0.59627329] ; [141.59627329  11.40372671],1
r3,1,0.023241,5.150393,[6 2] ; [146   8],[7.50617284 0.49382716] ; [144.49382716   9.50617284],0
s2,1,0.040183,4.210147,[1 7] ; [76 77],[3.82608696 4.17391304] ; [73.17391304 79.82608696],0
p4,1,0.04545,4.001861,[1 7] ; [75 79],[3.75308642 4.24691358] ; [72.24691358 81.75308642],0
b1,1,0.05269,3.753732,[5 3] ; [ 46 108],[2.51851852 5.48148148] ; [ 48.48148148 105.51851852],0
b3,1,0.054092,3.709856,[5 3] ; [23 56],[2.57471264 5.42528736] ; [25.42528736 53.57471264],0
b2,1,0.054092,3.709856,[5 3] ; [23 56],[2.57471264 5.42528736] ; [25.42528736 53.57471264],0
a5,1,0.058881,3.568623,[3 5] ; [107  47],[5.43209877 2.56790123] ; [104.56790123  49.43209877],0
r1,1,0.080878,3.047167,[4 4] ; [118  35],[6.0621118 1.9378882] ; [115.9378882  37.0621118],0
p9,1,0.091247,2.852241,[6 2] ; [142  12],[7.30864198 0.69135802] ; [140.69135802  13.30864198],0
p3,1,0.095446,2.780042,[1 7] ; [65 89],[3.25925926 4.74074074] ; [62.74074074 91.25925926],0
d3,1,0.102279,2.669645,[4 4] ; [116  37],[5.96273292 2.03726708] ; [114.03726708  38.96273292],0
p11,1,0.111016,2.539703,[4 4] ; [116  38],[5.92592593 2.07407407] ; [114.07407407  39.92592593],0
s8,1,0.116339,2.46593,[1 7] ; [62 92],[3.11111111 4.88888889] ; [59.88888889 94.11111111],0
s6,1,0.12325,2.375531,[3 5] ; [98 54],[5.05 2.95] ; [95.95 56.05],0
b5,1,0.160012,1.97411,[3 5] ; [96 58],[4.88888889 3.11111111] ; [94.11111111 59.88888889],0
p7,1,0.17461,1.842911,[3 5] ; [93 58],[4.83018868 3.16981132] ; [91.16981132 59.83018868],0
a3,1,0.178276,1.811934,[7 1] ; [99 55],[5.2345679 2.7654321] ; [100.7654321  53.2345679],0
p2,1,0.179411,1.802499,[5 3] ; [125  28],[6.45962733 1.54037267] ; [123.54037267  29.45962733],0
d5,1,0.20006,1.641937,[5 3] ; [124  29],[6.40993789 1.59006211] ; [122.59006211  30.40993789],0
a7,1,0.221672,1.493512,[5 3] ; [123  30],[6.36024845 1.63975155] ; [121.63975155  31.36024845],0
s1,1,0.24324,1.361715,[1 7] ; [  6 148],[0.34567901 7.65432099] ; [  6.65432099 147.34567901],0
d1,1,0.258618,1.27614,[3 5] ; [89 65],[4.54320988 3.45679012] ; [87.45679012 66.54320988],0
n2,1,0.270172,1.215875,[1 2] ; [28 15],[1.89130435 1.10869565] ; [27.10869565 15.89130435],0
n6,1,0.2916,1.112219,[4 4] ; [104  49],[5.36645963 2.63354037] ; [102.63354037  50.36645963],0
v3,1,0.31084,1.027104,[1 7] ; [ 43 105],[2.25641026 5.74358974] ; [ 41.74358974 106.25641026],0
s3,1,0.403783,0.697033,[3 5] ; [80 72],[4.15 3.85] ; [78.85 73.15],0
n4,1,0.408527,0.683083,[2 6] ; [61 93],[3.11111111 4.88888889] ; [59.88888889 94.11111111],0
a8,1,0.422059,0.644576,[1 7] ; [  8 135],[0.47682119 7.52317881] ; [  8.52317881 134.47682119],0
d4,1,0.442296,0.590319,[6 2] ; [131  23],[6.7654321 1.2345679] ; [130.2345679  23.7654321],0
v2,1,0.456056,0.555557,[3 5] ; [74 71],[4.02614379 3.97385621] ; [72.97385621 72.02614379],0
p5,1,0.514541,0.424821,[1 7] ; [ 10 143],[0.54658385 7.45341615] ; [ 10.45341615 142.54658385],0
s7,1,0.538033,0.379198,[4 4] ; [59 92],[3.16981132 4.83018868] ; [59.83018868 91.16981132],0
s5,1,0.547937,0.361026,[3 4] ; [ 47 100],[2.27272727 4.72727273] ; [47.72727273 99.27272727],0
d2,1,0.584605,0.298849,[4 4] ; [62 92],[3.25925926 4.74074074] ; [62.74074074 91.25925926],0
p1,1,0.642163,0.215924,[1 7] ; [ 12 140],[0.65 7.35] ; [ 12.35 139.65],0
n1,1,0.76751,0.087399,[1 2] ; [11 32],[0.7826087 2.2173913] ; [11.2173913 31.7826087],0
p8,1,0.839836,0.040846,[3 4] ; [72 82],[3.26086957 3.73913043] ; [71.73913043 82.26086957],0
s4,1,0.915858,0.011162,[2 6] ; [ 36 118],[1.87654321 6.12345679] ; [ 36.12345679 117.87654321],0
v1,1,0.942518,0.005199,[3 5] ; [54 95],[2.9044586 5.0955414] ; [54.0955414 94.9044586],0
a4,1,0.992628,8.5e-05,[3 5] ; [58 96],[3.01234568 4.98765432] ; [57.98765432 96.01234568],0
