Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.001159,10.555213,[10 46] ; [15 14],[16.47058824 39.52941176] ; [ 8.52941176 20.47058824],0
u2,1,0.022855,5.179468,[ 8 14] ; [6 1],[10.62068966 11.37931034] ; [3.37931034 3.62068966],0
u1,1,0.029395,4.744337,[ 3 53] ; [ 6 23],[ 5.92941176 50.07058824] ; [ 3.07058824 25.92941176],0
s2,1,0.033173,4.536852,[25 31] ; [20  9],[29.64705882 26.35294118] ; [15.35294118 13.64705882],0
p11,1,0.054636,3.69317,[35 21] ; [24  5],[38.87058824 17.12941176] ; [20.12941176  8.87058824],0
v4,1,0.063441,3.445063,[45 10] ; [27  1],[47.71084337  7.28915663] ; [24.28915663  3.71084337],0
n1,1,0.072461,3.226364,[6 9] ; [5 1],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
n4,1,0.076375,3.140394,[36 20] ; [24  5],[39.52941176 16.47058824] ; [20.47058824  8.52941176],0
d3,1,0.089158,2.889513,[32 24] ; [22  7],[35.57647059 20.42352941] ; [18.42352941 10.57647059],0
u3,1,0.104205,2.639985,[ 8 14] ; [5 2],[ 9.86206897 12.13793103] ; [3.13793103 3.86206897],0
p3,1,0.133365,2.252889,[20 35] ; [15 13],[23.19277108 31.80722892] ; [11.80722892 16.19277108],0
s4,1,0.1514,2.058091,[ 4 52] ; [ 5 24],[ 5.92941176 50.07058824] ; [ 3.07058824 25.92941176],0
p7,1,0.162331,1.952381,[30 24] ; [20  8],[32.92682927 21.07317073] ; [17.07317073 10.92682927],0
r1,1,0.162547,1.95037,[34 22] ; [22  7],[36.89411765 19.10588235] ; [19.10588235  9.89411765],0
p6,1,0.167945,1.901191,[13 42] ; [11 18],[15.71428571 39.28571429] ; [ 8.28571429 20.71428571],0
a3,1,0.194226,1.685266,[34 21] ; [22  7],[36.66666667 18.33333333] ; [19.33333333  9.66666667],0
b5,1,0.221695,1.493368,[25 31] ; [17 12],[27.67058824 28.32941176] ; [14.32941176 14.67058824],0
a2,1,0.259418,1.27186,[ 5 51] ; [ 5 24],[ 6.58823529 49.41176471] ; [ 3.41176471 25.58823529],0
d5,1,0.28457,1.145134,[34 22] ; [21  8],[36.23529412 19.76470588] ; [18.76470588 10.23529412],0
a4,1,0.309537,1.032649,[17 39] ; [12 17],[19.10588235 36.89411765] ; [ 9.89411765 19.10588235],0
p10,1,0.317959,0.997324,[38 17] ; [23  6],[39.94047619 15.05952381] ; [21.05952381  7.94047619],0
