Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,62.715545,[57 80] ; [256  67],[93.21956522 43.78043478] ; [219.78043478 103.21956522],1
a6,1,0.0,54.542328,[56 81] ; [248  76],[90.34273319 46.65726681] ; [213.65726681 110.34273319],1
d4,1,1e-06,23.880144,[89 48] ; [276  48],[108.47071584  28.52928416] ; [256.52928416  67.47071584],1
b5,1,1.4e-05,18.912544,[66 71] ; [226  99],[86.58874459 50.41125541] ; [205.41125541 119.58874459],1
a2,1,4.2e-05,16.761919,[ 11 126] ; [ 80 245],[ 26.98484848 110.01515152] ; [ 64.01515152 260.98484848],1
d1,1,7.2e-05,15.755708,[52 85] ; [189 136],[71.46536797 65.53463203] ; [169.53463203 155.46536797],1
r1,1,9.4e-05,15.258859,[90 47] ; [266  57],[106.02608696  30.97391304] ; [249.97391304  73.02608696],1
r4,1,0.000286,13.162561,[108  29] ; [296  29],[119.8008658  17.1991342] ; [284.1991342  40.8008658],1
u1,1,0.000575,11.854454,[  6 131] ; [ 52 273],[ 17.1991342 119.8008658] ; [ 40.8008658 284.1991342],1
d5,1,0.001924,9.620598,[91 46] ; [259  65],[104.01301518  32.98698482] ; [245.98698482  78.01301518],0
a5,1,0.00308,8.759229,[77 60] ; [229  96],[90.74025974 46.25974026] ; [215.25974026 109.74025974],0
r3,1,0.004131,8.225117,[119  17] ; [308  16],[126.24347826   9.75652174] ; [300.75652174  23.24347826],0
p2,1,0.007235,7.21375,[93 43] ; [260  65],[104.13882863  31.86117137] ; [248.86117137  76.13882863],0
s6,1,0.00958,6.711326,[69 63] ; [209 111],[81.18584071 50.81415929] ; [196.81415929 123.18584071],0
u3,1,0.010191,6.601247,[21 31] ; [64 39],[28.51612903 23.48387097] ; [56.48387097 46.51612903],0
b1,1,0.013851,6.056994,[58 79] ; [ 99 226],[46.55627706 90.44372294] ; [110.44372294 214.55627706],0
p10,1,0.017896,5.606325,[89 45] ; [246  73],[99.09492274 34.90507726] ; [235.90507726  83.09492274],0
r2,1,0.042302,4.12308,[122  13] ; [308  15],[126.74672489   8.25327511] ; [303.25327511  19.74672489],0
v2,1,0.058765,3.5719,[56 75] ; [161 145],[65.05034325 65.94965675] ; [151.94965675 154.05034325],0
p9,1,0.115474,2.477658,[98 35] ; [254  62],[104.26726058  28.73273942] ; [247.73273942  68.26726058],0
s2,1,0.116907,2.458273,[55 80] ; [157 165],[62.62582057 72.37417943] ; [149.37417943 172.62582057],0
n2,1,0.13117,2.278606,[45 10] ; [65 27],[41.15646259 13.84353741] ; [68.84353741 23.15646259],0
p8,1,0.174952,1.839989,[45 89] ; [128 189],[51.40133038 82.59866962] ; [121.59866962 195.40133038],0
s4,1,0.184701,1.759391,[ 18 117] ; [ 59 261],[ 22.84615385 112.15384615] ; [ 54.15384615 265.84615385],0
n5,1,0.19443,1.683726,[99 36] ; [217 106],[93.1441048 41.8558952] ; [222.8558952 100.1441048],0
b2,1,0.244791,1.35279,[30 47] ; [ 56 122],[25.96862745 51.03137255] ; [ 60.03137255 117.96862745],0
b3,1,0.244791,1.35279,[30 47] ; [ 56 122],[25.96862745 51.03137255] ; [ 60.03137255 117.96862745],0
a3,1,0.263395,1.250824,[85 51] ; [220 104],[90.17391304 45.82608696] ; [214.82608696 109.17391304],0
a8,1,0.325784,0.965584,[ 14 114] ; [ 43 254],[ 17.16705882 110.83294118] ; [ 39.83294118 257.16705882],0
p1,1,0.334864,0.929996,[  4 132] ; [ 16 307],[  5.92592593 130.07407407] ; [ 14.07407407 308.92592593],0
u2,1,0.365691,0.818255,[26 25] ; [61 43],[28.62580645 22.37419355] ; [58.37419355 45.62580645],0
s7,1,0.370533,0.801877,[47 82] ; [130 187],[51.19506726 77.80493274] ; [125.80493274 191.19506726],0
n6,1,0.372654,0.794795,[105  31] ; [262  62],[108.50434783  27.49565217] ; [258.49565217  65.50434783],0
p4,1,0.396442,0.719093,[46 87] ; [125 197],[49.98461538 83.01538462] ; [121.01538462 200.98461538],0
p6,1,0.445493,0.582093,[36 97] ; [ 76 245],[ 32.81057269 100.18942731] ; [ 79.18942731 241.81057269],0
s3,1,0.449543,0.571805,[66 68] ; [169 149],[69.66814159 64.33185841] ; [165.33185841 152.66814159],0
a1,1,0.484308,0.489147,[  6 131] ; [ 10 315],[  4.74458874 132.25541126] ; [ 11.25541126 313.74458874],0
n4,1,0.504258,0.445963,[90 46] ; [224  99],[93.03703704 42.96296296] ; [220.96296296 102.03703704],0
p7,1,0.512461,0.429038,[69 63] ; [151 158],[65.85034014 66.14965986] ; [154.14965986 154.85034014],0
v1,1,0.540677,0.374286,[64 70] ; [141 175],[61.04444444 72.95555556] ; [143.95555556 172.04444444],0
v3,1,0.585464,0.297484,[40 90] ; [104 207],[42.44897959 87.55102041] ; [101.55102041 209.44897959],0
p12,1,0.588874,0.292106,[  7 128] ; [ 13 308],[  5.92105263 129.07894737] ; [ 14.07894737 306.92105263],0
b4,1,0.609931,0.260276,[77 60] ; [191 134],[79.47186147 57.52813853] ; [188.52813853 136.47186147],0
s8,1,0.632765,0.22833,[46 89] ; [118 206],[48.23529412 86.76470588] ; [115.76470588 208.23529412],0
n1,1,0.752819,0.099178,[20 34] ; [31 59],[19.125 34.875] ; [31.875 58.125],0
s5,1,0.780188,0.077882,[36 95] ; [ 82 231],[34.81531532 96.18468468] ; [ 83.18468468 229.81531532],0
a4,1,0.785782,0.073871,[56 80] ; [129 195],[54.69565217 81.30434783] ; [130.30434783 193.69565217],0
p5,1,0.83387,0.043991,[  6 128] ; [ 16 308],[  6.43668122 127.56331878] ; [ 15.56331878 308.43668122],0
n3,1,0.975236,0.000964,[37 16] ; [64 28],[36.91724138 16.08275862] ; [64.08275862 27.91724138],0
s1,1,0.984604,0.000372,[  5 128] ; [ 12 304],[  5.03563474 127.96436526] ; [ 11.96436526 304.03563474],0
p11,1,0.987725,0.000237,[100  37] ; [237  88],[99.93290043 37.06709957] ; [237.06709957  87.93290043],0
d2,1,0.995,3.9e-05,[59 78] ; [139 184],[58.96956522 78.03043478] ; [139.03043478 183.96956522],0
