Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,23.52,[36 13] ; [12 37],[24. 25.] ; [24. 25.],1
s2,1,0.000106,15.034091,[42  7] ; [24 25],[33. 16.] ; [33. 16.],1
s6,1,0.001315,10.32074,[39  7] ; [26 22],[31.80851064 14.19148936] ; [33.19148936 14.80851064],0
p6,1,0.001856,9.686976,[23 24] ; [ 9 39],[15.83157895 31.16842105] ; [16.16842105 31.83157895],0
s4,1,0.002591,9.075068,[19 30] ; [ 6 43],[12.5 36.5] ; [12.5 36.5],0
s5,1,0.008983,6.826209,[21 22] ; [10 35],[15.14772727 27.85227273] ; [15.85227273 29.14772727],0
a5,1,0.014306,6.0,[34 15] ; [22 27],[28. 21.] ; [28. 21.],0
p3,1,0.032638,4.564644,[29 20] ; [18 30],[23.74226804 25.25773196] ; [23.25773196 24.74226804],0
p4,1,0.043308,4.083333,[30 19] ; [20 29],[25. 24.] ; [25. 24.],0
u3,1,0.043614,4.071429,[10  4] ; [ 9 15],[7. 7.] ; [12. 12.],0
a3,1,0.049866,3.845955,[35 14] ; [25 23],[30.30927835 18.69072165] ; [29.69072165 18.30927835],0
p7,1,0.059558,3.54965,[32 15] ; [23 24],[27.5 19.5] ; [27.5 19.5],0
r2,1,0.066051,3.378536,[41  4] ; [37 11],[37.74193548  7.25806452] ; [40.25806452  7.74193548],0
v4,1,0.082729,3.010453,[44  4] ; [38 10],[41.  7.] ; [41.  7.],0
v2,1,0.096976,2.754579,[25 22] ; [17 30],[21. 26.] ; [21. 26.],0
a2,1,0.109593,2.560084,[ 8 41] ; [ 3 46],[ 5.5 43.5] ; [ 5.5 43.5],0
p11,1,0.113489,2.504956,[39 10] ; [32 17],[35.5 13.5] ; [35.5 13.5],0
n4,1,0.134595,2.238695,[36 13] ; [29 20],[32.5 16.5] ; [32.5 16.5],0
b4,1,0.144667,2.127603,[27 22] ; [34 15],[30.5 18.5] ; [30.5 18.5],0
p5,1,0.14796,2.093154,[ 6 42] ; [ 2 45],[ 4.04210526 43.95789474] ; [ 3.95789474 43.04210526],0
d1,1,0.154176,2.030444,[25 24] ; [18 31],[21.5 27.5] ; [21.5 27.5],0
b2,1,0.178097,1.813436,[14 24] ; [ 6 22],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
b3,1,0.178097,1.813436,[14 24] ; [ 6 22],[11.51515152 26.48484848] ; [ 8.48484848 19.51515152],0
u2,1,0.178565,1.809524,[9 5] ; [10 14],[7. 7.] ; [12. 12.],0
d5,1,0.188486,1.729412,[37 12] ; [31 18],[34. 15.] ; [34. 15.],0
v3,1,0.197635,1.659769,[17 30] ; [11 35],[14.15053763 32.84946237] ; [13.84946237 32.15053763],0
a8,1,0.202508,1.624192,[ 4 44] ; [ 8 39],[ 6.06315789 41.93684211] ; [ 5.93684211 41.06315789],0
p8,1,0.259112,1.273498,[22 25] ; [17 31],[19.29473684 27.70526316] ; [19.70526316 28.29473684],0
p2,1,0.305413,1.050408,[40  9] ; [35 13],[37.88659794 11.11340206] ; [37.11340206 10.88659794],0
b1,1,0.305887,1.048353,[23 26] ; [18 31],[20.5 28.5] ; [20.5 28.5],0
p1,1,0.308928,1.035255,[ 6 43] ; [ 3 45],[ 4.54639175 44.45360825] ; [ 4.45360825 43.54639175],0
p9,1,0.319106,0.992609,[41  7] ; [38 11],[39.09278351  8.90721649] ; [39.90721649  9.09278351],0
a4,1,0.380642,0.768627,[17 32] ; [13 36],[15. 34.] ; [15. 34.],0
s1,1,0.413953,0.667417,[ 4 45] ; [ 2 46],[ 3.03092784 45.96907216] ; [ 2.96907216 45.03092784],0
p10,1,0.485376,0.486761,[37 11] ; [34 14],[35.5 12.5] ; [35.5 12.5],0
n2,1,0.493886,0.46805,[15  3] ; [8 3],[14.27586207  3.72413793] ; [8.72413793 2.27586207],0
n5,1,0.506746,0.44078,[36 13] ; [33 16],[34.5 14.5] ; [34.5 14.5],0
n1,1,0.515759,0.422366,[9 8] ; [4 6],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
r3,1,0.537686,0.379845,[44  5] ; [42  7],[43.  6.] ; [43.  6.],0
a7,1,0.538994,0.377407,[27 22] ; [30 19],[28.5 20.5] ; [28.5 20.5],0
u1,1,0.646178,0.210753,[ 3 46] ; [ 2 47],[ 2.5 46.5] ; [ 2.5 46.5],0
n6,1,0.647237,0.209402,[37 12] ; [35 14],[36. 13.] ; [36. 13.],0
d4,1,0.647237,0.209402,[37 12] ; [35 14],[36. 13.] ; [36. 13.],0
r4,1,0.675158,0.175627,[30 19] ; [32 17],[31. 18.] ; [31. 18.],0
a6,1,0.683091,0.166667,[29 20] ; [27 22],[28. 21.] ; [28. 21.],0
d3,1,0.684609,0.164983,[28 21] ; [26 23],[27. 22.] ; [27. 22.],0
p12,1,0.694887,0.153846,[ 3 46] ; [ 4 45],[ 3.5 45.5] ; [ 3.5 45.5],0
v1,1,0.758144,0.094814,[23 23] ; [22 25],[22.25806452 23.74193548] ; [22.74193548 24.25806452],0
b5,1,0.834936,0.04342,[31 18] ; [30 19],[30.5 18.5] ; [30.5 18.5],0
d2,1,0.837745,0.041934,[20 29] ; [21 28],[20.5 28.5] ; [20.5 28.5],0
n3,1,0.976445,0.000872,[13  5] ; [8 3],[13.03448276  4.96551724] ; [7.96551724 3.03448276],0
a1,1,1.0,0.0,[ 4 45] ; [ 4 45],[ 4. 45.] ; [ 4. 45.],0
