Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001132,10.597931,[ 8 35] ; [10  6],[13.11864407 29.88135593] ; [ 4.88135593 11.11864407],0
b4,1,0.001588,9.974026,[31 13] ; [ 4 12],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
u3,1,0.024767,5.040085,[ 4 23] ; [3 2],[ 5.90625 21.09375] ; [1.09375 3.90625],0
a3,1,0.04573,3.991498,[17 26] ; [11  5],[20.40677966 22.59322034] ; [7.59322034 8.40677966],0
r3,1,0.051367,3.796263,[26 18] ; [13  2],[29.08474576 14.91525424] ; [9.91525424 5.08474576],0
p10,1,0.066251,3.373555,[18 25] ; [11  5],[21.13559322 21.86440678] ; [7.86440678 8.13559322],0
s1,1,0.078332,3.099174,[ 2 42] ; [ 3 13],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
p11,1,0.114317,2.493506,[23 21] ; [12  4],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
s2,1,0.117692,2.44777,[ 8 36] ; [ 6 10],[10.26666667 33.73333333] ; [ 3.73333333 12.26666667],0
p4,1,0.121291,2.400568,[15 29] ; [9 7],[17.6 26.4] ; [6.4 9.6],0
b1,1,0.152661,2.045455,[24 20] ; [12  4],[26.4 17.6] ; [9.6 6.4],0
a1,1,0.17308,1.856061,[ 3 41] ; [ 3 13],[ 4.4 39.6] ; [ 1.6 14.4],0
a4,1,0.17753,1.818182,[ 9 35] ; [ 6 10],[11. 33.] ; [ 4. 12.],0
d1,1,0.188941,1.725852,[ 7 37] ; [ 5 11],[ 8.8 35.2] ; [ 3.2 12.8],0
n2,1,0.189225,1.723644,[8 9] ; [6 2],[9.52 7.48] ; [4.48 3.52],0
b5,1,0.223397,1.482415,[27 17] ; [7 9],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
p7,1,0.223397,1.482415,[17 27] ; [9 7],[19.06666667 24.93333333] ; [6.93333333 9.06666667],0
p9,1,0.260542,1.265873,[22 20] ; [11  5],[23.89655172 18.10344828] ; [9.10344828 6.89655172],0
p6,1,0.261715,1.259664,[ 6 37] ; [ 4 11],[ 7.4137931 35.5862069] ; [ 2.5862069 12.4137931],0
a5,1,0.290846,1.115702,[18 26] ; [9 7],[19.8 24.2] ; [7.2 8.8],0
s7,1,0.317759,0.998148,[ 6 34] ; [ 4 11],[ 7.27272727 32.72727273] ; [ 2.72727273 12.27272727],0
n6,1,0.319855,0.989538,[27 17] ; [7 8],[25.3559322 18.6440678] ; [8.6440678 6.3559322],0
s6,1,0.391504,0.734266,[14 30] ; [7 9],[15.4 28.6] ; [ 5.6 10.4],0
d4,1,0.404123,0.696023,[25 19] ; [11  5],[26.4 17.6] ; [9.6 6.4],0
