Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,44.173502,[38 45] ; [79  6],[57.80357143 25.19642857] ; [59.19642857 25.80357143],1
d2,1,0.0,38.320915,[10 73] ; [49 36],[29.14880952 53.85119048] ; [29.85119048 55.14880952],1
d5,1,0.0,37.79107,[45 38] ; [81  4],[62.25 20.75] ; [63.75 21.25],1
a2,1,0.001181,10.520539,[ 6 77] ; [22 63],[13.83333333 69.16666667] ; [14.16666667 70.83333333],0
u1,1,0.001858,9.68438,[ 3 80] ; [16 69],[ 9.38690476 73.61309524] ; [ 9.61309524 75.38690476],0
a4,1,0.0031,8.74745,[20 63] ; [39 46],[29.14880952 53.85119048] ; [29.85119048 55.14880952],0
n2,1,0.006114,7.516375,[25  4] ; [16 14],[20.15254237  8.84745763] ; [20.84745763  9.15254237],0
a5,1,0.008005,7.032446,[42 41] ; [60 25],[50.39285714 32.60714286] ; [51.60714286 33.39285714],0
a8,1,0.029357,4.746575,[ 7 70] ; [ 1 76],[ 4. 73.] ; [ 4. 73.],0
b5,1,0.029693,4.726971,[43 40] ; [58 27],[49.89880952 33.10119048] ; [51.10119048 33.89880952],0
b2,1,0.030403,4.686368,[ 6 31] ; [16 26],[10.30379747 26.69620253] ; [11.69620253 30.30379747],0
b3,1,0.030403,4.686368,[ 6 31] ; [16 26],[10.30379747 26.69620253] ; [11.69620253 30.30379747],0
a6,1,0.038152,4.298228,[49 34] ; [63 22],[55.33333333 27.66666667] ; [56.66666667 28.33333333],0
a7,1,0.039049,4.258722,[57 26] ; [70 15],[62.74404762 20.25595238] ; [64.25595238 20.74404762],0
s5,1,0.056861,3.626642,[18 63] ; [29 52],[23.5 57.5] ; [23.5 57.5],0
n5,1,0.062372,3.473164,[33 48] ; [23 62],[27.3253012 53.6746988] ; [28.6746988 56.3253012],0
s1,1,0.087593,2.918064,[ 5 77] ; [ 1 84],[ 2.94610778 79.05389222] ; [ 3.05389222 81.94610778],0
