Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,103.781897,[173  58] ; [19 94],[128.93023256 102.06976744] ; [63.06976744 49.93023256],1
d4,1,0.0,89.751007,[226   4] ; [68 45],[197.14285714  32.85714286] ; [96.85714286 16.14285714],1
d5,1,0.0,88.886687,[225   5] ; [67 46],[195.80174927  34.19825073] ; [96.19825073 16.80174927],1
d3,1,0.0,88.214484,[201  30] ; [43 70],[163.84883721  67.15116279] ; [80.15116279 32.84883721],1
a5,1,0.0,26.810234,[201  30] ; [71 42],[182.65116279  48.34883721] ; [89.34883721 23.65116279],1
a2,1,2e-06,22.987346,[ 81 150] ; [ 12 101],[ 62.4505814 168.5494186] ; [30.5494186 82.4505814],1
a4,1,2e-06,22.38797,[128 103] ; [32 81],[107.44186047 123.55813953] ; [52.55813953 60.44186047],1
u1,1,5e-06,20.767302,[ 69 162] ; [  9 104],[ 52.37790698 178.62209302] ; [25.62209302 87.37790698],1
n4,1,0.001128,10.604821,[201  29] ; [82 30],[190.32163743  39.67836257] ; [92.67836257 19.32163743],0
r2,1,0.001727,9.819525,[222   5] ; [100  11],[216.25443787  10.74556213] ; [105.74556213   5.25443787],0
p4,1,0.002893,8.873921,[176  54] ; [69 44],[164.28571429  65.71428571] ; [80.71428571 32.28571429],0
a3,1,0.003255,8.658983,[194  36] ; [80 33],[183.73177843  46.26822157] ; [90.26822157 22.73177843],0
s2,1,0.009624,6.703184,[175  53] ; [71 41],[164.96470588  63.03529412] ; [81.03529412 30.96470588],0
p3,1,0.009726,6.684483,[152  79] ; [58 55],[141.01744186  89.98255814] ; [68.98255814 44.01744186],0
r4,1,0.010485,6.550581,[220  11] ; [99 14],[214.2122093  16.7877907] ; [104.7877907   8.2122093],0
v3,1,0.035468,4.422493,[116 106] ; [44 66],[106.98795181 115.01204819] ; [53.01204819 56.98795181],0
s4,1,0.043251,4.085564,[ 49 180] ; [14 99],[ 42.18421053 186.81578947] ; [20.81578947 92.18421053],0
s5,1,0.047686,3.921035,[106 112] ; [40 68],[ 97.63190184 120.36809816] ; [48.36809816 59.63190184],0
a7,1,0.049669,3.852606,[174  57] ; [73 39],[166.34693878  64.65306122] ; [80.65306122 31.34693878],0
r3,1,0.055706,3.660835,[226   5] ; [106   7],[222.94186047   8.05813953] ; [109.05813953   3.94186047],0
v4,1,0.062357,3.473553,[226   4] ; [106   6],[223.2748538   6.7251462] ; [108.7251462   3.2748538],0
p12,1,0.095622,2.77709,[ 30 199] ; [  8 105],[ 25.44444444 203.55555556] ; [ 12.55555556 100.44444444],0
r1,1,0.102896,2.660079,[200  30] ; [89 22],[194.92668622  35.07331378] ; [94.07331378 16.92668622],0
a1,1,0.133198,2.254828,[ 15 216] ; [  3 110],[ 12.0872093 218.9127907] ; [  5.9127907 107.0872093],0
p8,1,0.148293,2.089726,[152  74] ; [67 46],[146.  80.] ; [73. 40.],0
n5,1,0.164795,1.929667,[188  40] ; [86 27],[183.20234604  44.79765396] ; [90.79765396 22.20234604],0
s3,1,0.167192,1.907944,[175  51] ; [79 33],[169.83431953  56.16568047] ; [84.16568047 27.83431953],0
a6,1,0.18436,1.762123,[159  71] ; [70 43],[153.55685131  76.44314869] ; [75.44314869 37.55685131],0
p6,1,0.189614,1.720612,[117 111] ; [49 63],[111.31764706 116.68235294] ; [54.68235294 57.31764706],0
u4,1,0.224393,1.476052,[ 10 221] ; [  2 111],[  8.05813953 222.94186047] ; [  3.94186047 109.05813953],0
b5,1,0.241561,1.371464,[142  89] ; [62 51],[136.98837209  94.01162791] ; [67.01162791 45.98837209],0
p9,1,0.254109,1.300573,[212  16] ; [101  12],[209.27859238  18.72140762] ; [103.72140762   9.27859238],0
b4,1,0.273855,1.197336,[135  96] ; [59 54],[130.27325581 100.72674419] ; [63.72674419 49.27325581],0
a8,1,0.305878,1.048393,[ 34 173] ; [22 82],[ 37.2733119 169.7266881] ; [18.7266881 85.2733119],0
v1,1,0.377945,0.777377,[143  79] ; [66 45],[139.33333333  82.66666667] ; [69.66666667 41.33333333],0
u3,1,0.400925,0.705551,[27 10] ; [21 12],[25.37142857 11.62857143] ; [22.62857143 10.37142857],0
n6,1,0.466062,0.531297,[202  26] ; [97 16],[199.91788856  28.08211144] ; [99.08211144 13.91788856],0
n3,1,0.470145,0.521635,[29 15] ; [20  7],[30.36619718 13.63380282] ; [18.63380282  8.36619718],0
u2,1,0.480169,0.49848,[25 12] ; [19 13],[23.5942029 13.4057971] ; [20.4057971 11.5942029],0
p10,1,0.484159,0.48948,[205  23] ; [97 14],[203.11504425  24.88495575] ; [98.88495575 12.11504425],0
v2,1,0.50748,0.43926,[141  84] ; [63 44],[138.25301205  86.74698795] ; [65.74698795 41.25301205],0
p11,1,0.555348,0.347824,[192  39] ; [91 22],[190.0377907  40.9622093] ; [92.9622093 20.0377907],0
s7,1,0.582508,0.302198,[166  54] ; [86 24],[168.  52.] ; [84. 26.],0
s6,1,0.790794,0.070373,[190  37] ; [95 17],[190.84070796  36.15929204] ; [94.15929204 17.84070796],0
s1,1,0.853315,0.034185,[  9 217] ; [  4 108],[  8.69230769 217.30769231] ; [  4.30769231 107.69230769],0
p5,1,0.864015,0.029332,[ 37 193] ; [19 94],[ 37.55102041 192.44897959] ; [18.44897959 94.55102041],0
p7,1,0.874774,0.024837,[169  54] ; [84 28],[168.41492537  54.58507463] ; [84.58507463 27.41492537],0
n1,1,0.926243,0.00857,[18 25] ; [11 16],[17.81428571 25.18571429] ; [11.18571429 15.81428571],0
b1,1,0.932186,0.007241,[ 89 142] ; [43 70],[ 88.63953488 142.36046512] ; [43.36046512 69.63953488],0
p1,1,0.938357,0.005981,[ 23 207] ; [ 11 102],[ 22.79883382 207.20116618] ; [ 11.20116618 101.79883382],0
b3,1,0.982905,0.000459,[71 86] ; [32 39],[70.9254386 86.0745614] ; [32.0745614 38.9254386],0
b2,1,0.982905,0.000459,[71 86] ; [32 39],[70.9254386 86.0745614] ; [32.0745614 38.9254386],0
n2,1,0.99398,5.7e-05,[31 13] ; [19  8],[30.98591549 13.01408451] ; [19.01408451  7.98591549],0
