Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,23.058126,[24  1] ; [2 9],[18.05555556  6.94444444] ; [7.94444444 3.05555556],1
p8,1,0.004631,8.018182,[15 10] ; [ 1 10],[11.11111111 13.88888889] ; [4.88888889 6.11111111],0
p7,1,0.005735,7.63183,[19  6] ; [3 8],[15.27777778  9.72222222] ; [6.72222222 4.27777778],0
r4,1,0.006615,7.374545,[22  3] ; [5 6],[18.75  6.25] ; [8.25 2.75],0
s2,1,0.017663,5.629314,[17  6] ; [3 7],[13.93939394  9.06060606] ; [6.06060606 3.93939394],0
n6,1,0.035422,4.424727,[23  2] ; [7 4],[20.83333333  4.16666667] ; [9.16666667 1.83333333],0
p11,1,0.038198,4.296198,[20  5] ; [5 6],[17.36111111  7.63888889] ; [7.63888889 3.36111111],0
a6,1,0.042021,4.134377,[16  9] ; [3 8],[13.19444444 11.80555556] ; [5.80555556 5.19444444],0
s6,1,0.044368,4.0425,[19  3] ; [6 5],[16.66666667  5.33333333] ; [8.33333333 2.66666667],0
s3,1,0.091851,2.841636,[17  7] ; [4 6],[14.82352941  9.17647059] ; [6.17647059 3.82352941],0
v4,1,0.092903,2.823333,[23  2] ; [7 3],[21.42857143  3.57142857] ; [8.57142857 1.42857143],0
r2,1,0.123496,2.372411,[23  2] ; [8 3],[21.52777778  3.47222222] ; [9.47222222 1.52777778],0
s5,1,0.12471,2.357143,[10 12] ; [2 9],[ 8. 14.] ; [4. 7.],0
b5,1,0.169017,1.891636,[12 13] ; [8 3],[13.88888889 11.11111111] ; [6.11111111 4.88888889],0
v2,1,0.169879,1.884007,[ 7 16] ; [ 1 10],[ 5.41176471 17.58823529] ; [2.58823529 8.41176471],0
s8,1,0.200825,1.636364,[10 15] ; [2 9],[ 8.33333333 16.66666667] ; [3.66666667 7.33333333],0
s7,1,0.227334,1.457467,[14 10] ; [4 7],[12.34285714 11.65714286] ; [5.65714286 5.34285714],0
p6,1,0.297798,1.08403,[ 6 19] ; [ 1 10],[ 4.86111111 20.13888889] ; [2.13888889 8.86111111],0
a4,1,0.297798,1.08403,[ 6 19] ; [ 1 10],[ 4.86111111 20.13888889] ; [2.13888889 8.86111111],0
n3,1,0.347153,0.883838,[7 1] ; [4 2],[6.28571429 1.71428571] ; [4.71428571 1.28571429],0
v3,1,0.392166,0.732214,[ 5 19] ; [ 1 10],[ 4.11428571 19.88571429] ; [1.88571429 9.11428571],0
n1,1,0.393153,0.729167,[3 5] ; [1 5],[2.28571429 5.71428571] ; [1.71428571 4.28571429],0
p2,1,0.393841,0.727049,[17  8] ; [9 2],[18.05555556  6.94444444] ; [7.94444444 3.05555556],0
r1,1,0.438815,0.59938,[17  8] ; [6 5],[15.97222222  9.02777778] ; [7.02777778 3.97222222],0
p3,1,0.463956,0.536333,[10 15] ; [3 8],[ 9.02777778 15.97222222] ; [3.97222222 7.02777778],0
a7,1,0.477688,0.504137,[14 10] ; [5 6],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
p4,1,0.517482,0.418909,[12 13] ; [4 7],[11.11111111 13.88888889] ; [4.88888889 6.11111111],0
n5,1,0.530869,0.392727,[18  7] ; [9 2],[18.75  6.25] ; [8.25 2.75],0
d3,1,0.554015,0.350173,[ 9 15] ; [3 8],[ 8.22857143 15.77142857] ; [3.77142857 7.22857143],0
n4,1,0.615795,0.251821,[18  7] ; [7 4],[17.36111111  7.63888889] ; [7.63888889 3.36111111],0
p1,1,0.621273,0.244082,[ 3 22] ; [2 9],[ 3.47222222 21.52777778] ; [1.52777778 9.47222222],0
d2,1,0.628745,0.233766,[ 5 20] ; [3 8],[ 5.55555556 19.44444444] ; [2.44444444 8.55555556],0
a5,1,0.668576,0.183273,[11 14] ; [4 7],[10.41666667 14.58333333] ; [4.58333333 6.41666667],0
b4,1,0.717491,0.130909,[13 12] ; [5 6],[12.5 12.5] ; [5.5 5.5],0
a3,1,0.759766,0.093506,[10 15] ; [5 6],[10.41666667 14.58333333] ; [4.58333333 6.41666667],0
u2,1,0.776258,0.080769,[6 9] ; [2 4],[5.71428571 9.28571429] ; [2.28571429 3.71428571],0
b1,1,0.776689,0.08045,[ 8 17] ; [3 8],[ 7.63888889 17.36111111] ; [3.36111111 7.63888889],0
v1,1,0.836664,0.042503,[10 15] ; [4 7],[ 9.72222222 15.27777778] ; [4.27777778 6.72222222],0
u3,1,0.890106,0.019091,[8 7] ; [3 3],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
s1,1,0.940753,0.005524,[ 2 22] ; [ 1 10],[ 2.05714286 21.94285714] ; [ 0.94285714 10.05714286],0
d5,1,0.983339,0.000436,[11 13] ; [5 6],[10.97142857 13.02857143] ; [5.02857143 5.97142857],0
