Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.643097,0.214715,[27  8] ; [82 30],[25.95238095  9.04761905] ; [83.04761905 28.95238095],0
s1,1,0.64366,0.213987,[ 3 32] ; [  7 104],[ 2.39726027 32.60273973] ; [  7.60273973 103.39726027],0
s6,1,0.647256,0.209377,[26  9] ; [78 33],[24.93150685 10.06849315] ; [79.06849315 31.93150685],0
s5,1,0.692799,0.156072,[ 8 24] ; [30 75],[ 8.87591241 23.12408759] ; [29.12408759 75.87591241],0
s2,1,0.7552,0.097213,[20 15] ; [59 50],[19.20138889 15.79861111] ; [59.79861111 49.20138889],0
p11,1,0.764084,0.090074,[25 10] ; [77 35],[24.28571429 10.71428571] ; [77.71428571 34.28571429],0
r4,1,0.783414,0.075555,[30  5] ; [98 14],[30.47619048  4.52380952] ; [97.52380952 14.47619048],0
s3,1,0.799038,0.064817,[19 16] ; [57 53],[18.34482759 16.65517241] ; [57.65517241 52.34482759],0
u3,1,0.800315,0.063978,[6 4] ; [27 15],[6.34615385 3.65384615] ; [26.65384615 15.34615385],0
v1,1,0.848102,0.036688,[17 17] ; [55 51],[17.48571429 16.51428571] ; [54.51428571 51.48571429],0
p2,1,0.856493,0.032703,[28  7] ; [88 24],[27.61904762  7.38095238] ; [88.38095238 23.61904762],0
a2,1,0.856493,0.032703,[ 7 28] ; [24 88],[ 7.38095238 27.61904762] ; [23.61904762 88.38095238],0
b4,1,0.864749,0.029013,[21 14] ; [69 43],[21.42857143 13.57142857] ; [68.57142857 43.42857143],0
u2,1,0.869451,0.027013,[6 4] ; [24 18],[5.76923077 4.23076923] ; [24.23076923 17.76923077],0
r3,1,0.908135,0.013315,[33  2] ; [105   7],[32.85714286  2.14285714] ; [105.14285714   6.85714286],0
b1,1,0.939842,0.005695,[14 21] ; [44 68],[13.80952381 21.19047619] ; [44.19047619 67.80952381],0
b5,1,0.954239,0.003293,[22 13] ; [71 41],[22.14285714 12.85714286] ; [70.85714286 41.14285714],0
