Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.002032,9.52,[16 56] ; [16 14],[22.58823529 49.41176471] ; [ 9.41176471 20.58823529],0
p11,1,0.004401,8.110369,[31 42] ; [22  8],[37.5631068 35.4368932] ; [15.4368932 14.5631068],0
p7,1,0.011675,6.359606,[28 45] ; [18  9],[33.58 39.42] ; [12.42 14.58],0
r3,1,0.020494,5.369281,[49 23] ; [27  3],[53.64705882 18.35294118] ; [22.35294118  7.64705882],0
r1,1,0.032024,4.59721,[48 25] ; [26  4],[52.44660194 20.55339806] ; [21.55339806  8.44660194],0
s7,1,0.03251,4.571419,[18 51] ; [14 15],[22.53061224 46.46938776] ; [ 9.46938776 19.53061224],0
v4,1,0.033592,4.515366,[54 18] ; [28  2],[57.88235294 14.11764706] ; [24.11764706  5.88235294],0
s4,1,0.03868,4.274872,[14 57] ; [ 1 28],[10.65 60.35] ; [ 4.35 24.65],0
r4,1,0.042902,4.099254,[46 27] ; [25  5],[50.32038835 22.67961165] ; [20.67961165  9.32038835],0
d4,1,0.077532,3.115885,[44 27] ; [24  6],[47.8019802 23.1980198] ; [20.1980198  9.8019802],0
a4,1,0.079305,3.079085,[30 42] ; [ 7 23],[26.11764706 45.88235294] ; [10.88235294 19.11764706],0
s3,1,0.09098,2.856944,[30 42] ; [18 12],[33.88235294 38.11764706] ; [14.11764706 15.88235294],0
r2,1,0.100363,2.699764,[62 11] ; [28  1],[64.41176471  8.58823529] ; [25.58823529  3.41176471],0
d1,1,0.105458,2.620992,[31 42] ; [18 12],[34.72815534 38.27184466] ; [14.27184466 15.72815534],0
n3,1,0.130631,2.284987,[13 16] ; [6 2],[14.89189189 14.10810811] ; [4.10810811 3.89189189],0
a6,1,0.133115,2.255801,[42 31] ; [22  8],[45.3592233 27.6407767] ; [18.6407767 11.3592233],0
d3,1,0.138249,2.197336,[37 36] ; [20 10],[40.39805825 32.60194175] ; [16.60194175 13.39805825],0
p2,1,0.138249,2.197336,[37 36] ; [20 10],[40.39805825 32.60194175] ; [16.60194175 13.39805825],0
s2,1,0.145729,2.116402,[22 48] ; [14 16],[25.2 44.8] ; [10.8 19.2],0
d5,1,0.152086,2.0512,[48 25] ; [24  6],[51.02912621 21.97087379] ; [20.97087379  9.02912621],0
a7,1,0.153379,2.038322,[42 30] ; [22  8],[45.17647059 26.82352941] ; [18.82352941 11.17647059],0
v2,1,0.176053,1.830631,[24 47] ; [14 15],[26.98 44.02] ; [11.02 17.98],0
s8,1,0.17822,1.812403,[17 55] ; [11 19],[19.76470588 52.23529412] ; [ 8.23529412 21.76470588],0
b2,1,0.209921,1.571969,[17 31] ; [ 4 16],[14.82352941 33.17647059] ; [ 6.17647059 13.82352941],0
b3,1,0.209921,1.571969,[17 31] ; [ 4 16],[14.82352941 33.17647059] ; [ 6.17647059 13.82352941],0
a8,1,0.221608,1.493926,[ 6 58] ; [ 5 22],[ 7.73626374 56.26373626] ; [ 3.26373626 23.73626374],0
b1,1,0.241624,1.371093,[37 36] ; [19 11],[39.68932039 33.31067961] ; [16.31067961 13.68932039],0
n4,1,0.254271,1.299684,[59 14] ; [27  3],[60.95145631 12.04854369] ; [25.04854369  4.95145631],0
b5,1,0.256354,1.288339,[43 30] ; [14 16],[40.39805825 32.60194175] ; [16.60194175 13.39805825],0
v3,1,0.266996,1.232115,[21 52] ; [12 18],[23.38834951 49.61165049] ; [ 9.61165049 20.38834951],0
n6,1,0.291551,1.112447,[53 19] ; [25  5],[55.05882353 16.94117647] ; [22.94117647  7.05882353],0
a3,1,0.29884,1.079365,[40 32] ; [20 10],[42.35294118 29.64705882] ; [17.64705882 12.35294118],0
d2,1,0.373243,0.792838,[40 31] ; [14 16],[37.96039604 33.03960396] ; [16.03960396 13.96039604],0
p4,1,0.387852,0.745664,[26 47] ; [13 16],[27.91176471 45.08823529] ; [11.08823529 17.91176471],0
u1,1,0.399987,0.708366,[12 61] ; [ 3 27],[10.63106796 62.36893204] ; [ 4.36893204 25.63106796],0
a5,1,0.426061,0.633536,[40 33] ; [19 11],[41.81553398 31.18446602] ; [17.18446602 12.81553398],0
b4,1,0.462692,0.539375,[43 30] ; [20 10],[44.65048544 28.34951456] ; [18.34951456 11.65048544],0
s5,1,0.469602,0.522912,[12 58] ; [ 7 23],[13.3 56.7] ; [ 5.7 24.3],0
a2,1,0.477904,0.503642,[14 59] ; [ 4 26],[12.75728155 60.24271845] ; [ 5.24271845 24.75728155],0
p5,1,0.480035,0.498785,[ 5 67] ; [ 1 29],[ 4.23529412 67.76470588] ; [ 1.76470588 28.23529412],0
p6,1,0.484038,0.489753,[14 57] ; [ 4 25],[12.78 58.22] ; [ 5.22 23.78],0
a1,1,0.503833,0.446854,[ 8 65] ; [ 2 28],[ 7.08737864 65.91262136] ; [ 2.91262136 27.08737864],0
s6,1,0.573742,0.316462,[34 38] ; [16 14],[35.29411765 36.70588235] ; [14.70588235 15.29411765],0
v1,1,0.584529,0.298969,[26 47] ; [ 9 21],[24.80582524 48.19417476] ; [10.19417476 19.80582524],0
u3,1,0.637458,0.222082,[16 17] ; [4 6],[15.34883721 17.65116279] ; [4.65116279 5.34883721],0
u2,1,0.643735,0.213891,[15 16] ; [4 6],[14.36585366 16.63414634] ; [4.63414634 5.36585366],0
n1,1,0.764177,0.09,[13 17] ; [3 3],[13.33333333 16.66666667] ; [2.66666667 3.33333333],0
p1,1,0.771214,0.084557,[ 6 67] ; [ 3 27],[ 6.37864078 66.62135922] ; [ 2.62135922 27.37864078],0
s1,1,0.775432,0.081383,[ 6 66] ; [ 2 28],[ 5.64705882 66.35294118] ; [ 2.35294118 27.64705882],0
p3,1,0.820656,0.051393,[21 52] ; [ 9 20],[21.47058824 51.52941176] ; [ 8.52941176 20.47058824],0
