Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.000922,10.978575,[14 41] ; [15  8],[20.44871795 34.55128205] ; [ 8.55128205 14.44871795],1
s6,1,0.003034,8.786954,[34 20] ; [ 6 17],[28.05194805 25.94805195] ; [11.94805195 11.05194805],0
v4,1,0.007222,7.216834,[41 11] ; [11 12],[36.05333333 15.94666667] ; [15.94666667  7.05333333],0
p9,1,0.027442,4.862773,[41 13] ; [11 11],[36.94736842 17.05263158] ; [15.05263158  6.94736842],0
s8,1,0.039439,4.241872,[20 35] ; [ 3 20],[16.21794872 38.78205128] ; [ 6.78205128 16.21794872],0
n6,1,0.044716,4.029322,[40 13] ; [12 11],[36.26315789 16.73684211] ; [15.73684211  7.26315789],0
p4,1,0.060775,3.516119,[27 28] ; [ 6 17],[23.26923077 31.73076923] ; [ 9.73076923 13.26923077],0
p11,1,0.079114,3.083004,[40 15] ; [12 11],[36.66666667 18.33333333] ; [15.33333333  7.66666667],0
p3,1,0.090426,2.866769,[21 34] ; [ 4 18],[17.85714286 37.14285714] ; [ 7.14285714 14.85714286],0
p7,1,0.113558,2.504,[27 27] ; [ 7 16],[23.84415584 30.15584416] ; [10.15584416 12.84415584],0
s1,1,0.121939,2.392242,[ 2 53] ; [ 3 20],[ 3.52564103 51.47435897] ; [ 1.47435897 21.52564103],0
s3,1,0.127569,2.321842,[28 24] ; [ 8 15],[24.96 27.04] ; [11.04 11.96],0
d1,1,0.13637,2.218444,[21 34] ; [13 10],[23.97435897 31.02564103] ; [10.02564103 12.97435897],0
a3,1,0.196144,1.670856,[29 25] ; [16  7],[31.55844156 22.44155844] ; [13.44155844  9.55844156],0
p10,1,0.211504,1.561102,[35 17] ; [12 11],[32.58666667 19.41333333] ; [14.41333333  8.58666667],0
p8,1,0.221168,1.496779,[22 32] ; [ 6 17],[19.63636364 34.36363636] ; [ 8.36363636 14.63636364],0
u1,1,0.251417,1.315415,[ 3 52] ; [ 3 20],[ 4.23076923 50.76923077] ; [ 1.76923077 21.23076923],0
n4,1,0.25406,1.300841,[34 21] ; [11 12],[31.73076923 23.26923077] ; [13.26923077  9.73076923],0
a5,1,0.273302,1.2001,[26 29] ; [14  9],[28.20512821 26.79487179] ; [11.79487179 11.20512821],0
