Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,46.692941,[215  46] ; [35 45],[191.34897361  69.65102639] ; [58.65102639 21.34897361],1
a4,1,0.0,46.551058,[150 112] ; [11 69],[123.33918129 138.66081871] ; [37.66081871 42.33918129],1
d2,1,0.0,40.961351,[164  95] ; [18 62],[139.05014749 119.94985251] ; [42.94985251 37.05014749],1
d1,1,0.0,34.745588,[200  62] ; [33 47],[178.49707602  83.50292398] ; [54.50292398 25.49707602],1
u1,1,2e-06,23.134588,[ 88 174] ; [ 5 75],[ 71.24561404 190.75438596] ; [21.75438596 58.24561404],1
a6,1,3e-06,21.84911,[212  47] ; [45 35],[196.35103245  62.64896755] ; [60.64896755 19.35103245],1
v2,1,4.8e-05,16.510183,[164  86] ; [30 46],[148.77300613 101.22699387] ; [45.22699387 30.77300613],1
n4,1,7.7e-05,15.631597,[215  46] ; [49 31],[202.06451613  58.93548387] ; [61.93548387 18.06451613],1
v1,1,0.000118,14.818247,[155  98] ; [28 49],[140.3 112.7] ; [42.7 34.3],1
p4,1,0.00018,14.024099,[185  74] ; [39 41],[171.13864307  87.86135693] ; [52.86135693 27.13864307],1
p9,1,0.001645,9.908812,[240  19] ; [61 15],[232.71343284  26.28656716] ; [68.28656716  7.71343284],0
d3,1,0.001645,9.908331,[215  45] ; [53 27],[204.94117647  55.05882353] ; [63.05882353 16.94117647],0
r4,1,0.002305,9.289457,[251  11] ; [69 11],[245.14619883  16.85380117] ; [74.85380117  5.14619883],0
d5,1,0.014252,6.006625,[225  35] ; [60 20],[217.94117647  42.05882353] ; [67.05882353 12.94117647],0
s5,1,0.015267,5.885438,[128 121] ; [27 49],[118.75384615 130.24615385] ; [36.24615385 39.75384615],0
s7,1,0.017724,5.623204,[178  74] ; [42 33],[169.5412844  82.4587156] ; [50.4587156 24.5412844],0
r1,1,0.022215,5.228873,[225  34] ; [61 19],[218.50737463  40.49262537] ; [67.49262537 12.50737463],0
p12,1,0.032491,4.572385,[ 36 225] ; [ 4 76],[ 30.61583578 230.38416422] ; [ 9.38416422 70.61583578],0
p3,1,0.033679,4.510945,[142 117] ; [33 47],[133.7020649 125.2979351] ; [41.2979351 38.7020649],0
n6,1,0.039337,4.246255,[229  29] ; [63 16],[223.54896142  34.45103858] ; [68.45103858 10.54896142],0
s8,1,0.041579,4.152241,[157 103] ; [38 42],[149.11764706 110.88235294] ; [45.88235294 34.11764706],0
p10,1,0.044174,4.049888,[232  28] ; [62 15],[226.82492582  33.17507418] ; [67.17507418  9.82492582],0
s6,1,0.058166,3.588918,[227  30] ; [64 16],[221.91988131  35.08011869] ; [69.08011869 10.91988131],0
v3,1,0.059693,3.5459,[110 141] ; [23 50],[103.03395062 147.96604938] ; [29.96604938 43.03395062],0
v4,1,0.070684,3.26707,[256   4] ; [75  4],[253.86430678   6.13569322] ; [77.13569322  1.86430678],0
p6,1,0.091903,2.840722,[118 142] ; [27 51],[111.53846154 148.46153846] ; [33.46153846 44.53846154],0
r2,1,0.125748,2.34423,[255   3] ; [77  3],[253.42011834   4.57988166] ; [78.57988166  1.42011834],0
b2,1,0.131805,2.271117,[61 93] ; [11 30],[56.86153846 97.13846154] ; [15.13846154 25.86153846],0
