Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.3e-05,17.252091,[7 3] ; [ 2 28],[2.25 7.75] ; [ 6.75 23.25],1
a4,1,0.040778,4.185196,[5 5] ; [ 5 24],[2.56410256 7.43589744] ; [ 7.43589744 21.56410256],0
s7,1,0.072998,3.214286,[3 5] ; [ 3 25],[1.33333333 6.66666667] ; [ 4.66666667 23.33333333],0
s1,1,0.08311,3.003003,[2 8] ; [ 1 29],[0.75 9.25] ; [ 2.25 27.75],0
p3,1,0.140758,2.169655,[4 6] ; [ 5 24],[2.30769231 7.69230769] ; [ 6.69230769 22.30769231],0
p1,1,0.223543,1.481481,[2 8] ; [ 2 28],[1. 9.] ; [ 3. 27.],0
a5,1,0.270912,1.212121,[6 4] ; [12 18],[4.5 5.5] ; [13.5 16.5],0
n3,1,0.323296,0.975566,[3 2] ; [ 6 11],[2.04545455 2.95454545] ; [ 6.95454545 10.04545455],0
a3,1,0.355842,0.852515,[7 3] ; [16 14],[5.75 4.25] ; [17.25 12.75],0
s4,1,0.36131,0.833333,[3 7] ; [ 5 25],[2. 8.] ; [ 6. 24.],0
n5,1,0.36131,0.833333,[7 3] ; [25  5],[8. 2.] ; [24.  6.],0
s8,1,0.407626,0.685714,[2 8] ; [ 3 27],[1.25 8.75] ; [ 3.75 26.25],0
p2,1,0.407818,0.685154,[6 4] ; [13 16],[4.87179487 5.12820513] ; [14.12820513 14.87179487],0
s6,1,0.425556,0.634921,[4 6] ; [ 8 22],[3. 7.] ; [ 9. 21.],0
u3,1,0.432246,0.61678,[1 2] ; [ 2 12],[0.52941176 2.47058824] ; [ 2.47058824 11.52941176],0
b5,1,0.456057,0.555556,[5 5] ; [11 19],[4. 6.] ; [12. 18.],0
d2,1,0.503445,0.447667,[5 5] ; [11 18],[4.1025641 5.8974359] ; [11.8974359 17.1025641],0
b2,1,0.507726,0.43875,[3 3] ; [ 7 13],[2.30769231 3.69230769] ; [ 7.69230769 12.30769231],0
b3,1,0.507726,0.43875,[3 3] ; [ 7 13],[2.30769231 3.69230769] ; [ 7.69230769 12.30769231],0
n2,1,0.537892,0.379461,[3 2] ; [ 8 10],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
a6,1,0.571608,0.32,[3 7] ; [12 18],[3.75 6.25] ; [11.25 18.75],0
n6,1,0.579585,0.306905,[5 5] ; [18 12],[5.75 4.25] ; [17.25 12.75],0
r2,1,0.601297,0.273044,[7 3] ; [17 11],[6.31578947 3.68421053] ; [17.68421053 10.31578947],0
d1,1,0.67329,0.177778,[2 8] ; [ 8 22],[2.5 7.5] ; [ 7.5 22.5],0
d3,1,0.701883,0.14652,[4 6] ; [10 20],[3.5 6.5] ; [10.5 19.5],0
n4,1,0.701883,0.14652,[7 3] ; [19 11],[6.5 3.5] ; [19.5 10.5],0
p11,1,0.701883,0.14652,[4 6] ; [10 20],[3.5 6.5] ; [10.5 19.5],0
b1,1,0.713628,0.13468,[5 5] ; [17 13],[5.5 4.5] ; [16.5 13.5],0
d5,1,0.713628,0.13468,[4 6] ; [14 16],[4.5 5.5] ; [13.5 16.5],0
p6,1,0.757027,0.09572,[1 9] ; [ 4 25],[1.28205128 8.71794872] ; [ 3.71794872 25.28205128],0
n1,1,0.781867,0.076667,[2 3] ; [ 6 12],[1.73913043 3.26086957] ; [ 6.26086957 11.73913043],0
r4,1,0.782528,0.07619,[1 9] ; [ 4 26],[1.25 8.75] ; [ 3.75 26.25],0
v3,1,0.788843,0.071724,[2 8] ; [ 7 22],[2.30769231 7.69230769] ; [ 6.69230769 22.30769231],0
p10,1,0.790643,0.070478,[4 6] ; [13 16],[4.35897436 5.64102564] ; [12.64102564 16.35897436],0
s5,1,0.810136,0.05772,[2 8] ; [ 5 25],[1.75 8.25] ; [ 5.25 24.75],0
v1,1,0.838007,0.041797,[3 7] ; [ 8 22],[2.75 7.25] ; [ 8.25 21.75],0
r1,1,0.850436,0.035556,[4 6] ; [11 19],[3.75 6.25] ; [11.25 18.75],0
v4,1,0.854953,0.033417,[5 5] ; [16 14],[5.25 4.75] ; [15.75 14.25],0
d4,1,0.854953,0.033417,[5 5] ; [14 16],[4.75 5.25] ; [14.25 15.75],0
p4,1,0.883708,0.021395,[3 7] ; [ 8 21],[2.82051282 7.17948718] ; [ 8.17948718 20.82051282],0
p7,1,0.900415,0.015659,[3 7] ; [ 9 19],[3.15789474 6.84210526] ; [ 8.84210526 19.15789474],0
p9,1,0.96749,0.001661,[4 6] ; [11 16],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
a1,1,1.0,0.0,[1 9] ; [ 3 27],[1. 9.] ; [ 3. 27.],0
b4,1,1.0,0.0,[5 5] ; [15 15],[5. 5.] ; [15. 15.],0
