Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.8e-05,18.341968,[76 35] ; [350  57],[91.28571429 19.71428571] ; [334.71428571  72.28571429],1
a8,1,0.000202,13.814307,[ 3 99] ; [ 65 306],[14.66384778 87.33615222] ; [ 53.33615222 317.66384778],1
s5,1,0.001057,10.72559,[62 44] ; [162 236],[47.11111111 58.88888889] ; [176.88888889 221.11111111],0
v3,1,0.005031,7.868094,[34 75] ; [183 213],[46.83762376 62.16237624] ; [170.16237624 225.83762376],0
s2,1,0.013533,6.098129,[83 26] ; [258 148],[72.17281553 36.82718447] ; [268.82718447 137.17281553],0
v2,1,0.015754,5.830152,[51 56] ; [239 155],[61.93612774 45.06387226] ; [228.06387226 165.93612774],0
v1,1,0.017133,5.682737,[53 58] ; [238 156],[63.96237624 47.03762376] ; [227.03762376 166.96237624],0
b2,1,0.025607,4.982369,[13 42] ; [103 157],[20.25396825 34.74603175] ; [ 95.74603175 164.25396825],0
b3,1,0.025607,4.982369,[13 42] ; [103 157],[20.25396825 34.74603175] ; [ 95.74603175 164.25396825],0
p2,1,0.026422,4.92818,[86 25] ; [348  56],[93.54174757 17.45825243] ; [340.45825243  63.54174757],0
u2,1,0.039067,4.257949,[12 18] ; [66 42],[16.95652174 13.04347826] ; [61.04347826 46.95652174],0
n5,1,0.04122,4.166954,[84 27] ; [342  65],[91.28571429 19.71428571] ; [334.71428571  72.28571429],0
n1,1,0.050785,3.81535,[ 8 23] ; [36 42],[12.51376147 18.48623853] ; [31.48623853 46.51376147],0
p5,1,0.05387,3.71672,[ 10 101] ; [ 66 338],[16.38058252 94.61941748] ; [ 59.61941748 344.38058252],0
s3,1,0.100715,2.694189,[83 26] ; [272 128],[76.021611 32.978389] ; [278.978389 121.021611],0
u4,1,0.112906,2.513065,[  1 110] ; [ 16 392],[  3.63583815 107.36416185] ; [ 13.36416185 394.63583815],0
s1,1,0.229894,1.441515,[  7 103] ; [ 15 386],[  4.73581213 105.26418787] ; [ 17.26418787 383.73581213],0
a7,1,0.289851,1.120315,[77 34] ; [302 104],[81.37137331 29.62862669] ; [297.62862669 108.37137331],0
p12,1,0.294023,1.101111,[  9 102] ; [ 47 358],[12.04651163 98.95348837] ; [ 43.95348837 361.04651163],0
a1,1,0.304676,1.053617,[  4 107] ; [ 25 383],[  6.20231214 104.79768786] ; [ 22.79768786 385.20231214],0
p11,1,0.314986,1.009653,[85 26] ; [330  78],[88.75722543 22.24277457] ; [326.24277457  81.75722543],0
d4,1,0.319599,0.990587,[90 21] ; [345  61],[93.39458414 17.60541586] ; [341.60541586  64.39458414],0
n3,1,0.327338,0.959402,[24  7] ; [53 25],[21.89908257  9.10091743] ; [55.10091743 22.89908257],0
r3,1,0.328346,0.955409,[104   6] ; [394  14],[105.75289575   4.24710425] ; [392.24710425  15.75289575],0
b5,1,0.356184,0.851304,[72 39] ; [245 163],[67.79768786 43.20231214] ; [249.20231214 158.79768786],0
d1,1,0.374616,0.788296,[71 40] ; [242 166],[66.94219653 44.05780347] ; [246.05780347 161.94219653],0
a6,1,0.381316,0.766456,[70 41] ; [274 132],[73.85686654 37.14313346] ; [270.14313346 135.85686654],0
d3,1,0.400977,0.705393,[82 29] ; [284 123],[78.42857143 32.57142857] ; [287.57142857 119.42857143],0
p10,1,0.424074,0.638996,[93 18] ; [347  53],[95.57729941 15.42270059] ; [344.42270059  55.57729941],0
u3,1,0.462077,0.540858,[20 10] ; [64 44],[18.26086957 11.73913043] ; [65.73913043 42.26086957],0
s7,1,0.490073,0.476366,[71 37] ; [241 147],[67.93548387 40.06451613] ; [244.06451613 143.93548387],0
d5,1,0.499557,0.455876,[90 21] ; [341  66],[92.35714286 18.64285714] ; [338.64285714  68.35714286],0
r1,1,0.548297,0.360377,[90 21] ; [339  67],[92.10638298 18.89361702] ; [336.89361702  69.10638298],0
p9,1,0.601302,0.273036,[96 14] ; [358  44],[97.5390625 12.4609375] ; [356.4609375  45.5390625],0
d2,1,0.657311,0.196806,[58 53] ; [203 204],[55.92857143 55.07142857] ; [205.07142857 201.92857143],0
s8,1,0.680171,0.169934,[61 50] ; [232 174],[62.90715667 48.09284333] ; [230.09284333 175.90715667],0
r2,1,0.690848,0.158169,[107   4] ; [385  18],[106.24902724   4.75097276] ; [385.75097276  17.24902724],0
b1,1,0.716219,0.132145,[39 72] ; [151 257],[40.63583815 70.36416185] ; [149.36416185 258.63583815],0
b4,1,0.720892,0.127639,[69 42] ; [246 162],[67.3699422 43.6300578] ; [247.6300578 160.3699422],0
a2,1,0.723076,0.125565,[27 84] ; [106 302],[28.44508671 82.55491329] ; [104.55491329 303.44508671],0
r4,1,0.752672,0.0993,[103   8] ; [382  26],[103.7283237   7.2716763] ; [381.2716763  26.7283237],0
p6,1,0.770901,0.084795,[44 66] ; [167 235],[45.33203125 64.66796875] ; [165.66796875 236.33203125],0
