Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6.9e-05,15.850023,[ 63 106] ; [84 56],[80.39805825 88.60194175] ; [66.60194175 73.39805825],1
s2,1,0.000582,11.833105,[ 61 115] ; [77 66],[76.13793103 99.86206897] ; [61.86206897 81.13793103],1
p9,1,0.001235,10.437694,[117  58] ; [120  25],[129.609375  45.390625] ; [107.390625  37.609375],0
v3,1,0.00156,10.006948,[ 44 125] ; [60 79],[ 57.06493506 111.93506494] ; [46.93506494 92.06493506],0
s6,1,0.001729,9.816736,[88 89] ; [96 47],[101.775  75.225] ; [82.225 60.775],0
p2,1,0.002666,9.02327,[105  73] ; [110  37],[117.75384615  60.24615385] ; [97.24615385 49.75384615],0
p4,1,0.008917,6.839356,[ 59 118] ; [70 77],[ 70.47222222 106.52777778] ; [58.52777778 88.47222222],0
p5,1,0.016436,5.755592,[  5 173] ; [ 13 132],[  9.91950464 168.08049536] ; [  8.08049536 136.91950464],0
p3,1,0.020005,5.411474,[ 45 132] ; [55 92],[ 54.62962963 122.37037037] ; [ 45.37037037 101.62962963],0
b5,1,0.020665,5.354836,[100  78] ; [101  46],[110.08615385  67.91384615] ; [90.91384615 56.08615385],0
v4,1,0.025602,4.982705,[157  21] ; [139   7],[162.61728395  15.38271605] ; [133.38271605  12.61728395],0
s7,1,0.052452,3.761308,[ 54 116] ; [59 80],[ 62.16828479 107.83171521] ; [50.83171521 88.16828479],0
a8,1,0.056335,3.642116,[  9 158] ; [ 15 116],[ 13.44966443 153.55033557] ; [ 10.55033557 120.44966443],0
p8,1,0.057913,3.596179,[ 36 141] ; [ 43 103],[ 43.29102167 133.70897833] ; [ 35.70897833 110.29102167],0
a5,1,0.064292,3.423054,[115  63] ; [109  38],[122.68307692  55.31692308] ; [101.31692308  45.68307692],0
n2,1,0.064328,3.422124,[46 26] ; [30  7],[50.20183486 21.79816514] ; [25.79816514 11.20183486],0
p12,1,0.067083,3.353002,[  8 170] ; [ 14 131],[ 12.12383901 165.87616099] ; [  9.87616099 135.12383901],0
s8,1,0.079972,3.065468,[ 50 128] ; [54 91],[ 57.3126935 120.6873065] ; [46.6873065 98.3126935],0
r4,1,0.084064,2.984516,[148  30] ; [132  15],[153.35384615  24.64615385] ; [126.64615385  20.35384615],0
p6,1,0.086406,2.940081,[ 21 157] ; [ 27 118],[ 26.45201238 151.54798762] ; [ 21.54798762 123.45201238],0
r1,1,0.119705,2.42117,[129  48] ; [118  29],[134.93518519  42.06481481] ; [112.06481481  34.93518519],0
u2,1,0.1381,2.198998,[27 32] ; [30 20],[30.85321101 28.14678899] ; [26.14678899 23.85321101],0
p10,1,0.140613,2.17124,[113  63] ; [105  41],[119.1552795  56.8447205] ; [98.8447205 47.1552795],0
r3,1,0.142769,2.147853,[155  22] ; [136  11],[158.97222222  18.02777778] ; [132.02777778  14.97222222],0
n4,1,0.143555,2.13943,[120  58] ; [110  37],[125.96923077  52.03076923] ; [104.03076923  42.96923077],0
s3,1,0.157252,2.000452,[80 97] ; [76 67],[86.2875 90.7125] ; [69.7125 73.2875],0
p11,1,0.175358,1.83653,[112  66] ; [103  44],[117.75384615  60.24615385] ; [97.24615385 49.75384615],0
a1,1,0.200454,1.639064,[ 10 168] ; [  4 143],[  7.66769231 170.33230769] ; [  6.33230769 140.66769231],0
s1,1,0.245447,1.349032,[ 11 165] ; [  5 141],[  8.74534161 167.25465839] ; [  7.25465839 138.74534161],0
a2,1,0.250533,1.320329,[ 32 146] ; [ 34 113],[ 36.14769231 141.85230769] ; [ 29.85230769 117.14769231],0
b2,1,0.250547,1.320249,[30 63] ; [36 53],[33.72527473 59.27472527] ; [32.27472527 56.72527473],0
b3,1,0.250547,1.320249,[30 63] ; [36 53],[33.72527473 59.27472527] ; [32.27472527 56.72527473],0
s5,1,0.252657,1.308553,[ 39 131] ; [39 97],[ 43.33333333 126.66666667] ; [ 34.66666667 101.33333333],0
a4,1,0.413001,0.670145,[78 99] ; [71 75],[81.6501548 95.3498452] ; [67.3498452 78.6501548],0
b1,1,0.434478,0.610822,[ 68 110] ; [50 97],[ 64.62769231 113.37230769] ; [53.37230769 93.62769231],0
d2,1,0.444753,0.58399,[89 86] ; [68 78],[85.59190031 89.40809969] ; [71.40809969 74.59190031],0
n1,1,0.446919,0.578453,[31 40] ; [19 18],[32.87037037 38.12962963] ; [17.12962963 19.87037037],0
u3,1,0.448008,0.575687,[34 25] ; [33 18],[35.93636364 23.06363636] ; [31.06363636 19.93636364],0
n3,1,0.500434,0.454016,[44 25] ; [26 11],[45.56603774 23.43396226] ; [24.43396226 12.56603774],0
s4,1,0.504571,0.445308,[ 32 145] ; [ 22 122],[ 29.77570093 147.22429907] ; [ 24.22429907 119.77570093],0
u4,1,0.522077,0.409788,[  3 175] ; [  4 143],[  3.83384615 174.16615385] ; [  3.16615385 143.83384615],0
a7,1,0.624443,0.239673,[122  55] ; [105  42],[124.00925926  52.99074074] ; [102.99074074  44.00925926],0
n5,1,0.6359,0.224144,[116  61] ; [100  47],[118.  59.] ; [98. 49.],0
b4,1,0.660596,0.192801,[112  66] ; [89 58],[110.08615385  67.91384615] ; [90.91384615 56.08615385],0
d5,1,0.695883,0.152791,[136  42] ; [115  32],[137.47076923  40.52923077] ; [113.52923077  33.47076923],0
n6,1,0.738366,0.111568,[134  44] ; [113  34],[135.28  42.72] ; [111.72  35.28],0
p1,1,0.741878,0.108483,[ 15 162] ; [ 14 133],[ 15.84259259 161.15740741] ; [ 13.15740741 133.84259259],0
d4,1,0.831862,0.045077,[139  38] ; [114  33],[138.21296296  38.78703704] ; [114.78703704  32.21296296],0
a3,1,0.834759,0.043515,[119  59] ; [96 50],[118.11728395  59.88271605] ; [96.88271605 49.11728395],0
d1,1,0.892155,0.018381,[97 81] ; [79 68],[96.39384615 81.60615385] ; [79.60615385 67.39384615],0
d3,1,0.895379,0.017293,[115  63] ; [96 51],[115.56307692  62.43692308] ; [95.43692308 51.56307692],0
u1,1,0.905431,0.014114,[ 27 151] ; [ 23 124],[ 27.38461538 150.61538462] ; [ 22.61538462 124.38461538],0
a6,1,0.971544,0.001272,[119  59] ; [98 49],[118.84923077  59.15076923] ; [98.15076923 48.84923077],0
