Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1e-05,19.580935,[10 15] ; [87 18],[18.65384615  6.34615385] ; [78.34615385 26.65384615],1
n5,1,5.9e-05,16.12534,[ 8 17] ; [78 27],[16.53846154  8.46153846] ; [69.46153846 35.53846154],1
r4,1,0.001793,9.750725,[17  8] ; [96  9],[21.73076923  3.26923077] ; [91.26923077 13.73076923],0
p11,1,0.002355,9.249947,[11 14] ; [79 26],[17.30769231  7.69230769] ; [72.69230769 32.30769231],0
v4,1,0.002538,9.112647,[21  4] ; [103   2],[23.84615385  1.15384615] ; [100.15384615   4.84615385],0
p10,1,0.003516,8.518278,[14  9] ; [91 14],[18.8671875  4.1328125] ; [86.1328125 18.8671875],0
r1,1,0.00384,8.358013,[13 12] ; [84 21],[18.65384615  6.34615385] ; [78.34615385 26.65384615],0
n4,1,0.007806,7.077526,[10 15] ; [72 33],[15.76923077  9.23076923] ; [66.23076923 38.76923077],0
p9,1,0.013475,6.105634,[16  7] ; [93 11],[19.74015748  3.25984252] ; [89.25984252 14.74015748],0
p4,1,0.013776,6.066667,[10 15] ; [70 35],[15.38461538  9.61538462] ; [64.61538462 40.38461538],0
s6,1,0.013905,6.050204,[16  8] ; [90 13],[20.03149606  3.96850394] ; [85.96850394 17.03149606],0
r2,1,0.019345,5.470085,[20  4] ; [100   4],[22.5  1.5] ; [97.5  6.5],0
b1,1,0.02313,5.15873,[15 10] ; [37 68],[10. 15.] ; [42. 63.],0
u2,1,0.025127,5.015091,[7 1] ; [11 15],[4.23529412 3.76470588] ; [13.76470588 12.23529412],0
a2,1,0.066917,3.357076,[ 2 23] ; [26 79],[ 5.38461538 19.61538462] ; [22.61538462 82.38461538],0
d1,1,0.070824,3.263812,[14 11] ; [78 27],[17.69230769  7.30769231] ; [74.30769231 30.69230769],0
b4,1,0.084642,2.973431,[11 14] ; [66 39],[14.80769231 10.19230769] ; [62.19230769 42.80769231],0
n1,1,0.087356,2.922431,[6 5] ; [ 6 18],[3.77142857 7.22857143] ; [ 8.22857143 15.77142857],0
p6,1,0.088804,2.895928,[15  9] ; [45 59],[11.25 12.75] ; [48.75 55.25],0
b5,1,0.121572,2.396952,[12 13] ; [68 37],[15.38461538  9.61538462] ; [64.61538462 40.38461538],0
p8,1,0.215914,1.531324,[ 9 14] ; [55 48],[11.68253968 11.31746032] ; [52.31746032 50.68253968],0
v3,1,0.221931,1.491841,[ 5 19] ; [35 69],[ 7.5 16.5] ; [32.5 71.5],0
a7,1,0.224728,1.473923,[15 10] ; [76 29],[17.5  7.5] ; [73.5 31.5],0
u1,1,0.229099,1.446448,[ 3 22] ; [24 81],[ 5.19230769 19.80769231] ; [21.80769231 83.19230769],0
d5,1,0.253279,1.305124,[20  5] ; [93 12],[21.73076923  3.26923077] ; [91.26923077 13.73076923],0
d3,1,0.293693,1.102613,[19  6] ; [89 16],[20.76923077  4.23076923] ; [87.23076923 17.76923077],0
s5,1,0.338765,0.915099,[10 12] ; [55 42],[12.01680672  9.98319328] ; [52.98319328 44.01680672],0
r3,1,0.342467,0.901173,[21  3] ; [97  7],[22.125  1.875] ; [95.875  8.125],0
b2,1,0.362772,0.828274,[6 9] ; [15 39],[ 4.56521739 10.43478261] ; [16.43478261 37.56521739],0
b3,1,0.362772,0.828274,[6 9] ; [15 39],[ 4.56521739 10.43478261] ; [16.43478261 37.56521739],0
p5,1,0.372459,0.795445,[ 1 24] ; [10 95],[ 2.11538462 22.88461538] ; [ 8.88461538 96.11538462],0
p2,1,0.38186,0.764706,[18  7] ; [84 21],[19.61538462  5.38461538] ; [82.38461538 22.61538462],0
v1,1,0.391537,0.734165,[10 15] ; [52 53],[11.92307692 13.07692308] ; [50.07692308 54.92307692],0
a4,1,0.391537,0.734165,[10 15] ; [52 53],[11.92307692 13.07692308] ; [50.07692308 54.92307692],0
a6,1,0.414589,0.665602,[14 11] ; [68 37],[15.76923077  9.23076923] ; [66.23076923 38.76923077],0
a3,1,0.459244,0.547736,[17  8] ; [79 26],[18.46153846  6.53846154] ; [77.53846154 27.46153846],0
s7,1,0.484391,0.488962,[15  7] ; [62 41],[13.552  8.448] ; [63.448 39.552],0
d2,1,0.514122,0.425669,[12 13] ; [58 47],[13.46153846 11.53846154] ; [56.53846154 48.46153846],0
v2,1,0.560576,0.338708,[11 13] ; [54 49],[12.28346457 11.71653543] ; [52.71653543 50.28346457],0
s3,1,0.646188,0.21074,[19  6] ; [75 30],[18.07692308  6.92307692] ; [75.92307692 29.07692308],0
s8,1,0.693647,0.155165,[12 13] ; [55 50],[12.88461538 12.11538462] ; [54.11538462 50.88461538],0
a8,1,0.711941,0.136346,[ 1 23] ; [ 6 92],[ 1.37704918 22.62295082] ; [ 5.62295082 92.37704918],0
s2,1,0.734807,0.114743,[17  8] ; [75 30],[17.69230769  7.30769231] ; [74.30769231 30.69230769],0
p7,1,0.797526,0.065818,[14  9] ; [65 37],[14.536  8.464] ; [64.464 37.536],0
p3,1,0.836766,0.042449,[13 12] ; [57 48],[13.46153846 11.53846154] ; [56.53846154 48.46153846],0
s1,1,0.900581,0.015607,[ 1 23] ; [  5 100],[ 1.11627907 22.88372093] ; [  4.88372093 100.11627907],0
n3,1,0.908333,0.013258,[8 3] ; [17  7],[7.85714286 3.14285714] ; [17.14285714  6.85714286],0
