Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.015931,5.810522,[ 4 11] ; [10  4],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
n5,1,0.035078,4.441387,[9 6] ; [ 3 11],[6.20689655 8.79310345] ; [5.79310345 8.20689655],0
d5,1,0.040219,4.208617,[ 5 10] ; [10  4],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
p8,1,0.065436,3.393939,[ 1 13] ; [5 9],[ 3. 11.] ; [ 3. 11.],0
d1,1,0.075475,3.159751,[ 2 13] ; [6 8],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
p11,1,0.089423,2.884737,[ 3 12] ; [7 7],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
v2,1,0.089423,2.884737,[ 3 12] ; [7 7],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
n2,1,0.108809,2.571429,[2 5] ; [5 2],[3.5 3.5] ; [3.5 3.5],0
p6,1,0.114306,2.493656,[ 1 13] ; [4 9],[ 2.59259259 11.40740741] ; [ 2.40740741 10.59259259],0
p3,1,0.125661,2.345299,[ 2 13] ; [5 8],[ 3.75 11.25] ; [3.25 9.75],0
d4,1,0.176076,1.830439,[7 8] ; [10  4],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
p4,1,0.183677,1.767619,[ 3 12] ; [6 8],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
d3,1,0.195646,1.674579,[ 4 11] ; [7 7],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
b4,1,0.195646,1.674579,[11  4] ; [7 7],[9.31034483 5.68965517] ; [8.68965517 5.31034483],0
a7,1,0.197631,1.659799,[ 5 10] ; [8 6],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
p2,1,0.197631,1.659799,[ 5 10] ; [8 6],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
s3,1,0.224765,1.473684,[ 3 11] ; [6 8],[4.5 9.5] ; [4.5 9.5],0
a4,1,0.23099,1.434756,[ 5 10] ; [ 2 12],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
p10,1,0.249323,1.327095,[ 1 14] ; [ 3 11],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
u3,1,0.308709,1.03619,[2 8] ; [3 4],[2.94117647 7.05882353] ; [2.05882353 4.94117647],0
s2,1,0.344085,0.895153,[ 3 12] ; [5 9],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
b5,1,0.355918,0.852245,[9 6] ; [6 8],[7.75862069 7.24137931] ; [7.24137931 6.75862069],0
r1,1,0.359339,0.840201,[ 4 11] ; [6 8],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
s4,1,0.410806,0.676467,[ 4 11] ; [ 2 12],[ 3.10344828 11.89655172] ; [ 2.89655172 11.10344828],0
a3,1,0.445009,0.583333,[5 9] ; [7 7],[6. 8.] ; [6. 8.],0
b2,1,0.493563,0.46875,[3 9] ; [1 7],[2.4 9.6] ; [1.6 6.4],0
b3,1,0.493563,0.46875,[3 9] ; [1 7],[2.4 9.6] ; [1.6 6.4],0
a8,1,0.541193,0.373333,[ 1 13] ; [ 2 12],[ 1.5 12.5] ; [ 1.5 12.5],0
n4,1,0.572645,0.318277,[8 7] ; [6 8],[7.24137931 7.75862069] ; [6.75862069 7.24137931],0
n3,1,0.576999,0.311111,[4 3] ; [5 2],[4.5 2.5] ; [4.5 2.5],0
a2,1,0.58438,0.299206,[ 2 13] ; [ 1 13],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
p1,1,0.58438,0.299206,[ 2 13] ; [ 1 13],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
s5,1,0.58438,0.299206,[ 2 13] ; [ 1 13],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
s1,1,0.58438,0.299206,[ 2 13] ; [ 1 13],[ 1.55172414 13.44827586] ; [ 1.44827586 12.55172414],0
n6,1,0.588439,0.292788,[6 9] ; [7 7],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
v1,1,0.589876,0.290538,[ 3 12] ; [ 4 10],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
s6,1,0.59737,0.27898,[ 5 10] ; [6 8],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
u2,1,0.771519,0.084325,[5 5] ; [3 4],[4.70588235 5.29411765] ; [3.29411765 3.70588235],0
d2,1,0.781793,0.07672,[ 5 10] ; [ 4 10],[ 4.65517241 10.34482759] ; [4.34482759 9.65517241],0
p7,1,0.812126,0.056494,[6 9] ; [5 9],[5.68965517 9.31034483] ; [5.31034483 8.68965517],0
b1,1,0.812126,0.056494,[9 6] ; [9 5],[9.31034483 5.68965517] ; [8.68965517 5.31034483],0
a6,1,0.836687,0.042491,[7 8] ; [6 8],[6.72413793 8.27586207] ; [6.27586207 7.72413793],0
s7,1,0.866784,0.028139,[ 2 12] ; [ 2 10],[ 2.15384615 11.84615385] ; [ 1.84615385 10.15384615],0
a5,1,0.908697,0.013152,[ 4 11] ; [ 4 10],[ 4.13793103 10.86206897] ; [ 3.86206897 10.13793103],0
v3,1,0.940754,0.005524,[ 2 13] ; [ 2 12],[ 2.06896552 12.93103448] ; [ 1.93103448 12.06896552],0
n1,1,1.0,0.0,[2 5] ; [2 5],[2. 5.] ; [2. 5.],0
