Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,0.000144,14.452171,[ 7 90] ; [ 9 16],[12.72131148 84.27868852] ; [ 3.27868852 21.72131148],1
p4,1,0.000181,14.023379,[33 63] ; [19  6],[41.25619835 54.74380165] ; [10.74380165 14.25619835],1
p7,1,0.000874,11.077485,[40 54] ; [20  5],[47.39495798 46.60504202] ; [12.60504202 12.39495798],1
p3,1,0.001626,9.930151,[29 68] ; [16  9],[35.77868852 61.22131148] ; [ 9.22131148 15.77868852],0
p8,1,0.002068,9.488553,[33 64] ; [17  8],[39.75409836 57.24590164] ; [10.24590164 14.75409836],0
s6,1,0.01973,5.435628,[44 52] ; [18  7],[49.19008264 46.80991736] ; [12.80991736 12.19008264],0
p2,1,0.025367,4.998631,[63 34] ; [22  3],[67.58196721 29.41803279] ; [17.41803279  7.58196721],0
b1,1,0.034782,4.455833,[43 54] ; [17  8],[47.70491803 49.29508197] ; [12.29508197 12.70491803],0
s2,1,0.048153,3.904624,[33 63] ; [14 11],[37.2892562 58.7107438] ; [ 9.7107438 15.2892562],0
v1,1,0.058752,3.572279,[37 58] ; [15 10],[41.16666667 53.83333333] ; [10.83333333 14.16666667],0
a5,1,0.069185,3.302252,[69 28] ; [13 12],[65.19672131 31.80327869] ; [16.80327869  8.19672131],0
n5,1,0.092346,2.832993,[34 62] ; [13 11],[37.6 58.4] ; [ 9.4 14.6],0
s5,1,0.117114,2.455498,[15 78] ; [ 7 16],[17.63793103 75.36206897] ; [ 4.36206897 18.63793103],0
p10,1,0.128833,2.306513,[53 43] ; [18  7],[56.33057851 39.66942149] ; [14.66942149 10.33057851],0
s8,1,0.147943,2.093329,[28 69] ; [11 14],[31.00819672 65.99180328] ; [ 7.99180328 17.00819672],0
p9,1,0.149095,2.081488,[58 38] ; [19  6],[61.09090909 34.90909091] ; [15.90909091  9.09090909],0
b5,1,0.225249,1.470615,[57 40] ; [18  7],[59.63114754 37.36885246] ; [15.36885246  9.63114754],0
n2,1,0.241567,1.371429,[22 13] ; [6 1],[23.33333333 11.66666667] ; [4.66666667 2.33333333],0
s7,1,0.291165,1.114225,[26 60] ; [10 14],[28.14545455 57.85454545] ; [ 7.85454545 16.14545455],0
d2,1,0.291592,1.112254,[35 61] ; [12 13],[37.2892562 58.7107438] ; [ 9.7107438 15.2892562],0
n4,1,0.306075,1.047539,[51 46] ; [16  9],[53.2704918 43.7295082] ; [13.7295082 11.2704918],0
b3,1,0.30916,1.034262,[14 43] ; [5 8],[15.47142857 41.52857143] ; [3.52857143 9.47142857],0
b2,1,0.30916,1.034262,[14 43] ; [5 8],[15.47142857 41.52857143] ; [3.52857143 9.47142857],0
d3,1,0.322829,0.97745,[63 33] ; [19  6],[65.05785124 30.94214876] ; [16.94214876  8.05785124],0
u3,1,0.323276,0.975645,[24  9] ; [5 4],[22.78571429 10.21428571] ; [6.21428571 2.78571429],0
a4,1,0.370083,0.803387,[37 60] ; [12 13],[38.95901639 58.04098361] ; [10.04098361 14.95901639],0
a2,1,0.38412,0.757475,[16 81] ; [ 6 19],[17.49180328 79.50819672] ; [ 4.50819672 20.49180328],0
r4,1,0.395524,0.721891,[83 14] ; [23  2],[84.27868852 12.72131148] ; [21.72131148  3.27868852],0
d1,1,0.444319,0.585102,[46 51] ; [14 11],[47.70491803 49.29508197] ; [12.29508197 12.70491803],0
u2,1,0.449177,0.572727,[26  7] ; [6 3],[25.14285714  7.85714286] ; [6.85714286 2.14285714],0
v2,1,0.510299,0.433453,[41 47] ; [13 11],[42.42857143 45.57142857] ; [11.57142857 12.42857143],0
v4,1,0.52097,0.411973,[83 12] ; [23  2],[83.91666667 11.08333333] ; [22.08333333  2.91666667],0
s3,1,0.522296,0.409357,[49 47] ; [14 10],[50.4 45.6] ; [12.6 11.4],0
s1,1,0.555211,0.348065,[ 7 89] ; [ 1 24],[ 6.34710744 89.65289256] ; [ 1.65289256 23.34710744],0
r2,1,0.559135,0.341205,[89  8] ; [22  3],[88.25409836  8.74590164] ; [22.74590164  2.25409836],0
u1,1,0.559135,0.341205,[ 8 89] ; [ 3 22],[ 8.74590164 88.25409836] ; [ 2.25409836 22.74590164],0
p11,1,0.569886,0.322874,[56 41] ; [16  9],[57.24590164 39.75409836] ; [14.75409836 10.24590164],0
p12,1,0.589262,0.291498,[ 2 93] ; [ 1 24],[ 2.375 92.625] ; [ 0.625 24.375],0
p1,1,0.594345,0.28361,[ 5 91] ; [ 2 23],[ 5.55371901 90.44628099] ; [ 1.44628099 23.55371901],0
b4,1,0.660818,0.192531,[59 38] ; [14 11],[58.04098361 38.95901639] ; [14.95901639 10.04098361],0
d5,1,0.675937,0.174735,[73 23] ; [20  5],[73.78512397 22.21487603] ; [19.21487603  5.78512397],0
n3,1,0.747203,0.103896,[21 12] ; [4 3],[20.625 12.375] ; [4.375 2.625],0
a7,1,0.759328,0.093859,[69 28] ; [17  8],[68.37704918 28.62295082] ; [17.62295082  7.37704918],0
n1,1,0.769698,0.085714,[12 23] ; [2 5],[11.66666667 23.33333333] ; [2.33333333 4.66666667],0
a3,1,0.879168,0.023111,[63 33] ; [16  9],[62.67768595 33.32231405] ; [16.32231405  8.67768595],0
a8,1,0.885833,0.020615,[ 9 80] ; [ 2 20],[ 8.81981982 80.18018018] ; [ 2.18018018 19.81981982],0
a6,1,0.899549,0.015934,[64 32] ; [17  8],[64.26446281 31.73553719] ; [16.73553719  8.26446281],0
v3,1,0.926861,0.008426,[27 60] ; [ 8 17],[27.1875 59.8125] ; [ 7.8125 17.1875],0
p5,1,0.970251,0.001391,[ 4 92] ; [ 1 24],[ 3.96694215 92.03305785] ; [ 1.03305785 23.96694215],0
d4,1,1.0,0.0,[76 19] ; [20  5],[76. 19.] ; [20.  5.],0
