Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.4e-05,18.878841,[19 24] ; [68 15],[29.69047619 13.30952381] ; [57.30952381 25.69047619],1
u1,1,0.000638,11.660409,[ 2 41] ; [26 57],[ 9.55555556 33.44444444] ; [18.44444444 64.55555556],1
a6,1,0.000969,10.885,[20 23] ; [63 20],[28.32539683 14.67460317] ; [54.67460317 28.32539683],1
b5,1,0.001196,10.49638,[19 24] ; [61 22],[27.3015873 15.6984127] ; [52.6984127 30.3015873],0
p10,1,0.009961,6.641819,[28 15] ; [69 12],[33.63709677  9.36290323] ; [63.36290323 17.63709677],0
p4,1,0.016535,5.745097,[16 27] ; [49 33],[22.36 20.64] ; [42.64 39.36],0
a2,1,0.03093,4.656851,[ 8 35] ; [31 52],[13.30952381 29.69047619] ; [25.69047619 57.30952381],0
p9,1,0.050762,3.816103,[31 12] ; [70 11],[35.02419355  7.97580645] ; [65.97580645 15.02419355],0
s2,1,0.087008,2.928873,[25 18] ; [60 22],[29.24 13.76] ; [55.76 26.24],0
a8,1,0.106528,2.604986,[ 2 41] ; [10 60],[ 4.56637168 38.43362832] ; [ 7.43362832 62.56637168],0
v3,1,0.156254,2.010112,[ 9 33] ; [27 53],[12.39344262 29.60655738] ; [23.60655738 56.39344262],0
r3,1,0.165477,1.923451,[38  5] ; [78  4],[39.904  3.096] ; [76.096  5.904],0
p2,1,0.183767,1.76689,[29 14] ; [65 18],[32.07936508 10.92063492] ; [61.92063492 21.07936508],0
d5,1,0.186502,1.745039,[34  9] ; [73 10],[36.51587302  6.48412698] ; [70.48412698 12.51587302],0
p6,1,0.20238,1.625116,[ 9 34] ; [26 56],[12.04 30.96] ; [22.96 59.04],0
n2,1,0.2255,1.469021,[13  2] ; [16  7],[11.44736842  3.55263158] ; [17.55263158  5.44736842],0
r4,1,0.226633,1.461868,[35  8] ; [74  9],[37.1984127  5.8015873] ; [71.8015873 11.1984127],0
b4,1,0.234568,1.412943,[31 12] ; [51 32],[27.98412698 15.01587302] ; [54.01587302 28.98412698],0
s6,1,0.263509,1.250228,[34  9] ; [72 11],[36.17460317  6.82539683] ; [69.82539683 13.17460317],0
s8,1,0.289463,1.122115,[18 25] ; [43 40],[20.81746032 22.18253968] ; [40.18253968 42.81746032],0
p11,1,0.292298,1.109006,[30 13] ; [50 33],[27.3015873 15.6984127] ; [52.6984127 30.3015873],0
s7,1,0.307001,1.043532,[22 19] ; [50 29],[24.6 16.4] ; [47.4 31.6],0
v4,1,0.346467,0.886354,[39  4] ; [77  4],[40.22580645  2.77419355] ; [75.77419355  5.22580645],0
s3,1,0.35551,0.853694,[26 17] ; [55 25],[28.31707317 14.68292683] ; [52.68292683 27.31707317],0
n3,1,0.367123,0.813378,[9 6] ; [17  6],[10.26315789  4.73684211] ; [15.73684211  7.26315789],0
v2,1,0.368895,0.807384,[20 23] ; [44 36],[22.37398374 20.62601626] ; [41.62601626 38.37398374],0
a1,1,0.400748,0.70608,[ 3 40] ; [ 3 80],[ 2.04761905 40.95238095] ; [ 3.95238095 79.04761905],0
p12,1,0.406876,0.687912,[ 5 38] ; [ 6 77],[ 3.75396825 39.24603175] ; [ 7.24603175 75.75396825],0
n6,1,0.409851,0.679234,[34  8] ; [71 11],[35.56451613  6.43548387] ; [69.43548387 12.56451613],0
s4,1,0.410916,0.676149,[10 32] ; [25 56],[11.95121951 30.04878049] ; [23.04878049 57.95121951],0
