Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.019872,5.423088,[18 45] ; [ 1 21],[14.08235294 48.91764706] ; [ 4.91764706 17.08235294],0
d3,1,0.031903,4.603715,[44 18] ; [10 12],[39.85714286 22.14285714] ; [14.14285714  7.85714286],0
u3,1,0.067113,3.352259,[10  3] ; [2 4],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
u4,1,0.07622,3.143725,[ 2 60] ; [ 3 19],[ 3.69047619 58.30952381] ; [ 1.30952381 20.69047619],0
u2,1,0.111219,2.536813,[11  2] ; [3 3],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
n1,1,0.121335,2.4,[6 9] ; [4 1],[7.5 7.5] ; [2.5 2.5],0
v2,1,0.145383,2.120039,[38 22] ; [10 12],[35.12195122 24.87804878] ; [12.87804878  9.12195122],0
p10,1,0.168653,1.894879,[59  3] ; [19  3],[57.57142857  4.42857143] ; [20.42857143  1.57142857],0
r2,1,0.175827,1.832548,[58  3] ; [19  3],[56.59036145  4.40963855] ; [20.40963855  1.59036145],0
a6,1,0.180774,1.791253,[41 21] ; [11 11],[38.38095238 23.61904762] ; [13.61904762  8.38095238],0
d4,1,0.187824,1.734604,[55  7] ; [17  5],[53.14285714  8.85714286] ; [18.85714286  3.14285714],0
p12,1,0.271034,1.211504,[22 40] ; [ 5 17],[19.92857143 42.07142857] ; [ 7.07142857 14.92857143],0
p1,1,0.290241,1.118503,[22 41] ; [ 5 17],[20.01176471 42.98823529] ; [ 6.98823529 15.01176471],0
b1,1,0.328683,0.954082,[24 39] ; [11 11],[25.94117647 37.05882353] ; [ 9.05882353 12.94117647],0
b5,1,0.360644,0.835648,[30 33] ; [ 8 14],[28.16470588 34.83529412] ; [ 9.83529412 12.16470588],0
n5,1,0.363886,0.824438,[56  7] ; [21  1],[57.07058824  5.92941176] ; [19.92941176  2.07058824],0
n2,1,0.371093,0.8,[12  3] ; [3 2],[11.25  3.75] ; [3.75 1.25],0
s8,1,0.378956,0.774087,[38 23] ; [16  6],[39.68674699 21.31325301] ; [14.31325301  7.68674699],0
s6,1,0.379529,0.772227,[51  7] ; [16  4],[49.82051282  8.17948718] ; [17.17948718  2.82051282],0
v1,1,0.404571,0.694699,[43 17] ; [13  8],[41.48148148 18.51851852] ; [14.51851852  6.48148148],0
a5,1,0.416252,0.660873,[51 12] ; [16  6],[49.65882353 13.34117647] ; [17.34117647  4.65882353],0
s4,1,0.426427,0.632536,[ 7 54] ; [ 4 18],[ 8.08433735 52.91566265] ; [ 2.91566265 19.08433735],0
b3,1,0.455806,0.556174,[22 23] ; [9 6],[23.25 21.75] ; [7.75 7.25],0
b2,1,0.455806,0.556174,[22 23] ; [9 6],[23.25 21.75] ; [7.75 7.25],0
s1,1,0.464611,0.534763,[ 6 57] ; [ 1 21],[ 5.18823529 57.81176471] ; [ 1.81176471 20.18823529],0
s5,1,0.48039,0.497977,[38 16] ; [13  8],[36.72 17.28] ; [14.28  6.72],0
p7,1,0.501835,0.451053,[52  9] ; [20  2],[52.91566265  8.08433735] ; [19.08433735  2.91566265],0
a3,1,0.519978,0.413937,[50 13] ; [16  6],[48.91764706 14.08235294] ; [17.08235294  4.91764706],0
r3,1,0.570754,0.321422,[56  5] ; [21  1],[56.59036145  4.40963855] ; [20.40963855  1.59036145],0
a4,1,0.586613,0.295664,[30 33] ; [ 9 13],[28.90588235 34.09411765] ; [10.09411765 11.90588235],0
r1,1,0.608934,0.26173,[51 11] ; [17  5],[50.19047619 11.80952381] ; [17.80952381  4.19047619],0
p3,1,0.608934,0.26173,[51 11] ; [17  5],[50.19047619 11.80952381] ; [17.80952381  4.19047619],0
p6,1,0.615602,0.252098,[45 16] ; [15  7],[44.09638554 16.90361446] ; [15.90361446  6.09638554],0
p11,1,0.651172,0.204425,[55  8] ; [20  2],[55.58823529  7.41176471] ; [19.41176471  2.58823529],0
a1,1,0.662037,0.191059,[ 9 54] ; [ 4 18],[ 9.63529412 53.36470588] ; [ 3.36470588 18.63529412],0
s3,1,0.684098,0.165549,[38 22] ; [15  7],[38.7804878 21.2195122] ; [14.2195122  7.7804878],0
p4,1,0.774456,0.082111,[55  7] ; [20  2],[55.35714286  6.64285714] ; [19.64285714  2.35714286],0
v4,1,0.784929,0.074475,[59  2] ; [21  1],[58.79518072  2.20481928] ; [21.20481928  0.79518072],0
a8,1,0.788525,0.071945,[ 9 47] ; [ 3 19],[ 8.61538462 47.38461538] ; [ 3.38461538 18.61538462],0
r4,1,0.79091,0.070294,[56  7] ; [20  2],[56.32941176  6.67058824] ; [19.67058824  2.32941176],0
p2,1,0.79091,0.070294,[56  7] ; [20  2],[56.32941176  6.67058824] ; [19.67058824  2.32941176],0
s2,1,0.791232,0.070072,[38 23] ; [13  9],[37.48192771 23.51807229] ; [13.51807229  8.48192771],0
n3,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
b4,1,0.815646,0.054359,[39 24] ; [13  9],[38.54117647 24.45882353] ; [13.45882353  8.54117647],0
v3,1,0.870536,0.026562,[37 23] ; [14  8],[37.31707317 22.68292683] ; [13.68292683  8.31707317],0
s7,1,0.898115,0.016395,[43 15] ; [16  6],[42.775 15.225] ; [16.225  5.775],0
d5,1,0.904186,0.01449,[50 12] ; [18  4],[50.19047619 11.80952381] ; [17.80952381  4.19047619],0
n6,1,0.944233,0.004893,[58  3] ; [21  1],[58.06024096  2.93975904] ; [20.93975904  1.06024096],0
n4,1,0.952261,0.003584,[57  6] ; [20  2],[57.07058824  5.92941176] ; [19.92941176  2.07058824],0
p9,1,0.967077,0.001704,[60  3] ; [21  1],[60.03529412  2.96470588] ; [20.96470588  1.03529412],0
d1,1,0.990342,0.000147,[40 23] ; [14  8],[40.02352941 22.97647059] ; [13.97647059  8.02352941],0
d2,1,1.0,0.0,[31 31] ; [11 11],[31. 31.] ; [11. 11.],0
