Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,4e-05,16.867235,[ 4 13] ; [61 20],[11.2755102  5.7244898] ; [53.7244898 27.2755102],1
r3,1,0.000171,14.130646,[11  6] ; [77  4],[15.26530612  1.73469388] ; [72.73469388  8.26530612],1
v4,1,0.000778,11.292379,[9 8] ; [71 10],[13.87755102  3.12244898] ; [66.12244898 14.87755102],1
d2,1,0.049227,3.867609,[ 3 14] ; [35 46],[ 6.59183673 10.40816327] ; [31.40816327 49.59183673],0
b1,1,0.061842,3.487291,[12  5] ; [37 44],[8.5 8.5] ; [40.5 40.5],0
u3,1,0.07244,3.226855,[2 7] ; [19 15],[4.39534884 4.60465116] ; [16.60465116 17.39534884],0
v3,1,0.129566,2.297691,[ 2 15] ; [22 52],[ 4.48351648 12.51648352] ; [19.51648352 54.48351648],0
s5,1,0.176943,1.823113,[ 1 16] ; [15 62],[ 2.89361702 14.10638298] ; [13.10638298 63.89361702],0
p9,1,0.192044,1.701865,[ 3 14] ; [27 53],[ 5.25773196 11.74226804] ; [24.74226804 55.25773196],0
v2,1,0.291519,1.112593,[ 6 11] ; [39 40],[7.96875 9.03125] ; [37.03125 41.96875],0
p4,1,0.349974,0.873551,[8 9] ; [28 52],[ 6.30927835 10.69072165] ; [29.69072165 50.30927835],0
n6,1,0.371821,0.79757,[ 7 10] ; [43 38],[8.67346939 8.32653061] ; [41.32653061 39.67346939],0
a3,1,0.376965,0.780576,[8 9] ; [47 33],[9.63917526 7.36082474] ; [45.36082474 34.63917526],0
a4,1,0.377586,0.778548,[ 4 13] ; [28 53],[ 5.55102041 11.44897959] ; [26.44897959 54.55102041],0
s4,1,0.378717,0.774862,[ 1 16] ; [11 70],[ 2.08163265 14.91836735] ; [ 9.91836735 71.08163265],0
p6,1,0.399033,0.711237,[ 2 14] ; [17 61],[ 3.23404255 12.76595745] ; [15.76595745 62.23404255],0
s6,1,0.414379,0.6662,[ 5 12] ; [32 48],[ 6.48453608 10.51546392] ; [30.51546392 49.48453608],0
n2,1,0.456308,0.554936,[5 4] ; [18  8],[5.91428571 3.08571429] ; [17.08571429  8.91428571],0
p11,1,0.478995,0.50115,[ 7 10] ; [41 40],[8.32653061 8.67346939] ; [39.67346939 41.32653061],0
a7,1,0.564604,0.331796,[9 8] ; [49 32],[10.06122449  6.93877551] ; [47.93877551 33.06122449],0
s3,1,0.571608,0.32,[ 5 11] ; [31 49],[ 6. 10.] ; [30. 50.],0
a5,1,0.585435,0.29753,[8 9] ; [44 37],[9.02040816 7.97959184] ; [42.97959184 38.02040816],0
d1,1,0.610364,0.259645,[ 6 11] ; [34 47],[ 6.93877551 10.06122449] ; [33.06122449 47.93877551],0
p7,1,0.610364,0.259645,[ 6 11] ; [34 47],[ 6.93877551 10.06122449] ; [33.06122449 47.93877551],0
d3,1,0.610364,0.259645,[11  6] ; [47 34],[10.06122449  6.93877551] ; [47.93877551 33.06122449],0
n1,1,0.667436,0.184615,[2 7] ; [ 8 19],[2.5 6.5] ; [ 7.5 19.5],0
n4,1,0.676599,0.173979,[ 6 11] ; [33 48],[ 6.76530612 10.23469388] ; [32.23469388 48.76530612],0
a1,1,0.679799,0.170352,[ 1 16] ; [ 3 78],[ 0.69387755 16.30612245] ; [ 3.30612245 77.69387755],0
s2,1,0.683101,0.166655,[ 4 13] ; [23 58],[ 4.68367347 12.31632653] ; [22.31632653 58.68367347],0
n3,1,0.713694,0.134615,[6 3] ; [19  7],[6.42857143 2.57142857] ; [18.57142857  7.42857143],0
a6,1,0.734366,0.115141,[10  7] ; [44 37],[9.36734694 7.63265306] ; [44.63265306 36.36734694],0
v1,1,0.789929,0.07097,[ 6 11] ; [31 49],[ 6.48453608 10.51546392] ; [30.51546392 49.48453608],0
p3,1,0.797967,0.065525,[ 5 11] ; [28 53],[ 5.44329897 10.55670103] ; [27.55670103 53.44329897],0
a8,1,0.811505,0.056875,[ 1 15] ; [ 6 69],[ 1.23076923 14.76923077] ; [ 5.76923077 69.23076923],0
s7,1,0.820596,0.051429,[ 3 12] ; [17 58],[ 3.33333333 11.66666667] ; [16.66666667 58.33333333],0
p2,1,0.823162,0.049943,[10  7] ; [50 31],[10.40816327  6.59183673] ; [49.59183673 31.40816327],0
b5,1,0.898218,0.016362,[10  7] ; [49 32],[10.23469388  6.76530612] ; [48.76530612 32.23469388],0
d4,1,0.906515,0.013791,[13  4] ; [63 18],[13.18367347  3.81632653] ; [62.81632653 18.18367347],0
u2,1,0.913554,0.011785,[4 5] ; [14 19],[3.85714286 5.14285714] ; [14.14285714 18.85714286],0
a2,1,0.938136,0.006024,[ 2 15] ; [ 9 72],[ 1.90816327 15.09183673] ; [ 9.09183673 71.90816327],0
b4,1,0.951596,0.003685,[10  7] ; [47 34],[9.8877551 7.1122449] ; [47.1122449 33.8877551],0
p1,1,0.954428,0.003266,[ 1 16] ; [ 5 75],[ 1.05154639 15.94845361] ; [ 4.94845361 75.05154639],0
p8,1,0.961627,0.002315,[ 5 12] ; [24 56],[ 5.08247423 11.91752577] ; [23.91752577 56.08247423],0
s1,1,0.963773,0.002063,[ 1 16] ; [ 5 76],[ 1.04081633 15.95918367] ; [ 4.95918367 76.04081633],0
b3,1,0.967544,0.001656,[3 8] ; [12 33],[2.94642857 8.05357143] ; [12.05357143 32.94642857],0
b2,1,0.967544,0.001656,[3 8] ; [12 33],[2.94642857 8.05357143] ; [12.05357143 32.94642857],0
d5,1,0.968278,0.001582,[11  6] ; [52 29],[10.92857143  6.07142857] ; [52.07142857 28.92857143],0
