Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,1e-06,23.280703,[11 27] ; [59 19],[22.93103448 15.06896552] ; [47.06896552 30.93103448],1
a6,1,0.000112,14.920797,[16 22] ; [61 17],[25.22413793 12.77586207] ; [51.77586207 26.22413793],1
d3,1,0.000877,11.070914,[20 18] ; [64 14],[27.51724138 10.48275862] ; [56.48275862 21.51724138],1
a2,1,0.002901,8.868441,[ 2 36] ; [23 55],[ 8.18965517 29.81034483] ; [16.81034483 61.18965517],0
r2,1,0.022465,5.209408,[34  4] ; [76  1],[36.34782609  1.65217391] ; [73.65217391  3.34782609],0
u1,1,0.024453,5.062214,[ 3 35] ; [20 58],[ 7.53448276 30.46551724] ; [15.46551724 62.53448276],0
n1,1,0.036226,4.386448,[7 8] ; [ 2 14],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
s2,1,0.038163,4.297758,[30  8] ; [72  6],[33.4137931  4.5862069] ; [68.5862069  9.4137931],0
p9,1,0.054189,3.706862,[28  9] ; [68  8],[31.43362832  5.56637168] ; [64.56637168 11.43362832],0
b1,1,0.085888,2.949803,[20 18] ; [28 50],[15.72413793 22.27586207] ; [32.27586207 45.72413793],0
n6,1,0.091966,2.839627,[27 11] ; [65 12],[30.4  7.6] ; [61.6 15.4],0
v2,1,0.092329,2.833297,[13 24] ; [39 36],[17.17857143 19.82142857] ; [34.82142857 40.17857143],0
p1,1,0.10561,2.61871,[ 6 32] ; [ 5 73],[ 3.60344828 34.39655172] ; [ 7.39655172 70.60344828],0
p2,1,0.108858,2.570716,[28 10] ; [67 11],[31.12068966  6.87931034] ; [63.87931034 14.12068966],0
d4,1,0.108858,2.570716,[28 10] ; [67 11],[31.12068966  6.87931034] ; [63.87931034 14.12068966],0
u2,1,0.123077,2.377717,[9 3] ; [11 12],[6.85714286 5.14285714] ; [13.14285714  9.85714286],0
s1,1,0.161876,1.956614,[ 4 34] ; [ 3 74],[ 2.31304348 35.68695652] ; [ 4.68695652 72.31304348],0
n3,1,0.165623,1.922123,[10  5] ; [14  2],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
v4,1,0.173235,1.854722,[34  3] ; [76  2],[35.39130435  1.60869565] ; [74.60869565  3.39130435],0
p4,1,0.185849,1.75022,[20 18] ; [51 27],[23.25862069 14.74137931] ; [47.74137931 30.25862069],0
s6,1,0.187607,1.736312,[30  5] ; [71  5],[31.84684685  3.15315315] ; [69.15315315  6.84684685],0
a1,1,0.204847,1.607475,[ 2 36] ; [ 1 77],[ 0.98275862 37.01724138] ; [ 2.01724138 75.98275862],0
n4,1,0.245059,1.351252,[28 10] ; [49 29],[25.22413793 12.77586207] ; [51.77586207 26.22413793],0
v1,1,0.32261,0.978336,[20 18] ; [33 44],[17.51304348 20.48695652] ; [35.48695652 41.51304348],0
a5,1,0.345323,0.890568,[24 14] ; [56 22],[26.20689655 11.79310345] ; [53.79310345 24.20689655],0
s7,1,0.345894,0.888465,[27  8] ; [52 24],[24.90990991 10.09009009] ; [54.09009009 21.90990991],0
b4,1,0.360637,0.835675,[20 18] ; [48 30],[22.27586207 15.72413793] ; [45.72413793 32.27586207],0
a8,1,0.372858,0.794118,[ 1 35] ; [ 5 67],[ 2. 34.] ; [ 4. 68.],0
r3,1,0.373597,0.791667,[35  3] ; [73  3],[36.  2.] ; [72.  4.],0
v3,1,0.390257,0.738141,[13 24] ; [21 56],[11.03508772 25.96491228] ; [22.96491228 54.03508772],0
r4,1,0.390584,0.737122,[32  6] ; [70  8],[33.4137931  4.5862069] ; [68.5862069  9.4137931],0
d1,1,0.434846,0.609846,[21 17] ; [49 29],[22.93103448 15.06896552] ; [47.06896552 30.93103448],0
p8,1,0.499815,0.455328,[21 16] ; [38 38],[19.31858407 17.68141593] ; [39.68141593 36.31858407],0
p3,1,0.502781,0.449062,[22 16] ; [40 38],[20.31034483 17.68965517] ; [41.68965517 36.31034483],0
n5,1,0.508386,0.437388,[25 13] ; [56 22],[26.53448276 11.46551724] ; [54.46551724 23.53448276],0
p11,1,0.51163,0.430732,[29  9] ; [55 23],[27.51724138 10.48275862] ; [56.48275862 21.51724138],0
p7,1,0.56902,0.324324,[26 11] ; [48 26],[24.66666667 12.33333333] ; [49.33333333 24.66666667],0
s8,1,0.606278,0.265631,[20 18] ; [45 33],[21.29310345 16.70689655] ; [43.70689655 34.29310345],0
p5,1,0.609767,0.260515,[ 4 34] ; [ 6 72],[ 3.27586207 34.72413793] ; [ 6.72413793 71.27586207],0
p10,1,0.663026,0.189869,[29  8] ; [63 14],[29.85964912  7.14035088] ; [62.14035088 14.85964912],0
d5,1,0.688992,0.160179,[30  8] ; [64 14],[30.79310345  7.20689655] ; [63.20689655 14.79310345],0
r1,1,0.696628,0.152004,[29  9] ; [62 16],[29.81034483  8.18965517] ; [61.18965517 16.81034483],0
a4,1,0.697012,0.151599,[19 19] ; [36 42],[18.01724138 19.98275862] ; [36.98275862 41.01724138],0
b2,1,0.728809,0.120208,[ 6 20] ; [ 7 29],[ 5.4516129 20.5483871] ; [ 7.5483871 28.4516129],0
b3,1,0.728809,0.120208,[ 6 20] ; [ 7 29],[ 5.4516129 20.5483871] ; [ 7.5483871 28.4516129],0
n2,1,0.739332,0.110714,[12  3] ; [12  4],[11.61290323  3.38709677] ; [12.38709677  3.61290323],0
d2,1,0.790173,0.070801,[20 18] ; [39 39],[19.32758621 18.67241379] ; [39.67241379 38.32758621],0
p6,1,0.814549,0.055019,[15 22] ; [33 44],[15.57894737 21.42105263] ; [32.42105263 44.57894737],0
a3,1,0.817813,0.053065,[26 12] ; [55 23],[26.53448276 11.46551724] ; [54.46551724 23.53448276],0
p12,1,0.833245,0.044328,[ 2 35] ; [ 5 73],[ 2.25217391 34.74782609] ; [ 4.74782609 73.25217391],0
u3,1,0.944322,0.004877,[9 3] ; [17  6],[8.91428571 3.08571429] ; [17.08571429  5.91428571],0
s5,1,0.951828,0.00365,[20 15] ; [39 30],[19.85576923 15.14423077] ; [39.14423077 29.85576923],0
