Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.961684,[ 7 39] ; [12  4],[14.09677419 31.90322581] ; [ 4.90322581 11.09677419],1
p7,1,0.002689,9.00709,[ 8 38] ; [9 7],[12.61290323 33.38709677] ; [ 4.38709677 11.61290323],0
s6,1,0.002689,9.00709,[ 8 38] ; [9 7],[12.61290323 33.38709677] ; [ 4.38709677 11.61290323],0
d3,1,0.003703,8.423913,[18 28] ; [13  3],[23. 23.] ; [8. 8.],0
p8,1,0.009023,6.818182,[ 4 40] ; [ 6 10],[ 7.33333333 36.66666667] ; [ 2.66666667 13.33333333],0
s2,1,0.018712,5.528193,[ 7 39] ; [7 9],[10.38709677 35.61290323] ; [ 3.61290323 12.38709677],0
a5,1,0.0202,5.394513,[22 24] ; [13  3],[25.96774194 20.03225806] ; [9.03225806 6.96774194],0
s3,1,0.032425,4.575908,[12 33] ; [9 7],[15.49180328 29.50819672] ; [ 5.50819672 10.49180328],0
p6,1,0.052374,3.763783,[ 3 41] ; [ 4 12],[ 5.13333333 38.86666667] ; [ 1.86666667 14.13333333],0
s4,1,0.056239,3.644962,[ 5 41] ; [ 5 11],[ 7.41935484 38.58064516] ; [ 2.58064516 13.41935484],0
p2,1,0.07474,3.175726,[14 31] ; [9 7],[16.96721311 28.03278689] ; [6.03278689 9.96721311],0
u2,1,0.101707,2.678571,[ 3 18] ; [2 2],[ 4.2 16.8] ; [0.8 3.2],0
a6,1,0.105672,2.617784,[18 28] ; [10  6],[20.77419355 25.22580645] ; [7.22580645 8.77419355],0
n6,1,0.132545,2.262443,[17 28] ; [9 6],[19.5 25.5] ; [6.5 8.5],0
r2,1,0.134813,2.236185,[23 20] ; [12  4],[25.50847458 17.49152542] ; [9.49152542 6.50847458],0
r4,1,0.149049,2.081961,[ 9 37] ; [ 6 10],[11.12903226 34.87096774] ; [ 3.87096774 12.12903226],0
a3,1,0.171476,1.869995,[25 20] ; [12  4],[27.29508197 17.70491803] ; [9.70491803 6.29508197],0
