Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.576478,[72 27] ; [ 5 20],[61.47580645 37.52419355] ; [15.52419355  9.47580645],1
n6,1,2.2e-05,18.00761,[71 28] ; [ 6 18],[61.97560976 37.02439024] ; [15.02439024  8.97560976],1
r3,1,7.8e-05,15.604896,[79 20] ; [10 15],[71.05645161 27.94354839] ; [17.94354839  7.05645161],1
d5,1,0.000176,14.068119,[82 16] ; [12 13],[74.89430894 23.10569106] ; [19.10569106  5.89430894],1
r2,1,0.00019,13.923736,[88 10] ; [14 10],[81.93442623 16.06557377] ; [20.06557377  3.93442623],1
a1,1,0.002906,8.865863,[ 5 94] ; [ 6 19],[ 8.78225806 90.21774194] ; [ 2.21774194 22.78225806],0
p7,1,0.003077,8.761263,[42 53] ; [ 3 22],[35.625 59.375] ; [ 9.375 15.625],0
p2,1,0.003316,8.624666,[59 38] ; [ 7 18],[52.47540984 44.52459016] ; [13.52459016 11.47540984],0
p10,1,0.003966,8.299409,[51 44] ; [ 5 19],[44.70588235 50.29411765] ; [11.29411765 12.70588235],0
d4,1,0.006768,7.333617,[78 21] ; [13 12],[72.65322581 26.34677419] ; [18.34677419  6.65322581],0
u3,1,0.007117,7.243234,[17 15] ; [ 1 11],[13.09090909 18.90909091] ; [4.90909091 7.09090909],0
v2,1,0.008795,6.86405,[45 53] ; [ 4 20],[39.36065574 58.63934426] ; [ 9.63934426 14.36065574],0
r1,1,0.008882,6.846365,[67 31] ; [10 15],[61.3495935 36.6504065] ; [15.6504065  9.3495935],0
p9,1,0.009123,6.798514,[51 42] ; [ 6 18],[45.30769231 47.69230769] ; [11.69230769 12.30769231],0
u2,1,0.009225,6.778834,[16 15] ; [ 1 11],[12.25581395 18.74418605] ; [4.74418605 7.25581395],0
p3,1,0.013028,6.165279,[37 60] ; [ 3 22],[31.80327869 65.19672131] ; [ 8.19672131 16.80327869],0
