Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9.1e-05,15.3125,[19 17] ; [ 1 23],[12. 24.] ; [ 8. 16.],1
d3,1,0.00097,10.883073,[22 14] ; [ 4 19],[15.86440678 20.13559322] ; [10.13559322 12.86440678],1
n5,1,0.001057,10.725446,[13 23] ; [19  5],[19.2 16.8] ; [12.8 11.2],0
s3,1,0.002913,8.860888,[21 14] ; [ 5 19],[15.42372881 19.57627119] ; [10.57627119 13.42372881],0
d5,1,0.007526,7.142857,[26 10] ; [ 9 15],[21. 15.] ; [14. 10.],0
r3,1,0.007526,7.142857,[26 10] ; [ 9 15],[21. 15.] ; [14. 10.],0
p3,1,0.018118,5.584734,[12 22] ; [ 2 22],[ 8.20689655 25.79310345] ; [ 5.79310345 18.20689655],0
s4,1,0.024897,5.031056,[12 24] ; [ 2 22],[ 8.4 27.6] ; [ 5.6 18.4],0
s5,1,0.026779,4.905004,[ 9 25] ; [ 1 23],[ 5.86206897 28.13793103] ; [ 4.13793103 19.86206897],0
u3,1,0.034625,4.463591,[9 4] ; [ 4 10],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
a7,1,0.035015,4.444444,[22 14] ; [ 8 16],[18. 18.] ; [12. 12.],0
s6,1,0.037707,4.318182,[17 19] ; [ 5 19],[13.2 22.8] ; [ 8.8 15.2],0
r4,1,0.042754,4.105114,[13 23] ; [ 3 21],[ 9.6 26.4] ; [ 6.4 17.6],0
u2,1,0.081584,3.033058,[9 4] ; [5 9],[6.74074074 6.25925926] ; [7.25925926 6.74074074],0
a3,1,0.090067,2.873176,[23 13] ; [10 14],[19.8 16.2] ; [13.2 10.8],0
b4,1,0.090969,2.857143,[20 16] ; [ 8 16],[16.8 19.2] ; [11.2 12.8],0
s7,1,0.105969,2.613326,[13 22] ; [ 4 19],[10.25862069 24.74137931] ; [ 6.74137931 16.25862069],0
v4,1,0.116737,2.460566,[26 10] ; [12 11],[23.18644068 12.81355932] ; [14.81355932  8.18644068],0
d2,1,0.138031,2.199776,[19 17] ; [ 8 16],[16.2 19.8] ; [10.8 13.2],0
a4,1,0.140777,2.169448,[14 22] ; [ 5 19],[11.4 24.6] ; [ 7.6 16.4],0
s2,1,0.140777,2.169448,[14 22] ; [ 5 19],[11.4 24.6] ; [ 7.6 16.4],0
s8,1,0.159352,1.98036,[10 26] ; [ 3 21],[ 7.8 28.2] ; [ 5.2 18.8],0
n2,1,0.216201,1.529412,[10  3] ; [7 6],[8.5 4.5] ; [8.5 4.5],0
p11,1,0.2452,1.350446,[19 17] ; [ 9 15],[16.8 19.2] ; [11.2 12.8],0
a5,1,0.2452,1.350446,[19 17] ; [ 9 15],[16.8 19.2] ; [11.2 12.8],0
p10,1,0.258522,1.276652,[19 16] ; [ 9 14],[16.89655172 18.10344828] ; [11.10344828 11.89655172],0
p8,1,0.258961,1.274301,[ 6 28] ; [ 7 16],[ 7.75438596 26.24561404] ; [ 5.24561404 17.75438596],0
p9,1,0.265618,1.239235,[24 12] ; [12 11],[21.96610169 14.03389831] ; [14.03389831  8.96610169],0
b5,1,0.341707,0.904018,[21 15] ; [11 13],[19.2 16.8] ; [12.8 11.2],0
s1,1,0.346927,0.884666,[ 1 34] ; [ 2 22],[ 1.77966102 33.22033898] ; [ 1.22033898 22.77966102],0
b3,1,0.461743,0.541667,[ 8 19] ; [5 7],[ 9. 18.] ; [4. 8.],0
b2,1,0.461743,0.541667,[ 8 19] ; [5 7],[ 9. 18.] ; [4. 8.],0
v1,1,0.474214,0.512139,[13 21] ; [ 7 17],[11.72413793 22.27586207] ; [ 8.27586207 15.72413793],0
a2,1,0.511368,0.431267,[ 5 31] ; [ 2 22],[ 4.2 31.8] ; [ 2.8 21.2],0
p4,1,0.524913,0.404229,[13 22] ; [ 7 17],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],0
p1,1,0.535143,0.384615,[ 4 32] ; [ 4 20],[ 4.8 31.2] ; [ 3.2 20.8],0
a1,1,0.535143,0.384615,[ 4 32] ; [ 4 20],[ 4.8 31.2] ; [ 3.2 20.8],0
p6,1,0.577097,0.310952,[ 9 24] ; [ 5 19],[ 8.10526316 24.89473684] ; [ 5.89473684 18.10526316],0
p2,1,0.65825,0.195657,[19 15] ; [12 12],[18.17241379 15.82758621] ; [12.82758621 11.17241379],0
n3,1,0.68017,0.169935,[8 5] ; [9 4],[8.5 4.5] ; [8.5 4.5],0
p7,1,0.684238,0.165394,[16 18] ; [10 14],[15.24137931 18.75862069] ; [10.75862069 13.24137931],0
a6,1,0.749668,0.10181,[21 15] ; [13 11],[20.4 15.6] ; [13.6 10.4],0
p5,1,0.836832,0.042414,[ 2 34] ; [ 1 22],[ 1.83050847 34.16949153] ; [ 1.16949153 21.83050847],0
v3,1,0.839035,0.041261,[ 5 29] ; [ 4 20],[ 5.27586207 28.72413793] ; [ 3.72413793 20.27586207],0
r2,1,0.848599,0.036445,[23 11] ; [15  8],[22.66666667 11.33333333] ; [15.33333333  7.66666667],0
b1,1,0.912909,0.011962,[23 13] ; [15  9],[22.8 13.2] ; [15.2  8.8],0
n4,1,0.91563,0.011223,[16 20] ; [11 13],[16.2 19.8] ; [10.8 13.2],0
v2,1,0.936215,0.006404,[11 24] ; [ 7 16],[10.86206897 24.13793103] ; [ 7.13793103 15.86206897],0
a8,1,0.974266,0.001041,[ 3 32] ; [ 2 22],[ 2.96610169 32.03389831] ; [ 2.03389831 21.96610169],0
n1,1,1.0,0.0,[6 6] ; [6 6],[6. 6.] ; [6. 6.],0
