Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,40.726817,[51  3] ; [ 6 18],[39.46153846 14.53846154] ; [17.53846154  6.46153846],1
p11,1,3.9e-05,16.942873,[43 11] ; [ 8 17],[34.86075949 19.13924051] ; [16.13924051  8.86075949],1
s8,1,0.01249,6.239961,[33 20] ; [ 8 17],[27.85897436 25.14102564] ; [13.14102564 11.85897436],0
a6,1,0.029157,4.758342,[34 19] ; [ 9 15],[29.5974026 23.4025974] ; [13.4025974 10.5974026],0
n5,1,0.036323,4.381881,[39 15] ; [12 13],[34.86075949 19.13924051] ; [16.13924051  8.86075949],0
a7,1,0.037918,4.308701,[37 17] ; [11 14],[32.81012658 21.18987342] ; [15.18987342  9.81012658],0
s1,1,0.042525,4.114175,[ 4 49] ; [ 6 19],[ 6.79487179 46.20512821] ; [ 3.20512821 21.79487179],0
p6,1,0.052256,3.767547,[20 33] ; [ 4 21],[16.30769231 36.69230769] ; [ 7.69230769 17.30769231],0
r4,1,0.078383,3.098117,[49  5] ; [19  6],[46.48101266  7.51898734] ; [21.51898734  3.48101266],0
d1,1,0.079724,3.070521,[33 21] ; [10 15],[29.39240506 24.60759494] ; [13.60759494 11.39240506],0
s7,1,0.089228,2.88824,[34 17] ; [10 12],[30.73972603 20.26027397] ; [13.26027397  8.73972603],0
a2,1,0.090223,2.870394,[13 41] ; [ 2 23],[10.25316456 43.74683544] ; [ 4.74683544 20.25316456],0
b1,1,0.110602,2.545593,[22 32] ; [15 10],[25.29113924 28.70886076] ; [11.70886076 13.29113924],0
v2,1,0.113605,2.503343,[31 18] ; [11 14],[27.81081081 21.18918919] ; [14.18918919 10.81081081],0
b4,1,0.156789,2.004921,[35 19] ; [12 13],[32.12658228 21.87341772] ; [14.87341772 10.12658228],0
r3,1,0.158976,1.983936,[52  2] ; [22  3],[50.58227848  3.41772152] ; [23.41772152  1.58227848],0
n2,1,0.161125,1.963636,[16  2] ; [6 3],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
a4,1,0.189111,1.724526,[28 26] ; [ 9 16],[25.29113924 28.70886076] ; [11.70886076 13.29113924],0
v1,1,0.197361,1.661793,[33 19] ; [12 13],[30.38961039 21.61038961] ; [14.61038961 10.38961039],0
b5,1,0.210401,1.568663,[38 16] ; [14 11],[35.5443038 18.4556962] ; [16.4556962  8.5443038],0
n4,1,0.210401,1.568663,[38 16] ; [14 11],[35.5443038 18.4556962] ; [16.4556962  8.5443038],0
n6,1,0.214507,1.540746,[41 12] ; [16  9],[38.73076923 14.26923077] ; [18.26923077  6.73076923],0
p1,1,0.219384,1.508397,[ 7 47] ; [ 1 24],[ 5.46835443 48.53164557] ; [ 2.53164557 22.46835443],0
p4,1,0.265705,1.238786,[24 29] ; [ 8 17],[21.74358974 31.25641026] ; [10.25641026 14.74358974],0
d3,1,0.3118,1.023035,[33 20] ; [12 12],[30.97402597 22.02597403] ; [14.02597403  9.97402597],0
r2,1,0.314604,1.011248,[51  3] ; [22  3],[49.89873418  4.10126582] ; [23.10126582  1.89873418],0
d5,1,0.321669,0.982147,[41 12] ; [16  8],[39.23376623 13.76623377] ; [17.76623377  6.23376623],0
s3,1,0.338839,0.914818,[45  8] ; [19  6],[43.48717949  9.51282051] ; [20.51282051  4.48717949],0
s5,1,0.350688,0.870966,[22 29] ; [ 8 17],[20.13157895 30.86842105] ; [ 9.86842105 15.13157895],0
v3,1,0.370943,0.800502,[18 31] ; [11 12],[19.73611111 29.26388889] ; [ 9.26388889 13.73611111],0
u3,1,0.371093,0.8,[11  4] ; [5 4],[10.  5.] ; [6. 3.],0
n3,1,0.386476,0.75,[13  5] ; [5 4],[12.  6.] ; [6. 3.],0
p7,1,0.388685,0.743051,[25 27] ; [ 9 15],[23.26315789 28.73684211] ; [10.73684211 13.26315789],0
a1,1,0.411835,0.673497,[ 5 49] ; [ 1 24],[ 4.10126582 49.89873418] ; [ 1.89873418 23.10126582],0
u4,1,0.417909,0.656188,[ 2 52] ; [ 2 23],[ 2.73417722 51.26582278] ; [ 1.26582278 23.73417722],0
a3,1,0.459867,0.546217,[39 15] ; [16  9],[37.59493671 16.40506329] ; [17.40506329  7.59493671],0
s6,1,0.467378,0.528167,[44 10] ; [22  3],[45.11392405  8.88607595] ; [20.88607595  4.11392405],0
d2,1,0.569485,0.323546,[28 25] ; [11 13],[26.84415584 26.15584416] ; [12.15584416 11.84415584],0
u1,1,0.645056,0.212191,[11 43] ; [ 4 21],[10.25316456 43.74683544] ; [ 4.74683544 20.25316456],0
p3,1,0.723338,0.125317,[19 34] ; [10 15],[19.70512821 33.29487179] ; [ 9.29487179 15.70512821],0
p5,1,0.743421,0.107143,[ 3 47] ; [ 2 23],[ 3.33333333 46.66666667] ; [ 1.66666667 23.33333333],0
a8,1,0.74812,0.103117,[ 5 47] ; [ 3 22],[ 5.4025974 46.5974026] ; [ 2.5974026 22.4025974],0
b2,1,0.824412,0.049228,[12 25] ; [5 9],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
b3,1,0.824412,0.049228,[12 25] ; [5 9],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
u2,1,0.830696,0.045714,[9 6] ; [5 4],[8.75 6.25] ; [5.25 3.75],0
a5,1,0.831277,0.045396,[38 16] ; [17  8],[37.59493671 16.40506329] ; [17.40506329  7.59493671],0
s4,1,0.846113,0.037667,[14 40] ; [ 7 18],[14.35443038 39.64556962] ; [ 6.64556962 18.35443038],0
p8,1,0.846113,0.037667,[14 40] ; [ 7 18],[14.35443038 39.64556962] ; [ 6.64556962 18.35443038],0
r1,1,0.854723,0.033524,[40 14] ; [19  6],[40.32911392 13.67088608] ; [18.67088608  6.32911392],0
d4,1,0.859362,0.031395,[41 12] ; [19  5],[41.2987013 11.7012987] ; [18.7012987  5.2987013],0
n1,1,0.872518,0.025748,[ 7 10] ; [4 5],[7.19230769 9.80769231] ; [3.80769231 5.19230769],0
