Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.001249,10.416667,[17  7] ; [ 3 13],[12. 12.] ; [8. 8.],0
n6,1,0.003327,8.619085,[18  5] ; [ 5 11],[13.56410256  9.43589744] ; [9.43589744 6.56410256],0
p11,1,0.004592,8.033499,[16  9] ; [ 3 13],[11.58536585 13.41463415] ; [7.41463415 8.58536585],0
p4,1,0.006891,7.301045,[12 13] ; [ 1 14],[ 8.125 16.875] ; [ 4.875 10.125],0
p10,1,0.007661,7.111111,[19  5] ; [ 6 10],[15.  9.] ; [10.  6.],0
v1,1,0.019371,5.467751,[12 13] ; [ 2 14],[ 8.53658537 16.46341463] ; [ 5.46341463 10.53658537],0
p7,1,0.035252,4.432947,[12 13] ; [ 2 12],[ 8.97435897 16.02564103] ; [5.02564103 8.97435897],0
s1,1,0.045017,4.018,[ 1 24] ; [ 4 12],[ 3.04878049 21.95121951] ; [ 1.95121951 14.04878049],0
s6,1,0.0455,4.0,[12 12] ; [ 3 13],[ 9. 15.] ; [ 6. 10.],0
r3,1,0.04868,3.886364,[14  8] ; [ 5 11],[11. 11.] ; [8. 8.],0
p3,1,0.052,3.775773,[ 8 17] ; [ 1 15],[ 5.48780488 19.51219512] ; [ 3.51219512 12.48780488],0
p6,1,0.086479,2.938722,[ 7 18] ; [ 1 15],[ 4.87804878 20.12195122] ; [ 3.12195122 12.87804878],0
d2,1,0.086731,2.934028,[ 7 17] ; [9 7],[ 9.6 14.4] ; [6.4 9.6],0
r2,1,0.119551,2.423188,[11 12] ; [11  4],[13.31578947  9.68421053] ; [8.68421053 6.31578947],0
d3,1,0.124181,2.363781,[17  8] ; [7 9],[14.63414634 10.36585366] ; [9.36585366 6.63414634],0
v4,1,0.132047,2.268272,[15  7] ; [7 9],[12.73684211  9.26315789] ; [9.26315789 6.73684211],0
n3,1,0.141326,2.163462,[7 6] ; [3 9],[5.2 7.8] ; [4.8 7.2],0
s8,1,0.216222,1.529271,[ 7 17] ; [ 2 14],[ 5.4 18.6] ; [ 3.6 12.4],0
b4,1,0.217322,1.52197,[20  5] ; [10  6],[18.29268293  6.70731707] ; [11.70731707  4.29268293],0
a1,1,0.307964,1.039386,[ 1 24] ; [ 2 14],[ 1.82926829 23.17073171] ; [ 1.17073171 14.82926829],0
b5,1,0.308745,1.036035,[15 10] ; [7 9],[13.41463415 11.58536585] ; [8.58536585 7.41463415],0
d1,1,0.308745,1.036035,[10 15] ; [9 7],[11.58536585 13.41463415] ; [7.41463415 8.58536585],0
p8,1,0.350266,0.872492,[ 8 17] ; [ 3 13],[ 6.70731707 18.29268293] ; [ 4.29268293 11.70731707],0
v2,1,0.365898,0.817547,[12 11] ; [ 6 10],[10.61538462 12.38461538] ; [7.38461538 8.61538462],0
s7,1,0.391366,0.734694,[10 11] ; [ 5 10],[ 8.75 12.25] ; [6.25 8.75],0
a3,1,0.392041,0.732601,[15 10] ; [11  4],[16.25  8.75] ; [9.75 5.25],0
n2,1,0.420113,0.65,[9 4] ; [7 6],[8. 5.] ; [8. 5.],0
n1,1,0.420113,0.65,[4 9] ; [6 7],[5. 8.] ; [5. 8.],0
u3,1,0.438578,0.6,[4 6] ; [1 4],[3.33333333 6.66666667] ; [1.66666667 3.33333333],0
s5,1,0.456057,0.555556,[ 7 17] ; [ 3 13],[ 6. 18.] ; [ 4. 12.],0
p1,1,0.544991,0.366368,[ 3 22] ; [ 1 15],[ 2.43902439 22.56097561] ; [ 1.56097561 14.43902439],0
u2,1,0.576999,0.311111,[5 4] ; [2 3],[4.5 4.5] ; [2.5 2.5],0
