Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.004189,8.199978,[16  7] ; [22 41],[10.1627907 12.8372093] ; [27.8372093 35.1627907],0
n1,1,0.015725,5.833333,[4 3] ; [ 4 24],[1.6 5.4] ; [ 6.4 21.6],0
s5,1,0.019145,5.488239,[ 1 22] ; [17 44],[ 4.92857143 18.07142857] ; [13.07142857 47.92857143],0
b4,1,0.043413,4.079263,[ 9 14] ; [40 23],[13.10465116  9.89534884] ; [35.89534884 27.10465116],0
s7,1,0.047311,3.934286,[ 4 17] ; [26 34],[ 7.77777778 13.22222222] ; [22.22222222 37.77777778],0
v1,1,0.053105,3.74061,[ 7 16] ; [34 29],[10.96511628 12.03488372] ; [30.03488372 32.96511628],0
d4,1,0.05508,3.679654,[12 10] ; [48 15],[15.52941176  6.47058824] ; [44.47058824 18.52941176],0
a8,1,0.072667,3.221729,[ 3 18] ; [ 2 58],[ 1.2962963 19.7037037] ; [ 3.7037037 56.2962963],0
n3,1,0.082553,3.013915,[7 1] ; [15 13],[4.88888889 3.11111111] ; [17.11111111 10.88888889],0
p10,1,0.089412,2.884933,[13  9] ; [49 14],[16.04705882  5.95294118] ; [45.95294118 17.04705882],0
b5,1,0.111764,2.529097,[11 12] ; [42 21],[14.1744186  8.8255814] ; [38.8255814 24.1744186],0
p9,1,0.115588,2.476103,[15  7] ; [52 10],[17.54761905  4.45238095] ; [49.45238095 12.54761905],0
p11,1,0.11688,2.458634,[14  9] ; [49 14],[16.84883721  6.15116279] ; [46.15116279 16.84883721],0
r4,1,0.126303,2.337361,[15  8] ; [51 12],[17.65116279  5.34883721] ; [48.34883721 14.65116279],0
r2,1,0.136585,2.216017,[17  6] ; [55  8],[19.25581395  3.74418605] ; [52.74418605 10.25581395],0
s3,1,0.138786,2.191365,[14  9] ; [27 36],[10.96511628 12.03488372] ; [30.03488372 32.96511628],0
p6,1,0.140859,2.16855,[ 8 14] ; [13 50],[ 5.43529412 16.56470588] ; [15.56470588 47.43529412],0
s6,1,0.163968,1.937246,[10 13] ; [38 25],[12.8372093 10.1627907] ; [35.1627907 27.8372093],0
v3,1,0.165096,1.92692,[ 3 20] ; [17 45],[ 5.41176471 17.58823529] ; [14.58823529 47.41176471],0
r1,1,0.169224,1.889807,[12 11] ; [43 20],[14.70930233  8.29069767] ; [40.29069767 22.70930233],0
r3,1,0.177946,1.814694,[17  5] ; [56  7],[18.89411765  3.10588235] ; [54.10588235  8.89411765],0
s4,1,0.236412,1.401862,[ 4 19] ; [19 44],[ 6.15116279 16.84883721] ; [16.84883721 46.15116279],0
a2,1,0.249731,1.324805,[ 2 21] ; [12 51],[ 3.74418605 19.25581395] ; [10.25581395 52.74418605],0
v4,1,0.284432,1.145792,[19  3] ; [59  4],[20.18823529  1.81176471] ; [57.81176471  5.18823529],0
a5,1,0.300386,1.072481,[11 12] ; [38 25],[13.10465116  9.89534884] ; [35.89534884 27.10465116],0
d1,1,0.301037,1.069595,[ 6 17] ; [24 39],[ 8.02325581 14.97674419] ; [21.97674419 41.02325581],0
p7,1,0.315221,1.008673,[14  7] ; [33 28],[12.03658537  8.96341463] ; [34.96341463 26.03658537],0
n2,1,0.354539,0.857143,[5 3] ; [22  6],[6. 2.] ; [21.  7.],0
a6,1,0.365568,0.818674,[17  6] ; [40 23],[15.24418605  7.75581395] ; [41.75581395 21.24418605],0
d3,1,0.399134,0.710934,[11 11] ; [38 25],[12.68235294  9.31764706] ; [36.31764706 26.68235294],0
s1,1,0.430663,0.621034,[ 1 21] ; [ 1 62],[ 0.51764706 21.48235294] ; [ 1.48235294 61.51764706],0
u1,1,0.437166,0.603709,[ 1 22] ; [ 6 57],[ 1.87209302 21.12790698] ; [ 5.12790698 57.87209302],0
p3,1,0.439046,0.598775,[ 6 17] ; [22 41],[ 7.48837209 15.51162791] ; [20.51162791 42.48837209],0
d2,1,0.439046,0.598775,[ 6 17] ; [22 41],[ 7.48837209 15.51162791] ; [20.51162791 42.48837209],0
s8,1,0.512531,0.428896,[ 7 16] ; [24 39],[ 8.29069767 14.70930233] ; [22.70930233 40.29069767],0
u2,1,0.520171,0.413555,[6 4] ; [11 12],[5.15151515 4.84848485] ; [11.84848485 11.15151515],0
a3,1,0.556292,0.346165,[13 10] ; [40 23],[14.1744186  8.8255814] ; [38.8255814 24.1744186],0
a4,1,0.578805,0.30817,[ 8 15] ; [18 45],[ 6.95348837 16.04651163] ; [19.04651163 43.95348837],0
d5,1,0.617586,0.249275,[14  9] ; [42 21],[14.97674419  8.02325581] ; [41.02325581 21.97674419],0
p2,1,0.75217,0.099717,[16  7] ; [46 17],[16.58139535  6.41860465] ; [45.41860465 17.58139535],0
s2,1,0.792836,0.068974,[10 13] ; [25 37],[ 9.47058824 13.52941176] ; [25.52941176 36.47058824],0
p8,1,0.80017,0.064073,[ 9 12] ; [29 34],[ 9.5 11.5] ; [28.5 34.5],0
b3,1,0.851038,0.035266,[4 8] ; [12 21],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
b2,1,0.851038,0.035266,[4 8] ; [12 21],[4.26666667 7.73333333] ; [11.73333333 21.26666667],0
p4,1,0.882607,0.021805,[11 12] ; [29 34],[10.69767442 12.30232558] ; [29.30232558 33.69767442],0
a7,1,0.882737,0.021756,[15  8] ; [40 23],[14.70930233  8.29069767] ; [40.29069767 22.70930233],0
v2,1,0.891723,0.01853,[10 11] ; [28 33],[ 9.73170732 11.26829268] ; [28.26829268 32.73170732],0
u3,1,0.908575,0.013187,[5 5] ; [12 11],[5.15151515 4.84848485] ; [11.84848485 11.15151515],0
p5,1,0.967077,0.001704,[ 1 21] ; [ 3 60],[ 1.03529412 20.96470588] ; [ 2.96470588 60.03529412],0
