Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,40.2664,[104  53] ; [20 65],[80.44628099 76.55371901] ; [43.55371901 41.44628099],1
p6,1,1e-06,24.116146,[68 86] ; [11 74],[ 50.90376569 103.09623431] ; [28.09623431 56.90376569],1
p2,1,9e-06,19.692827,[139  18] ; [55 30],[125.85950413  31.14049587] ; [68.14049587 16.85950413],1
p4,1,0.000442,12.343901,[97 60] ; [32 52],[84.0373444 72.9626556] ; [44.9626556 39.0373444],1
p3,1,0.002255,9.329579,[82 75] ; [27 58],[70.71487603 86.28512397] ; [38.28512397 46.71487603],0
b4,1,0.012433,6.248012,[81 76] ; [58 27],[90.17768595 66.82231405] ; [48.82231405 36.17768595],0
b1,1,0.012731,6.206071,[70 87] ; [24 61],[60.98347107 96.01652893] ; [33.01652893 51.98347107],0
r3,1,0.019221,5.481318,[151   5] ; [76  9],[146.93775934   9.06224066] ; [80.06224066  4.93775934],0
n5,1,0.035384,4.426565,[123  32] ; [57 28],[116.25  38.75] ; [63.75 21.25],0
s7,1,0.049266,3.866262,[87 63] ; [37 46],[79.82832618 70.17167382] ; [44.17167382 38.82832618],0
p10,1,0.05561,3.663689,[128  26] ; [61 23],[122.29411765  31.70588235] ; [66.70588235 17.29411765],0
d5,1,0.071127,3.256824,[100  57] ; [44 41],[93.4214876 63.5785124] ; [50.5785124 34.4214876],0
p5,1,0.071625,3.245373,[ 26 131] ; [ 7 78],[ 21.40909091 135.59090909] ; [11.59090909 73.40909091],0
d4,1,0.08382,2.989234,[101  56] ; [45 40],[94.71900826 62.28099174] ; [51.28099174 33.71900826],0
d2,1,0.099316,2.716491,[ 19 138] ; [17 68],[ 23.3553719 133.6446281] ; [12.6446281 72.3553719],0
s8,1,0.103141,2.656297,[80 77] ; [34 51],[73.95867769 83.04132231] ; [40.04132231 44.95867769],0
s3,1,0.105845,2.615185,[107  49] ; [47 34],[101.36708861  54.63291139] ; [52.63291139 28.36708861],0
u1,1,0.17281,1.8584,[  7 150] ; [ 1 84],[  5.19008264 151.80991736] ; [ 2.80991736 82.19008264],0
s1,1,0.177828,1.815685,[  4 151] ; [ 5 77],[  5.88607595 149.11392405] ; [ 3.11392405 78.88607595],0
r2,1,0.182055,1.780771,[136  17] ; [80  5],[138.85714286  14.14285714] ; [77.14285714  7.85714286],0
b5,1,0.18484,1.758275,[84 73] ; [53 32],[88.88016529 68.11983471] ; [48.11983471 36.88016529],0
a3,1,0.230044,1.440591,[93 64] ; [43 41],[88.59751037 68.40248963] ; [47.40248963 36.59751037],0
n1,1,0.267781,1.228077,[17 21] ; [ 7 16],[14.95081967 23.04918033] ; [ 9.04918033 13.95081967],0
p9,1,0.275973,1.186813,[133  23] ; [67 17],[130.  26.] ; [70. 14.],0
a7,1,0.290433,1.117612,[106  50] ; [52 33],[102.27385892  53.72614108] ; [55.72614108 29.27385892],0
a6,1,0.301456,1.067744,[89 68] ; [54 31],[92.77272727 64.22727273] ; [50.22727273 34.77272727],0
