Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,6.6e-05,15.926157,[74 11] ; [10 11],[67.35849057 17.64150943] ; [16.64150943  4.35849057],1
r4,1,7.8e-05,15.612922,[53 32] ; [ 3 18],[44.90566038 40.09433962] ; [11.09433962  9.90566038],1
p2,1,0.000135,14.572565,[68 17] ; [ 8 13],[60.94339623 24.05660377] ; [15.05660377  5.94339623],1
p7,1,0.000362,12.716672,[48 35] ; [ 3 18],[40.70192308 42.29807692] ; [10.29807692 10.70192308],1
u2,1,0.000385,12.603284,[31 22] ; [ 1 14],[24.94117647 28.05882353] ; [7.05882353 7.94117647],1
p9,1,0.002833,8.911732,[62 21] ; [ 8 12],[56.40776699 26.59223301] ; [13.59223301  6.40776699],0
r2,1,0.00289,8.875812,[67 17] ; [10 11],[61.6 22.4] ; [15.4  5.6],0
n6,1,0.009248,6.774218,[65 20] ; [10 11],[60.14150943 24.85849057] ; [14.85849057  6.14150943],0
s6,1,0.025704,4.975845,[38 45] ; [ 4 17],[33.51923077 49.48076923] ; [ 8.48076923 12.51923077],0
u3,1,0.037014,4.349788,[23 31] ; [ 2 13],[19.56521739 34.43478261] ; [5.43478261 9.56521739],0
a7,1,0.03998,4.21875,[49 35] ; [ 7 14],[44.8 39.2] ; [11.2  9.8],0
p11,1,0.040474,4.197892,[57 28] ; [ 9 12],[52.9245283 32.0754717] ; [13.0754717  7.9245283],0
p6,1,0.044321,4.044293,[27 56] ; [ 2 18],[23.36893204 59.63106796] ; [ 5.63106796 14.36893204],0
p4,1,0.048497,3.892695,[36 49] ; [ 4 17],[32.0754717 52.9245283] ; [ 7.9245283 13.0754717],0
p10,1,0.051318,3.797873,[53 30] ; [ 8 12],[49.15533981 33.84466019] ; [11.84466019  8.15533981],0
s7,1,0.059565,3.549451,[24 57] ; [ 2 19],[20.64705882 60.35294118] ; [ 5.35294118 15.64705882],0
p8,1,0.077821,3.109831,[35 50] ; [ 4 16],[31.57142857 53.42857143] ; [ 7.42857143 12.57142857],0
d2,1,0.080267,3.05948,[17 68] ; [ 8 13],[20.04716981 64.95283019] ; [ 4.95283019 16.04716981],0
b2,1,0.08682,2.932364,[13 37] ; [7 7],[15.625 34.375] ; [4.375 9.625],0
b3,1,0.08682,2.932364,[13 37] ; [7 7],[15.625 34.375] ; [4.375 9.625],0
v1,1,0.100014,2.705314,[32 52] ; [ 4 17],[28.8 55.2] ; [ 7.2 13.8],0
n1,1,0.101319,2.684659,[ 7 21] ; [4 3],[ 8.8 19.2] ; [2.2 4.8],0
d5,1,0.11827,2.440087,[44 40] ; [ 7 14],[40.8 43.2] ; [10.2 10.8],0
s1,1,0.122531,2.384665,[ 2 83] ; [ 2 19],[ 3.20754717 81.79245283] ; [ 0.79245283 20.20754717],0
b5,1,0.14994,2.072861,[55 30] ; [10 11],[52.12264151 32.87735849] ; [12.87735849  8.12264151],0
s8,1,0.156432,2.008379,[20 65] ; [ 2 19],[17.64150943 67.35849057] ; [ 4.35849057 16.64150943],0
p3,1,0.181689,1.783756,[29 56] ; [ 4 17],[26.46226415 58.53773585] ; [ 6.53773585 14.46226415],0
s2,1,0.214265,1.542373,[28 57] ; [ 4 17],[25.66037736 59.33962264] ; [ 6.33962264 14.66037736],0
n2,1,0.220806,1.499126,[19  9] ; [3 4],[17.6 10.4] ; [4.4 2.6],0
a1,1,0.245925,1.346306,[ 3 82] ; [ 2 19],[ 4.00943396 80.99056604] ; [ 0.99056604 20.00943396],0
d1,1,0.260702,1.265024,[15 70] ; [ 6 15],[16.83962264 68.16037736] ; [ 4.16037736 16.83962264],0
u1,1,0.279524,1.169403,[ 1 84] ; [ 1 20],[ 1.60377358 83.39622642] ; [ 0.39622642 20.60377358],0
p1,1,0.287357,1.131965,[ 6 79] ; [ 3 18],[ 7.21698113 77.78301887] ; [ 1.78301887 19.21698113],0
s5,1,0.372263,0.796098,[15 67] ; [ 2 18],[13.66666667 68.33333333] ; [ 3.33333333 16.66666667],0
p12,1,0.392234,0.732004,[ 4 81] ; [ 2 19],[ 4.81132075 80.18867925] ; [ 1.18867925 19.81132075],0
v3,1,0.392458,0.731312,[24 61] ; [ 4 17],[22.45283019 62.54716981] ; [ 5.54716981 15.45283019],0
