Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.493883,[16 98] ; [47 66],[31.63876652 82.36123348] ; [31.36123348 81.63876652],1
s3,1,1.2e-05,19.17419,[24 89] ; [55 57],[39.67555556 73.32444444] ; [39.32444444 72.67555556],1
s5,1,0.005396,7.74162,[16 94] ; [34 79],[24.66367713 85.33632287] ; [25.33632287 87.66367713],0
p1,1,0.009045,6.813838,[ 13 101] ; [  3 112],[  7.9650655 106.0349345] ; [  8.0349345 106.9650655],0
s4,1,0.009767,6.676832,[  8 106] ; [21 93],[14.5 99.5] ; [14.5 99.5],0
p4,1,0.017291,5.666589,[52 59] ; [72 43],[60.90265487 50.09734513] ; [63.09734513 51.90265487],0
b1,1,0.021908,5.253043,[46 68] ; [30 85],[37.83406114 76.16593886] ; [38.16593886 76.83406114],0
p12,1,0.041571,4.152587,[  4 109] ; [ 12 103],[  7.92982456 105.07017544] ; [  8.07017544 106.92982456],0
p6,1,0.049063,3.873185,[24 86] ; [38 75],[30.58295964 79.41704036] ; [31.41704036 81.58295964],0
d3,1,0.053508,3.727969,[74 40] ; [88 27],[80.64628821 33.35371179] ; [81.35371179 33.64628821],0
u1,1,0.068754,3.312528,[  9 105] ; [18 97],[ 13.44104803 100.55895197] ; [ 13.55895197 101.44104803],0
b4,1,0.070423,3.273128,[62 52] ; [76 39],[68.69868996 45.30131004] ; [69.30131004 45.69868996],0
a7,1,0.08838,2.903641,[78 35] ; [90 24],[83.62995595 29.37004405] ; [84.37004405 29.62995595],0
p9,1,0.098889,2.723364,[86 28] ; [96 18],[91. 23.] ; [91. 23.],0
d5,1,0.113615,2.503206,[89 25] ; [99 16],[93.58951965 20.41048035] ; [94.41048035 20.58951965],0
p3,1,0.122116,2.389966,[46 66] ; [59 56],[51.8061674 60.1938326] ; [53.1938326 61.8061674],0
p10,1,0.1378,2.202356,[82 31] ; [93 22],[86.73245614 26.26754386] ; [88.26754386 26.73245614],0
a3,1,0.13855,2.193987,[80 34] ; [70 45],[74.67248908 39.32751092] ; [75.32751092 39.67248908],0
b5,1,0.161964,1.955797,[62 52] ; [73 42],[67.20524017 46.79475983] ; [67.79475983 47.20524017],0
a8,1,0.196519,1.668055,[ 7 99] ; [12 90],[ 9.68269231 96.31730769] ; [ 9.31730769 92.68269231],0
n5,1,0.225385,1.469749,[70 43] ; [80 35],[74.34210526 38.65789474] ; [75.65789474 39.34210526],0
v1,1,0.265322,1.240773,[63 50] ; [70 41],[67.09375 45.90625] ; [65.90625 45.09375],0
r3,1,0.294992,1.096696,[107   6] ; [112   3],[108.53947368   4.46052632] ; [110.46052632   4.53947368],0
u3,1,0.31403,1.013648,[15 19] ; [25 20],[17.21518987 16.78481013] ; [22.78481013 22.21518987],0
s1,1,0.317286,1.0001,[  3 110] ; [  1 111],[  2.00888889 110.99111111] ; [  1.99111111 110.00888889],0
n4,1,0.339151,0.91364,[82 32] ; [76 39],[78.65502183 35.34497817] ; [79.34497817 35.65502183],0
n3,1,0.350262,0.872507,[22  6] ; [14  7],[20.57142857  7.42857143] ; [15.42857143  5.57142857],0
b2,1,0.380759,0.768252,[26 44] ; [16 38],[23.70967742 46.29032258] ; [18.29032258 35.70967742],0
b3,1,0.380759,0.768252,[26 44] ; [16 38],[23.70967742 46.29032258] ; [18.29032258 35.70967742],0
d2,1,0.388174,0.744655,[51 62] ; [45 69],[47.78854626 65.21145374] ; [48.21145374 65.78854626],0
a2,1,0.405991,0.690509,[18 96] ; [23 92],[20.41048035 93.58951965] ; [20.58951965 94.41048035],0
s8,1,0.424379,0.638157,[20 94] ; [25 90],[22.40174672 91.59825328] ; [22.59825328 92.40174672],0
p11,1,0.424379,0.638157,[94 20] ; [90 25],[91.59825328 22.40174672] ; [92.40174672 22.59825328],0
u2,1,0.46616,0.531065,[13 20] ; [21 23],[14.57142857 18.42857143] ; [19.42857143 24.57142857],0
