Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.005235,7.796473,[20  4] ; [22 23],[14.60869565  9.39130435] ; [27.39130435 17.60869565],0
a8,1,0.024745,5.041664,[ 7 15] ; [ 4 38],[ 3.78125 18.21875] ; [ 7.21875 34.78125],0
s7,1,0.031809,4.608758,[18  5] ; [22 21],[13.93939394  9.06060606] ; [26.06060606 16.93939394],0
a4,1,0.069089,3.30453,[14 10] ; [16 29],[10.43478261 13.56521739] ; [19.56521739 25.43478261],0
p5,1,0.086145,2.944974,[ 4 20] ; [ 2 43],[ 2.08695652 21.91304348] ; [ 3.91304348 41.08695652],0
v1,1,0.088677,2.898229,[15  9] ; [18 26],[11.64705882 12.35294118] ; [21.35294118 22.64705882],0
a7,1,0.135779,2.225151,[11 13] ; [29 16],[13.91304348 10.08695652] ; [26.08695652 18.91304348],0
p9,1,0.140194,2.175824,[11 10] ; [15 30],[ 8.27272727 12.72727273] ; [17.72727273 27.27272727],0
s4,1,0.159248,1.981352,[ 8 16] ; [ 8 36],[ 5.64705882 18.35294118] ; [10.35294118 33.64705882],0
s3,1,0.166269,1.916264,[21  2] ; [35 10],[18.94117647  4.05882353] ; [37.05882353  7.94117647],0
v3,1,0.17769,1.816839,[11 13] ; [12 29],[ 8.49230769 15.50769231] ; [14.50769231 26.49230769],0
a2,1,0.180567,1.792955,[ 7 17] ; [ 7 38],[ 4.86956522 19.13043478] ; [ 9.13043478 35.86956522],0
b5,1,0.215537,1.53384,[17  7] ; [25 20],[14.60869565  9.39130435] ; [27.39130435 17.60869565],0
v2,1,0.23079,1.435987,[14  9] ; [20 24],[11.67164179 11.32835821] ; [22.32835821 21.67164179],0
r1,1,0.274664,1.193302,[17  7] ; [37  8],[18.7826087  5.2173913] ; [35.2173913  9.7826087],0
p6,1,0.275706,1.188138,[ 5 19] ; [15 30],[ 6.95652174 17.04347826] ; [13.04347826 31.95652174],0
a5,1,0.283549,1.15,[18  6] ; [28 17],[16.  8.] ; [30. 15.],0
d5,1,0.324465,0.970862,[20  4] ; [32 12],[18.35294118  5.64705882] ; [33.64705882 10.35294118],0
r4,1,0.325292,0.967548,[21  3] ; [35 10],[19.47826087  4.52173913] ; [36.52173913  8.47826087],0
r3,1,0.329534,0.950728,[23  1] ; [40  5],[21.91304348  2.08695652] ; [41.08695652  3.91304348],0
r2,1,0.329534,0.950728,[23  1] ; [40  5],[21.91304348  2.08695652] ; [41.08695652  3.91304348],0
d3,1,0.34099,0.906704,[13 11] ; [29 15],[14.82352941  9.17647059] ; [27.17647059 16.82352941],0
d1,1,0.343331,0.897952,[11 13] ; [26 19],[12.86956522 11.13043478] ; [24.13043478 20.86956522],0
p8,1,0.343991,0.8955,[ 7 16] ; [19 26],[ 8.79411765 14.20588235] ; [17.20588235 27.79411765],0
d4,1,0.41092,0.676136,[21  3] ; [35  9],[19.76470588  4.23529412] ; [36.23529412  7.76470588],0
n6,1,0.415154,0.663991,[18  5] ; [31 14],[16.57352941  6.42647059] ; [32.42647059 12.57352941],0
n4,1,0.429748,0.623505,[17  6] ; [29 16],[15.55882353  7.44117647] ; [30.44117647 14.55882353],0
u3,1,0.49205,0.472041,[6 2] ; [11  7],[5.23076923 2.76923077] ; [11.76923077  6.23076923],0
n1,1,0.492519,0.471018,[2 5] ; [7 9],[2.73913043 4.26086957] ; [6.26086957 9.73913043],0
n3,1,0.492519,0.471018,[5 2] ; [9 7],[4.26086957 2.73913043] ; [9.73913043 6.26086957],0
s8,1,0.536171,0.382683,[12 12] ; [19 26],[10.7826087 13.2173913] ; [20.2173913 24.7826087],0
p11,1,0.552843,0.352248,[13 11] ; [21 24],[11.82608696 12.17391304] ; [22.17391304 22.82608696],0
a3,1,0.586247,0.296243,[16  8] ; [27 18],[14.95652174  9.04347826] ; [28.04347826 16.95652174],0
a1,1,0.672118,0.179135,[ 1 23] ; [ 3 42],[ 1.39130435 22.60869565] ; [ 2.60869565 42.39130435],0
n5,1,0.67532,0.175442,[15  8] ; [27 18],[14.20588235  8.79411765] ; [27.79411765 17.20588235],0
p2,1,0.714506,0.133818,[16  8] ; [28 17],[15.30434783  8.69565217] ; [28.69565217 16.30434783],0
s1,1,0.715866,0.132488,[ 2 22] ; [ 5 40],[ 2.43478261 21.56521739] ; [ 4.56521739 40.43478261],0
a6,1,0.719692,0.128788,[12 12] ; [24 20],[12.70588235 11.29411765] ; [23.29411765 20.70588235],0
p7,1,0.72959,0.119489,[12 11] ; [21 23],[11.32835821 11.67164179] ; [21.67164179 22.32835821],0
b2,1,0.737149,0.112649,[ 7 12] ; [ 8 17],[ 6.47727273 12.52272727] ; [ 8.52272727 16.47727273],0
b3,1,0.737149,0.112649,[ 7 12] ; [ 8 17],[ 6.47727273 12.52272727] ; [ 8.52272727 16.47727273],0
p3,1,0.773199,0.083056,[11 13] ; [19 26],[10.43478261 13.56521739] ; [19.56521739 25.43478261],0
p4,1,0.808779,0.058565,[13 11] ; [23 22],[12.52173913 11.47826087] ; [23.47826087 21.52173913],0
b1,1,0.808779,0.058565,[13 11] ; [23 22],[12.52173913 11.47826087] ; [23.47826087 21.52173913],0
d2,1,0.881136,0.022359,[13 11] ; [23 21],[12.70588235 11.29411765] ; [23.29411765 20.70588235],0
u2,1,0.890787,0.018854,[4 4] ; [8 9],[3.84 4.16] ; [8.16 8.84],0
u1,1,0.894021,0.017747,[ 5 19] ; [10 35],[ 5.2173913 18.7826087] ; [ 9.7826087 35.2173913],0
