Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,4e-06,21.443781,[44 66] ; [ 21 124],[28.03921569 81.96078431] ; [ 36.96078431 108.03921569],1
r3,1,2.8e-05,17.558617,[107   4] ; [114  32],[95.45136187 15.54863813] ; [125.54863813  20.45136187],1
v1,1,6.9e-05,15.847347,[58 50] ; [ 42 103],[42.68774704 65.31225296] ; [57.31225296 87.68774704],1
r1,1,0.002364,9.243013,[85 26] ; [86 61],[73.56976744 37.43023256] ; [97.43023256 49.56976744],0
n6,1,0.003219,8.67917,[91 21] ; [95 52],[80.43243243 31.56756757] ; [105.56756757  41.43243243],0
p10,1,0.003928,8.316726,[79 33] ; [76 68],[67.8125 44.1875] ; [87.1875 56.8125],0
b1,1,0.004351,8.131006,[33 79] ; [69 78],[44.10810811 67.89189189] ; [57.89189189 89.10810811],0
d3,1,0.009183,6.786828,[76 36] ; [75 70],[65.80544747 46.19455253] ; [85.19455253 59.80544747],0
d4,1,0.009411,6.743106,[92 19] ; [101  46],[83.03488372 27.96511628] ; [109.96511628  37.03488372],0
s6,1,0.012781,6.199204,[58 54] ; [53 93],[48.18604651 63.81395349] ; [62.81395349 83.18604651],0
p9,1,0.013125,6.152127,[83 28] ; [87 58],[73.7109375 37.2890625] ; [96.2890625 48.7109375],0
d1,1,0.014225,6.010028,[59 53] ; [55 92],[49.2972973 62.7027027] ; [64.7027027 82.2972973],0
p11,1,0.015971,5.806016,[81 31] ; [85 62],[71.78378378 40.21621622] ; [94.21621622 52.78378378],0
p2,1,0.023797,5.109366,[83 29] ; [88 57],[74.52140078 37.47859922] ; [96.47859922 48.52140078],0
d5,1,0.024054,5.090751,[88 24] ; [96 50],[79.87596899 32.12403101] ; [104.12403101  41.87596899],0
a7,1,0.029746,4.723905,[82 29] ; [89 57],[73.85603113 37.14396887] ; [97.14396887 48.85603113],0
r4,1,0.03422,4.483668,[92 20] ; [104  43],[84.75675676 27.24324324] ; [111.24324324  35.75675676],0
a8,1,0.060237,3.530853,[ 6 99] ; [ 18 121],[10.32786885 94.67213115] ; [ 13.67213115 125.32786885],0
v4,1,0.077626,3.113929,[100  11] ; [121  26],[95.08139535 15.91860465] ; [125.91860465  21.08139535],0
r2,1,0.104892,2.629549,[101  10] ; [122  23],[96.69140625 14.30859375] ; [126.30859375  18.69140625],0
p4,1,0.155363,2.018788,[41 71] ; [ 41 104],[35.73540856 76.26459144] ; [46.26459144 98.73540856],0
s8,1,0.166995,1.909717,[18 94] ; [ 15 131],[14.3255814 97.6744186] ; [ 18.6744186 127.3255814],0
n1,1,0.263686,1.249303,[ 6 26] ; [16 38],[ 8.18604651 23.81395349] ; [13.81395349 40.18604651],0
p7,1,0.326359,0.963291,[42 69] ; [46 98],[38.30588235 72.69411765] ; [49.69411765 94.30588235],0
s2,1,0.340261,0.909449,[33 77] ; [ 36 110],[29.6484375 80.3515625] ; [ 39.3515625 106.6484375],0
s5,1,0.345418,0.890219,[23 84] ; [ 24 119],[20.116 86.884] ; [ 26.884 116.116],0
a3,1,0.374851,0.787522,[71 41] ; [84 61],[67.54863813 44.45136187] ; [87.45136187 57.54863813],0
p3,1,0.37973,0.771575,[32 79] ; [ 35 111],[28.93774319 82.06225681] ; [ 38.06225681 107.93774319],0
a4,1,0.427951,0.628378,[44 68] ; [50 95],[40.96498054 71.03501946] ; [53.03501946 91.96498054],0
p5,1,0.446362,0.579874,[  6 106] ; [  5 141],[  4.7751938 107.2248062] ; [  6.2248062 139.7751938],0
a5,1,0.447048,0.578125,[67 45] ; [81 66],[64. 48.] ; [84. 63.],0
a6,1,0.466726,0.529717,[69 43] ; [97 50],[71.78378378 40.21621622] ; [94.21621622 52.78378378],0
b4,1,0.477579,0.504387,[66 46] ; [93 54],[68.75675676 43.24324324] ; [90.24324324 56.75675676],0
