Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002993,8.811694,[ 3 27] ; [5 4],[ 6.15384615 23.84615385] ; [1.84615385 7.15384615],0
p5,1,0.00587,7.589899,[ 2 28] ; [4 5],[ 4.61538462 25.38461538] ; [1.38461538 7.61538462],0
s8,1,0.00837,6.952593,[ 4 26] ; [5 4],[ 6.92307692 23.07692308] ; [2.07692308 6.92307692],0
p7,1,0.010066,6.623158,[12 18] ; [8 1],[15.38461538 14.61538462] ; [4.61538462 4.38461538],0
s6,1,0.010596,6.531793,[ 9 21] ; [7 2],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
u3,1,0.023286,5.147059,[ 2 16] ; [2 1],[ 3.42857143 14.57142857] ; [0.57142857 2.42857143],0
p3,1,0.028234,4.813714,[ 8 22] ; [6 3],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
d4,1,0.037502,4.327446,[15 15] ; [8 1],[17.69230769 12.30769231] ; [5.30769231 3.69230769],0
d1,1,0.042638,4.109677,[ 4 26] ; [4 5],[ 6.15384615 23.84615385] ; [1.84615385 7.15384615],0
p4,1,0.04674,3.954737,[12 18] ; [7 2],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
a5,1,0.047361,3.9325,[ 9 21] ; [6 3],[11.53846154 18.46153846] ; [3.46153846 5.53846154],0
r3,1,0.054485,3.697778,[16 14] ; [8 1],[18.46153846 11.53846154] ; [5.53846154 3.46153846],0
p10,1,0.056412,3.639847,[12 17] ; [7 2],[14.5 14.5] ; [4.5 4.5],0
d5,1,0.074574,3.179348,[10 20] ; [6 3],[12.30769231 17.69230769] ; [3.69230769 5.30769231],0
n4,1,0.077161,3.123714,[17 13] ; [8 1],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
d2,1,0.106864,2.6,[ 8 22] ; [5 4],[10. 20.] ; [3. 6.],0
b3,1,0.112411,2.52,[ 4 16] ; [4 4],[ 5.71428571 14.28571429] ; [2.28571429 5.71428571],0
b2,1,0.112411,2.52,[ 4 16] ; [4 4],[ 5.71428571 14.28571429] ; [2.28571429 5.71428571],0
n1,1,0.11863,2.435317,[ 3 11] ; [2 1],[4.11764706 9.88235294] ; [0.88235294 2.11764706],0
a3,1,0.15929,1.980952,[12 18] ; [6 3],[13.84615385 16.15384615] ; [4.15384615 4.84615385],0
b4,1,0.15929,1.980952,[18 12] ; [3 6],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
s2,1,0.160995,1.964857,[ 9 21] ; [5 4],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
p8,1,0.160995,1.964857,[ 9 21] ; [5 4],[10.76923077 19.23076923] ; [3.23076923 5.76923077],0
v2,1,0.24061,1.377014,[ 7 22] ; [4 5],[ 8.39473684 20.60526316] ; [2.60526316 6.39473684],0
n6,1,0.297963,1.083288,[17 12] ; [7 2],[18.31578947 10.68421053] ; [5.68421053 3.31578947],0
r1,1,0.310827,1.02716,[ 8 22] ; [4 5],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
v1,1,0.310827,1.02716,[ 8 22] ; [4 5],[ 9.23076923 20.76923077] ; [2.76923077 6.23076923],0
p1,1,0.336089,0.925294,[ 3 27] ; [2 7],[ 3.84615385 26.15384615] ; [1.15384615 7.84615385],0
p12,1,0.353512,0.860811,[ 1 29] ; [1 8],[ 1.53846154 28.46153846] ; [0.46153846 8.53846154],0
v4,1,0.379041,0.77381,[15 15] ; [6 3],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
p11,1,0.379041,0.77381,[15 15] ; [6 3],[16.15384615 13.84615385] ; [4.84615385 4.15384615],0
b1,1,0.420113,0.65,[21  9] ; [5 4],[20. 10.] ; [6. 3.],0
d3,1,0.420113,0.65,[ 9 21] ; [4 5],[10. 20.] ; [3. 6.],0
s4,1,0.425792,0.634274,[ 7 23] ; [1 8],[ 6.15384615 23.84615385] ; [1.84615385 7.15384615],0
n3,1,0.453388,0.562169,[6 8] ; [2 1],[6.58823529 7.41176471] ; [1.41176471 1.58823529],0
s3,1,0.458818,0.548777,[ 9 20] ; [4 5],[ 9.92105263 19.07894737] ; [3.07894737 5.92105263],0
u2,1,0.475533,0.509091,[ 8 10] ; [2 1],[8.57142857 9.42857143] ; [1.42857143 1.57142857],0
p9,1,0.490298,0.475872,[15 13] ; [6 3],[15.89189189 12.10810811] ; [5.10810811 3.89189189],0
s7,1,0.524471,0.405093,[ 7 20] ; [3 5],[ 7.71428571 19.28571429] ; [2.28571429 5.71428571],0
p6,1,0.544634,0.367018,[ 4 25] ; [2 7],[ 4.57894737 24.42105263] ; [1.42105263 7.57894737],0
a8,1,0.628745,0.233766,[ 2 26] ; [1 7],[ 2.33333333 25.66666667] ; [0.66666667 7.33333333],0
s5,1,0.703273,0.145089,[ 5 25] ; [2 7],[ 5.38461538 24.61538462] ; [1.61538462 7.38461538],0
n2,1,0.761001,0.092517,[8 6] ; [2 1],[8.23529412 5.76470588] ; [1.76470588 1.23529412],0
b5,1,0.769943,0.085526,[15 15] ; [4 5],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
n5,1,0.849286,0.036111,[21  9] ; [6 3],[20.76923077  9.23076923] ; [6.23076923 2.76923077],0
p2,1,0.854928,0.033429,[19 11] ; [6 3],[19.23076923 10.76923077] ; [5.76923077 3.23076923],0
a4,1,0.884867,0.020968,[ 6 24] ; [2 7],[ 6.15384615 23.84615385] ; [1.84615385 7.15384615],0
s1,1,0.923233,0.009286,[ 3 27] ; [1 8],[ 3.07692308 26.92307692] ; [0.92307692 8.07692308],0
a6,1,1.0,0.0,[10 20] ; [3 6],[10. 20.] ; [3. 6.],0
