Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,29.320492,[1 5] ; [53  3],[5.22580645 0.77419355] ; [48.77419355  7.22580645],1
r4,1,6.6e-05,15.91834,[1 5] ; [49  8],[4.76190476 1.23809524] ; [45.23809524 11.76190476],1
r2,1,0.001439,10.154605,[3 3] ; [53  4],[5.33333333 0.66666667] ; [50.66666667  6.33333333],0
d5,1,0.029887,4.715789,[2 4] ; [43 14],[4.28571429 1.71428571] ; [40.71428571 16.28571429],0
n6,1,0.053373,3.732191,[2 4] ; [41 16],[4.0952381 1.9047619] ; [38.9047619 18.0952381],0
r1,1,0.061674,3.491781,[3 3] ; [47 10],[4.76190476 1.23809524] ; [45.23809524 11.76190476],0
p2,1,0.068617,3.315789,[2 4] ; [40 17],[4. 2.] ; [38. 19.],0
a7,1,0.106717,2.602174,[2 4] ; [38 19],[3.80952381 2.19047619] ; [36.19047619 20.80952381],0
n4,1,0.145513,2.118666,[3 3] ; [44 13],[4.47619048 1.52380952] ; [42.52380952 14.47619048],0
v2,1,0.196446,1.6686,[2 4] ; [34 22],[3.48387097 2.51612903] ; [32.51612903 23.48387097],0
n5,1,0.21535,1.535088,[2 4] ; [34 23],[3.42857143 2.57142857] ; [32.57142857 24.42857143],0
n1,1,0.222969,1.48516,[3 1] ; [ 7 10],[1.9047619 2.0952381] ; [8.0952381 8.9047619],0
s6,1,0.2824,1.155503,[2 4] ; [31 24],[3.24590164 2.75409836] ; [29.75409836 25.24590164],0
s3,1,0.304163,1.055854,[2 4] ; [31 25],[3.19354839 2.80645161] ; [29.80645161 26.19354839],0
v3,1,0.304163,1.055854,[4 2] ; [25 31],[2.80645161 3.19354839] ; [26.19354839 29.80645161],0
p11,1,0.326032,0.964593,[2 4] ; [31 26],[3.14285714 2.85714286] ; [29.85714286 27.14285714],0
s7,1,0.330629,0.946434,[3 2] ; [20 33],[1.98275862 3.01724138] ; [21.01724138 31.98275862],0
a3,1,0.362577,0.828947,[5 1] ; [37 20],[4. 2.] ; [38. 19.],0
d2,1,0.413573,0.668506,[2 4] ; [29 28],[2.95238095 3.04761905] ; [28.04761905 28.95238095],0
b2,1,0.43088,0.62045,[2 2] ; [11 25],[1.3 2.7] ; [11.7 24.3],0
b3,1,0.43088,0.62045,[2 2] ; [11 25],[1.3 2.7] ; [11.7 24.3],0
d1,1,0.461364,0.542584,[2 4] ; [28 29],[2.85714286 3.14285714] ; [27.14285714 29.85714286],0
b5,1,0.527848,0.398532,[3 3] ; [36 21],[3.71428571 2.28571429] ; [35.28571429 21.71428571],0
p3,1,0.550229,0.356908,[3 3] ; [21 35],[2.32258065 3.67741935] ; [21.67741935 34.32258065],0
b1,1,0.564731,0.331579,[4 2] ; [31 26],[3.33333333 2.66666667] ; [31.66666667 25.33333333],0
a2,1,0.605512,0.266762,[1 5] ; [15 42],[1.52380952 4.47619048] ; [14.47619048 42.52380952],0
p4,1,0.62018,0.245614,[2 4] ; [25 32],[2.57142857 3.42857143] ; [24.42857143 32.57142857],0
s8,1,0.63503,0.225301,[1 5] ; [14 41],[1.47540984 4.52459016] ; [13.52459016 41.47540984],0
d4,1,0.638686,0.220465,[4 2] ; [43 14],[4.47619048 1.52380952] ; [42.52380952 14.47619048],0
b4,1,0.647923,0.208529,[3 3] ; [34 23],[3.52380952 2.47619048] ; [33.47619048 23.52380952],0
s1,1,0.661495,0.191713,[1 5] ; [ 6 50],[0.67741935 5.32258065] ; [ 6.32258065 49.67741935],0
p6,1,0.667905,0.184062,[1 5] ; [13 40],[1.42372881 4.57627119] ; [12.57627119 40.42372881],0
s2,1,0.700375,0.148082,[3 3] ; [23 32],[2.55737705 3.44262295] ; [23.44262295 31.55737705],0
n2,1,0.736152,0.113538,[3 1] ; [14  3],[3.23809524 0.76190476] ; [13.76190476  3.23809524],0
a4,1,0.737348,0.112472,[3 3] ; [24 32],[2.61290323 3.38709677] ; [24.38709677 31.61290323],0
a6,1,0.800641,0.063765,[4 2] ; [35 22],[3.71428571 2.28571429] ; [35.28571429 21.71428571],0
a5,1,0.858621,0.03173,[4 2] ; [40 17],[4.19047619 1.80952381] ; [39.80952381 17.19047619],0
p10,1,0.86079,0.030754,[1 5] ; [11 45],[1.16129032 4.83870968] ; [10.83870968 45.16129032],0
s4,1,0.874972,0.024758,[1 5] ; [ 8 48],[0.87096774 5.12903226] ; [ 8.12903226 47.87096774],0
p7,1,0.898924,0.016134,[3 3] ; [29 26],[3.14754098 2.85245902] ; [28.85245902 26.14754098],0
d3,1,0.930025,0.007711,[4 2] ; [39 18],[4.0952381 1.9047619] ; [38.9047619 18.0952381],0
p8,1,0.930025,0.007711,[2 4] ; [18 39],[1.9047619 4.0952381] ; [18.0952381 38.9047619],0
