Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,72.700237,[ 8 38] ; [205  52],[32.33663366 13.66336634] ; [180.66336634  76.33663366],1
a4,1,3e-06,21.659859,[ 9 37] ; [146 111],[23.53135314 22.46864686] ; [131.46864686 125.53135314],1
r2,1,2e-05,18.197454,[37  8] ; [248   7],[42.75  2.25] ; [242.25  12.75],1
r1,1,0.000193,13.898662,[29 17] ; [218  36],[37.87333333  8.12666667] ; [209.12666667  44.87333333],1
d2,1,0.00023,13.570741,[14 32] ; [153 103],[25.43708609 20.56291391] ; [141.56291391 114.43708609],1
d4,1,0.000523,12.030952,[34 12] ; [235  22],[40.83828383  5.16171617] ; [228.16171617  28.83828383],1
v4,1,0.000523,12.030233,[40  5] ; [252   4],[43.65448505  1.34551495] ; [248.34551495   7.65448505],1
u1,1,0.000906,11.009526,[ 2 44] ; [ 69 188],[10.77887789 35.22112211] ; [ 60.22112211 196.77887789],1
a5,1,0.002604,9.066108,[29 17] ; [212  45],[36.58745875  9.41254125] ; [204.41254125  52.58745875],0
d3,1,0.006347,7.449034,[28 18] ; [204  53],[35.22112211 10.77887789] ; [196.77887789  60.22112211],0
a2,1,0.007255,7.208651,[ 6 40] ; [ 84 173],[13.66336634 32.33663366] ; [ 76.33663366 180.66336634],0
v2,1,0.007759,7.088303,[18 27] ; [152  96],[26.10921502 18.89078498] ; [143.89078498 104.10921502],0
n4,1,0.012586,6.226443,[32 14] ; [217  39],[37.92715232  8.07284768] ; [211.07284768  44.92715232],0
a3,1,0.024551,5.055292,[30 16] ; [206  51],[35.82838284 10.17161716] ; [200.17161716  56.82838284],0
r4,1,0.046623,3.958933,[39  7] ; [240  17],[42.35643564  3.64356436] ; [236.64356436  20.35643564],0
r3,1,0.046922,3.948187,[42  4] ; [249   7],[44.32450331  1.67549669] ; [246.67549669   9.32450331],0
u3,1,0.047102,3.941739,[7 8] ; [37 13],[10.15384615  4.84615385] ; [33.84615385 16.15384615],0
s6,1,0.058003,3.593582,[38  8] ; [230  21],[41.50841751  4.49158249] ; [226.49158249  24.50841751],0
s5,1,0.066368,3.370636,[17 28] ; [128 115],[22.65625 22.34375] ; [122.34375 120.65625],0
v3,1,0.091152,2.853918,[15 31] ; [112 131],[20.21453287 25.78546713] ; [106.78546713 136.21453287],0
p1,1,0.10608,2.611668,[ 8 38] ; [ 24 231],[ 4.89036545 41.10963455] ; [ 27.10963455 227.89036545],0
p8,1,0.113001,2.511738,[33 13] ; [152 104],[28.17880795 17.82119205] ; [156.82119205  99.17880795],0
n5,1,0.117681,2.447913,[34 12] ; [213  42],[37.74750831  8.25249169] ; [209.25249169  45.74750831],0
b5,1,0.139952,2.178484,[32 14] ; [149 108],[27.47854785 18.52145215] ; [153.52145215 103.47854785],0
p6,1,0.151817,2.0539,[20 26] ; [139 114],[24.46153846 21.53846154] ; [134.53846154 118.46153846],0
v1,1,0.176619,1.825845,[24 22] ; [155  92],[28.10238908 17.89761092] ; [150.89761092  96.10238908],0
s4,1,0.185616,1.752075,[ 7 39] ; [ 61 192],[10.46153846 35.53846154] ; [ 57.53846154 195.46153846],0
p7,1,0.231058,1.434337,[37  9] ; [182  71],[33.69230769 12.30769231] ; [185.30769231  67.69230769],0
s8,1,0.240879,1.375442,[27 19] ; [173  83],[30.46357616 15.53642384] ; [169.53642384  86.46357616],0
n2,1,0.264812,1.243424,[3 2] ; [43 10],[3.96551724 1.03448276] ; [42.03448276 10.96551724],0
p10,1,0.290252,1.118451,[38  8] ; [225  30],[40.19269103  5.80730897] ; [222.80730897  32.19269103],0
n6,1,0.320458,0.987076,[39  7] ; [228  26],[40.94  5.06] ; [226.06  27.94],0
p3,1,0.353578,0.860574,[29 17] ; [179  77],[31.68211921 14.31788079] ; [176.31788079  79.68211921],0
a6,1,0.365132,0.820166,[28 18] ; [174  83],[30.66666667 15.33333333] ; [171.33333333  85.66666667],0
u4,1,0.390751,0.736605,[ 1 45] ; [ 13 244],[ 2.12541254 43.87458746] ; [ 11.87458746 245.12541254],0
p5,1,0.431021,0.620071,[10 35] ; [ 44 210],[ 8.1270903 36.8729097] ; [ 45.8729097 208.1270903],0
s1,1,0.434361,0.611135,[ 1 45] ; [ 12 242],[ 1.99333333 44.00666667] ; [ 11.00666667 242.99333333],0
a7,1,0.438117,0.60121,[32 14] ; [192  64],[34.1192053 11.8807947] ; [189.8807947  66.1192053],0
p9,1,0.449151,0.572792,[40  6] ; [231  24],[41.41528239  4.58471761] ; [229.58471761  25.41528239],0
s7,1,0.47035,0.521155,[31 14] ; [180  63],[32.96875 12.03125] ; [178.03125  64.96875],0
p2,1,0.558031,0.343126,[40  6] ; [230  26],[41.12582781  4.87417219] ; [228.87417219  27.12582781],0
p11,1,0.571152,0.320759,[35 11] ; [205  52],[36.43564356  9.56435644] ; [203.56435644  53.43564356],0
a8,1,0.661104,0.192186,[ 7 36] ; [ 33 207],[ 6.07773852 36.92226148] ; [ 33.92226148 206.07773852],0
b4,1,0.777166,0.080097,[26 20] ; [151 106],[26.87128713 19.12871287] ; [150.12871287 106.87128713],0
u2,1,0.781362,0.077031,[10  5] ; [32 19],[9.54545455 5.45454545] ; [32.45454545 18.54545455],0
n3,1,0.82105,0.051164,[4 1] ; [40 13],[3.79310345 1.20689655] ; [40.20689655 12.79310345],0
b1,1,0.854026,0.03385,[20 26] ; [108 149],[19.43234323 26.56765677] ; [108.56765677 148.43234323],0
n1,1,0.855508,0.033159,[2 3] ; [23 29],[2.19298246 2.80701754] ; [22.80701754 29.19298246],0
s3,1,0.86614,0.028414,[40  6] ; [224  31],[40.34551495  5.65448505] ; [223.65448505  31.34551495],0
a1,1,0.905607,0.014062,[ 3 43] ; [ 18 239],[ 3.18811881 42.81188119] ; [ 17.81188119 239.18811881],0
p12,1,0.965063,0.001919,[ 6 40] ; [ 34 222],[ 6.09271523 39.90728477] ; [ 33.90728477 222.09271523],0
b2,1,0.985037,0.000352,[12 19] ; [63 99],[12.04663212 18.95336788] ; [62.95336788 99.04663212],0
b3,1,0.985037,0.000352,[12 19] ; [63 99],[12.04663212 18.95336788] ; [62.95336788 99.04663212],0
