Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.428153,[4 7] ; [104  12],[9.35433071 1.64566929] ; [98.64566929 17.35433071],1
r1,1,0.000217,13.681623,[3 8] ; [91 25],[8.14173228 2.85826772] ; [85.85826772 30.14173228],1
v4,1,0.001407,10.196465,[7 4] ; [108   8],[9.96062992 1.03937008] ; [105.03937008  10.96062992],0
a5,1,0.00658,7.384192,[4 7] ; [87 29],[7.88188976 3.11811024] ; [83.11811024 32.88188976],0
d5,1,0.063994,3.430737,[7 4] ; [99 17],[9.18110236 1.81889764] ; [96.81889764 19.18110236],0
s7,1,0.066075,3.377927,[2 7] ; [60 51],[4.65 4.35] ; [57.35 53.65],0
s3,1,0.066739,3.361451,[3 8] ; [64 50],[5.896 5.104] ; [61.104 52.896],0
p5,1,0.076727,3.132896,[3 8] ; [ 11 103],[1.232 9.768] ; [ 12.768 101.232],0
d4,1,0.080805,3.048627,[7 4] ; [98 18],[9.09448819 1.90551181] ; [95.90551181 20.09448819],0
a3,1,0.089088,2.890778,[6 5] ; [90 26],[8.31496063 2.68503937] ; [87.68503937 28.31496063],0
p9,1,0.093783,2.808215,[7 4] ; [94 18],[9.03252033 1.96747967] ; [91.96747967 20.03252033],0
s1,1,0.128942,2.305192,[ 1 10] ; [  2 112],[ 0.264 10.736] ; [  2.736 111.264],0
n6,1,0.13472,2.237254,[7 4] ; [93 20],[8.87096774 2.12903226] ; [91.12903226 21.87096774],0
s8,1,0.141957,2.156612,[3 8] ; [58 57],[5.32539683 5.67460317] ; [55.67460317 59.32539683],0
d2,1,0.149328,2.079099,[8 3] ; [58 58],[5.71653543 5.28346457] ; [60.28346457 55.71653543],0
b1,1,0.171973,1.865658,[7 4] ; [49 67],[4.8503937 6.1496063] ; [51.1496063 64.8503937],0
s4,1,0.197593,1.660079,[3 8] ; [ 15 100],[1.57142857 9.42857143] ; [16.42857143 98.57142857],0
b3,1,0.201373,1.632389,[2 6] ; [37 39],[3.71428571 4.28571429] ; [35.28571429 40.71428571],0
b2,1,0.201373,1.632389,[2 6] ; [37 39],[3.71428571 4.28571429] ; [35.28571429 40.71428571],0
v3,1,0.228025,1.45314,[4 7] ; [62 50],[5.90243902 5.09756098] ; [60.09756098 51.90243902],0
s6,1,0.252345,1.310274,[5 6] ; [70 41],[6.76229508 4.23770492] ; [68.23770492 42.76229508],0
n1,1,0.285982,1.13844,[1 4] ; [11 13],[2.06896552 2.93103448] ; [ 9.93103448 14.06896552],0
s5,1,0.298363,1.081499,[3 8] ; [47 61],[4.62184874 6.37815126] ; [45.37815126 62.62184874],0
a4,1,0.308871,1.035495,[3 8] ; [50 66],[4.59055118 6.40944882] ; [48.40944882 67.59055118],0
n2,1,0.334428,0.931677,[3 2] ; [20  5],[3.83333333 1.16666667] ; [19.16666667  5.83333333],0
n4,1,0.343553,0.897129,[10  1] ; [90 24],[8.8 2.2] ; [91.2 22.8],0
p12,1,0.381233,0.766722,[ 1 10] ; [  4 107],[ 0.45081967 10.54918033] ; [  4.54918033 106.45081967],0
a6,1,0.451382,0.567178,[3 8] ; [45 71],[4.15748031 6.84251969] ; [43.84251969 72.15748031],0
p1,1,0.48037,0.498024,[ 1 10] ; [  5 110],[ 0.52380952 10.47619048] ; [  5.47619048 109.52380952],0
r3,1,0.48037,0.498024,[10  1] ; [110   5],[10.47619048  0.52380952] ; [109.52380952   5.47619048],0
u2,1,0.512691,0.428571,[3 2] ; [11 14],[2.33333333 2.66666667] ; [11.66666667 13.33333333],0
s2,1,0.536321,0.382401,[5 6] ; [64 52],[5.97637795 5.02362205] ; [63.02362205 52.97637795],0
n5,1,0.544916,0.366505,[9 2] ; [83 30],[8.16129032 2.83870968] ; [83.83870968 29.16129032],0
p4,1,0.559332,0.340863,[7 4] ; [61 51],[6.08130081 4.91869919] ; [61.91869919 50.08130081],0
b4,1,0.573553,0.316774,[5 6] ; [63 53],[5.88976378 5.11023622] ; [62.11023622 53.88976378],0
b5,1,0.588954,0.291981,[4 7] ; [52 64],[4.8503937 6.1496063] ; [51.1496063 64.8503937],0
d1,1,0.611781,0.257589,[5 6] ; [62 54],[5.80314961 5.19685039] ; [61.19685039 54.80314961],0
d3,1,0.626757,0.236484,[4 7] ; [51 65],[4.76377953 6.23622047] ; [50.23622047 65.76377953],0
p7,1,0.633989,0.22669,[7 4] ; [79 33],[7.69105691 3.30894309] ; [78.30894309 33.69105691],0
p2,1,0.64345,0.214258,[8 3] ; [89 24],[8.60483871 2.39516129] ; [88.39516129 24.60483871],0
p3,1,0.649105,0.20703,[5 6] ; [60 54],[5.72 5.28] ; [59.28 54.72],0
p11,1,0.700489,0.147964,[9 2] ; [89 27],[8.48818898 2.51181102] ; [89.51181102 26.48818898],0
p10,1,0.720822,0.127707,[8 3] ; [86 25],[8.47540984 2.52459016] ; [85.52459016 25.47540984],0
v1,1,0.775525,0.081314,[7 4] ; [76 36],[7.42276423 3.57723577] ; [75.57723577 36.42276423],0
u3,1,0.800093,0.064124,[2 3] ; [12 14],[2.25806452 2.74193548] ; [11.74193548 14.25806452],0
n3,1,0.826581,0.048,[4 1] ; [21  4],[4.16666667 0.83333333] ; [20.83333333  4.16666667],0
p8,1,0.862938,0.029803,[6 5] ; [57 53],[5.72727273 5.27272727] ; [57.27272727 52.72727273],0
p6,1,0.9693,0.001481,[4 7] ; [39 70],[3.94166667 7.05833333] ; [39.05833333 69.94166667],0
