Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2.2e-05,17.974305,[19 54] ; [92 73],[34.04621849 38.95378151] ; [76.95378151 88.04621849],1
d1,1,2.6e-05,17.673772,[30 44] ; [115  51],[44.70833333 29.29166667] ; [100.29166667  65.70833333],1
a4,1,3.7e-05,17.00873,[16 58] ; [83 83],[30.525 43.475] ; [68.475 97.525],1
u1,1,5.6e-05,16.231496,[ 1 73] ; [ 36 130],[11.40833333 62.59166667] ; [ 25.59166667 140.40833333],1
d5,1,0.00012,14.799149,[51 23] ; [148  18],[61.35833333 12.64166667] ; [137.64166667  28.35833333],1
r1,1,0.001175,10.528968,[51 23] ; [143  22],[60.06694561 13.93305439] ; [133.93305439  31.06694561],0
a7,1,0.00187,9.673215,[44 29] ; [132  34],[53.75732218 19.24267782] ; [122.24267782  43.75732218],0
a6,1,0.002184,9.387822,[39 35] ; [121  45],[49.33333333 24.66666667] ; [110.66666667  55.33333333],0
n4,1,0.003284,8.64269,[42 31] ; [126  39],[51.52941176 21.47058824] ; [116.47058824  48.52941176],0
s7,1,0.004794,7.955513,[22 48] ; [82 77],[31.79039301 38.20960699] ; [72.20960699 86.79039301],0
p9,1,0.006942,7.287982,[49 22] ; [136  25],[56.61637931 14.38362069] ; [128.38362069  32.61637931],0
a3,1,0.00988,6.656416,[43 31] ; [124  42],[51.49166667 22.50833333] ; [115.50833333  50.49166667],0
r4,1,0.010726,6.510085,[56 18] ; [147  19],[62.59166667 11.40833333] ; [140.40833333  25.59166667],0
d4,1,0.0122,6.281617,[56 17] ; [148  18],[62.30962343 10.69037657] ; [141.69037657  24.30962343],0
r3,1,0.0163,5.770185,[66  6] ; [161   3],[69.25423729  2.74576271] ; [157.74576271   6.25423729],0
p10,1,0.043087,4.092002,[47 24] ; [129  35],[53.17446809 17.82553191] ; [122.82553191  41.17446809],0
s6,1,0.055015,3.681625,[38 32] ; [110  53],[44.46351931 25.53648069] ; [103.53648069  59.46351931],0
s5,1,0.066729,3.36171,[14 57] ; [ 50 109],[19.75652174 51.24347826] ; [ 44.24347826 114.75652174],0
n6,1,0.068551,3.317371,[54 19] ; [137  26],[59.08050847 13.91949153] ; [131.91949153  31.08050847],0
p4,1,0.078279,3.100273,[23 49] ; [72 91],[29.10638298 42.89361702] ; [65.89361702 97.10638298],0
n5,1,0.084107,2.9837,[43 30] ; [114  48],[48.77021277 24.22978723] ; [108.22978723  53.77021277],0
r2,1,0.10505,2.627152,[63  9] ; [151  10],[66.12875536  5.87124464] ; [147.87124464  13.12875536],0
p8,1,0.112304,2.521499,[22 50] ; [66 93],[27.42857143 44.57142857] ; [60.57142857 98.42857143],0
p12,1,0.115904,2.471819,[ 1 71] ; [ 10 155],[ 3.34177215 68.65822785] ; [  7.65822785 157.34177215],0
s8,1,0.1343,2.242084,[24 50] ; [70 94],[29.22689076 44.77310924] ; [64.77310924 99.22689076],0
n2,1,0.138682,2.192521,[13  9] ; [33 10],[15.56923077  6.43076923] ; [30.43076923 12.56923077],0
d3,1,0.145493,2.118881,[49 25] ; [125  41],[53.65 20.35] ; [120.35  45.65],0
s4,1,0.156639,2.006374,[15 58] ; [ 22 143],[11.3487395 61.6512605] ; [ 25.6512605 139.3487395],0
p5,1,0.183434,1.769577,[ 5 69] ; [  5 160],[ 3.09623431 70.90376569] ; [  6.90376569 158.09623431],0
b2,1,0.183605,1.768198,[ 9 31] ; [33 64],[12.26277372 27.73722628] ; [29.73722628 67.26277372],0
b3,1,0.183605,1.768198,[ 9 31] ; [33 64],[12.26277372 27.73722628] ; [29.73722628 67.26277372],0
v4,1,0.196887,1.665315,[65  8] ; [153  10],[67.43220339  5.56779661] ; [150.56779661  12.43220339],0
s2,1,0.262579,1.255109,[33 41] ; [86 78],[37. 37.] ; [82. 82.],0
p2,1,0.272456,1.204339,[54 20] ; [131  34],[57.28033473 16.71966527] ; [127.71966527  37.28033473],0
n1,1,0.292404,1.108519,[ 4 19] ; [12 29],[ 5.75 17.25] ; [10.25 30.75],0
