Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1.1e-05,19.271238,[12 19] ; [57 12],[21.39  9.61] ; [47.61 21.39],1
d2,1,0.000822,11.191496,[ 4 27] ; [33 36],[11.47 19.53] ; [25.53 43.47],1
n6,1,0.004064,8.255029,[13 18] ; [49 19],[19.41414141 11.58585859] ; [42.58585859 25.41414141],0
u2,1,0.005368,7.751196,[15  3] ; [4 8],[11.4  6.6] ; [7.6 4.4],0
n2,1,0.018518,5.546465,[6 5] ; [24  3],[8.68421053 2.31578947] ; [21.31578947  5.68421053],0
a4,1,0.027866,4.836368,[ 8 23] ; [34 35],[13.02 17.98] ; [28.98 40.02],0
r3,1,0.031147,4.644827,[24  6] ; [65  4],[26.96969697  3.03030303] ; [62.03030303  6.96969697],0
d1,1,0.034687,4.460508,[10 21] ; [38 31],[14.88 16.12] ; [33.12 35.88],0
r4,1,0.039968,4.219261,[21 10] ; [59 10],[24.8  6.2] ; [55.2 13.8],0
s8,1,0.054246,3.70512,[ 7 24] ; [29 39],[11.27272727 19.72727273] ; [24.72727273 43.27272727],0
a6,1,0.059935,3.539191,[16 15] ; [49 20],[20.15 10.85] ; [44.85 24.15],0
p8,1,0.06594,3.381311,[ 9 21] ; [34 34],[13.16326531 16.83673469] ; [29.83673469 38.16326531],0
u1,1,0.070326,3.275391,[ 1 30] ; [11 58],[ 3.72 27.28] ; [ 8.28 60.72],0
p3,1,0.106422,2.60656,[ 9 22] ; [31 36],[12.65306122 18.34693878] ; [27.34693878 39.65306122],0
u3,1,0.108753,2.572249,[16  3] ; [7 5],[14.09677419  4.90322581] ; [8.90322581 3.09677419],0
d5,1,0.147271,2.100288,[20 11] ; [54 15],[22.94  8.06] ; [51.06 17.94],0
d3,1,0.153305,2.039055,[17 14] ; [48 21],[20.15 10.85] ; [44.85 24.15],0
p4,1,0.178547,1.809677,[11 20] ; [34 34],[14.09090909 16.90909091] ; [30.90909091 37.09090909],0
p7,1,0.201914,1.628475,[14 16] ; [40 26],[16.875 13.125] ; [37.125 28.875],0
a7,1,0.202685,1.622921,[19 12] ; [51 18],[21.7  9.3] ; [48.3 20.7],0
p11,1,0.202756,1.622408,[18 13] ; [49 20],[20.77 10.23] ; [46.23 22.77],0
s7,1,0.208119,1.584461,[ 9 20] ; [30 37],[11.78125 17.21875] ; [27.21875 39.78125],0
v2,1,0.211016,1.564444,[16 14] ; [44 22],[18.75 11.25] ; [41.25 24.75],0
n5,1,0.211749,1.559428,[10 21] ; [31 37],[12.83838384 18.16161616] ; [28.16161616 39.83838384],0
n1,1,0.24061,1.377014,[4 7] ; [ 5 22],[2.60526316 8.39473684] ; [ 6.39473684 20.60526316],0
b2,1,0.299358,1.077054,[3 8] ; [17 21],[4.48979592 6.51020408] ; [15.51020408 22.48979592],0
b3,1,0.299358,1.077054,[3 8] ; [17 21],[4.48979592 6.51020408] ; [15.51020408 22.48979592],0
p5,1,0.318036,0.997007,[ 3 28] ; [ 3 64],[ 1.89795918 29.10204082] ; [ 4.10204082 62.89795918],0
r1,1,0.338921,0.914508,[21 10] ; [53 16],[22.94  8.06] ; [51.06 17.94],0
b1,1,0.354188,0.858395,[10 21] ; [29 40],[12.09 18.91] ; [26.91 42.09],0
s6,1,0.393666,0.727588,[17 12] ; [46 22],[18.83505155 10.16494845] ; [44.16494845 23.83505155],0
b5,1,0.397161,0.716905,[17 14] ; [44 25],[18.91 12.09] ; [42.09 26.91],0
a1,1,0.401707,0.70321,[ 2 29] ; [ 2 67],[ 1.24 29.76] ; [ 2.76 66.24],0
s4,1,0.422794,0.642535,[ 5 26] ; [16 53],[ 6.51 24.49] ; [14.49 54.51],0
n3,1,0.435064,0.609267,[8 3] ; [16 11],[6.94736842 4.05263158] ; [17.05263158  9.94736842],0
s3,1,0.560361,0.33908,[17 14] ; [33 35],[15.65656566 15.34343434] ; [34.34343434 33.65656566],0
v3,1,0.59085,0.289019,[12 18] ; [23 44],[10.82474227 19.17525773] ; [24.17525773 42.82474227],0
p12,1,0.597127,0.279351,[ 1 29] ; [ 4 64],[ 1.53061224 28.46938776] ; [ 3.46938776 64.53061224],0
p6,1,0.659794,0.193774,[ 8 20] ; [16 50],[ 7.14893617 20.85106383] ; [16.85106383 49.14893617],0
s5,1,0.675173,0.175611,[ 9 21] ; [23 44],[ 9.89690722 20.10309278] ; [22.10309278 44.89690722],0
b4,1,0.686652,0.162734,[18 13] ; [43 26],[18.91 12.09] ; [42.09 26.91],0
r2,1,0.701649,0.146762,[27  4] ; [61  7],[27.55555556  3.44444444] ; [60.44444444  7.55555556],0
s1,1,0.81375,0.055503,[ 1 29] ; [ 3 66],[ 1.21212121 28.78787879] ; [ 2.78787879 66.21212121],0
v4,1,0.871107,0.026326,[29  2] ; [63  5],[28.80808081  2.19191919] ; [63.19191919  4.80808081],0
d4,1,0.876494,0.024154,[26  5] ; [57 12],[25.73  5.27] ; [57.27 11.73],0
p1,1,0.890983,0.018786,[ 3 28] ; [ 6 62],[ 2.81818182 28.18181818] ; [ 6.18181818 61.81818182],0
p9,1,0.897061,0.016738,[24  5] ; [57 11],[24.21649485  4.78350515] ; [56.78350515 11.21649485],0
p2,1,0.94448,0.00485,[23  8] ; [50 18],[22.85858586  8.14141414] ; [50.14141414 17.85858586],0
p10,1,0.948563,0.004162,[22  7] ; [52 16],[22.12371134  6.87628866] ; [51.87628866 16.12371134],0
s2,1,0.958581,0.002697,[15 16] ; [33 36],[14.88 16.12] ; [33.12 35.88],0
