Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.711266,[179  48] ; [17 24],[166.01492537  60.98507463] ; [29.98507463 11.01492537],1
s2,1,1e-06,23.29741,[174  54] ; [16 25],[161.04089219  66.95910781] ; [28.95910781 12.04089219],1
s7,1,8.7e-05,15.397568,[182  38] ; [22 18],[172.61538462  47.38461538] ; [31.38461538  8.61538462],1
s5,1,0.00148,10.103801,[118 105] ; [11 31],[108.55471698 114.44528302] ; [20.44528302 21.55471698],0
s4,1,0.006273,7.470076,[ 53 175] ; [ 2 40],[ 46.44444444 181.55555556] ; [ 8.55555556 33.44444444],0
v3,1,0.023273,5.148017,[102 122] ; [26 14],[108.60606061 115.39393939] ; [19.39393939 20.60606061],0
p10,1,0.029672,4.728171,[211  15] ; [35  7],[207.44776119  18.55223881] ; [38.55223881  3.44776119],0
b3,1,0.071668,3.24439,[65 85] ; [20 13],[69.67213115 80.32786885] ; [15.32786885 17.67213115],0
b2,1,0.071668,3.24439,[65 85] ; [20 13],[69.67213115 80.32786885] ; [15.32786885 17.67213115],0
v2,1,0.074257,3.186323,[136  87] ; [31 10],[141.06439394  81.93560606] ; [25.93560606 15.06439394],0
p11,1,0.076689,3.133701,[195  34] ; [40  2],[198.57933579  30.42066421] ; [36.42066421  5.57933579],0
u1,1,0.091893,2.840901,[ 54 175] ; [ 5 37],[ 49.85608856 179.14391144] ; [ 9.14391144 32.85608856],0
p6,1,0.120157,2.41528,[130  98] ; [18 23],[125.44237918 102.55762082] ; [22.55762082 18.44237918],0
d5,1,0.128655,2.308662,[195  33] ; [32 10],[191.68888889  36.31111111] ; [35.31111111  6.68888889],0
r1,1,0.164928,1.928449,[197  30] ; [33  9],[194.08921933  32.91078067] ; [35.91078067  6.08921933],0
p9,1,0.225862,1.466729,[213  15] ; [37  5],[211.11111111  16.88888889] ; [38.88888889  3.11111111],0
a2,1,0.251535,1.314755,[ 63 166] ; [ 8 34],[ 59.99630996 169.00369004] ; [11.00369004 30.99630996],0
p5,1,0.25309,1.306164,[ 45 183] ; [ 5 36],[ 42.37918216 185.62081784] ; [ 7.62081784 33.37918216],0
d4,1,0.25312,1.306002,[195  33] ; [33  9],[192.53333333  35.46666667] ; [35.46666667  6.53333333],0
u2,1,0.269024,1.221718,[31 17] ; [3 4],[29.67272727 18.32727273] ; [4.32727273 2.67272727],0
