Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,236.611984,[243  35] ; [ 72 231],[150.72289157 127.27710843] ; [164.27710843 138.72289157],1
s7,1,0.0,118.569026,[200  69] ; [ 80 205],[135.9566787 133.0433213] ; [144.0433213 140.9566787],1
s6,1,0.0,104.761987,[238  40] ; [135 166],[179.09153713  98.90846287] ; [193.90846287 107.09153713],1
s8,1,0.0,97.23553,[184  96] ; [ 76 227],[124.87135506 155.12864494] ; [135.12864494 167.87135506],1
s5,1,0.0,46.304423,[120 152] ; [ 54 247],[ 82.59685864 189.40314136] ; [ 91.40314136 209.59685864],1
d4,1,4e-06,21.50041,[244  34] ; [219  84],[221.53872633  56.46127367] ; [241.46127367  61.53872633],1
p6,1,6e-05,16.114635,[125 152] ; [ 87 213],[101.77469671 175.22530329] ; [110.22530329 189.77469671],1
d1,1,9.9e-05,15.149452,[188  94] ; [155 150],[164.7802385 117.2197615] ; [178.2197615 126.7802385],1
r3,1,0.000182,14.006237,[272  10] ; [267  36],[259.82564103  22.17435897] ; [279.17435897  23.82564103],1
a3,1,0.000284,13.173649,[223  57] ; [200 102],[203.50515464  76.49484536] ; [219.49484536  82.50515464],1
r1,1,0.000311,13.005742,[240  41] ; [222  81],[222.29794521  58.70205479] ; [239.70205479  63.29794521],1
p4,1,0.000367,12.694746,[190  89] ; [162 140],[169.03270224 109.96729776] ; [182.96729776 119.03270224],1
p10,1,0.000454,12.296824,[248  32] ; [232  67],[232.12435233  47.87564767] ; [247.87564767  51.12435233],1
v3,1,0.000656,11.608822,[140 128] ; [114 186],[119.84507042 148.15492958] ; [134.15492958 165.84507042],1
u4,1,0.000762,11.331064,[ 15 267] ; [  2 303],[  8.1669506 273.8330494] ; [  8.8330494 296.1669506],1
r4,1,0.000896,11.03058,[261  21] ; [255  50],[247.89097104  34.10902896] ; [268.10902896  36.89097104],1
v2,1,0.001346,10.278449,[175  96] ; [149 142],[156.23487544 114.76512456] ; [167.76512456 123.23487544],0
p12,1,0.001528,10.0449,[ 36 244] ; [ 16 284],[ 25.10344828 254.89655172] ; [ 26.89655172 273.10344828],0
p9,1,0.001577,9.986794,[250  28] ; [240  58],[236.49305556  41.50694444] ; [253.50694444  44.49305556],0
v1,1,0.002092,9.467237,[173  99] ; [152 147],[154.81611208 117.18388792] ; [170.18388792 128.81611208],0
r2,1,0.004034,8.26828,[271   9] ; [274  27],[262.65060241  17.34939759] ; [282.34939759  18.65060241],0
v4,1,0.004829,7.942293,[270  11] ; [274  30],[261.30598291  19.69401709] ; [282.69401709  21.30598291],0
d3,1,0.009067,6.809583,[195  84] ; [181 123],[179.93825043  99.06174957] ; [196.06174957 107.93825043],0
p2,1,0.011535,6.381047,[239  41] ; [233  69],[227.0790378  52.9209622] ; [244.9209622  57.0790378],0
p3,1,0.01268,6.213223,[155 124] ; [137 166],[139.97938144 139.02061856] ; [152.02061856 150.97938144],0
a6,1,0.014061,6.03044,[176 102] ; [222  83],[189.7838765  88.2161235] ; [208.2161235  96.7838765],0
p7,1,0.016856,5.711338,[186  86] ; [175 123],[172.26666667  99.73333333] ; [188.73333333 109.26666667],0
u1,1,0.023368,5.140968,[ 62 220] ; [ 45 260],[ 51.40374787 230.59625213] ; [ 55.59625213 249.40374787],0
u3,1,0.02891,4.772962,[38 21] ; [49 56],[31.29878049 27.70121951] ; [55.70121951 49.29878049],0
n6,1,0.029008,4.767164,[255  25] ; [259  45],[246.43835616  33.56164384] ; [267.56164384  36.43835616],0
n4,1,0.037693,4.318818,[259  22] ; [265  40],[251.26962457  29.73037543] ; [272.73037543  32.26962457],0
a8,1,0.048274,3.900405,[ 54 204] ; [ 39 232],[ 45.35727788 212.64272212] ; [ 47.64272212 223.35727788],0
d2,1,0.085924,2.949118,[152 127] ; [143 159],[141.66092943 137.33907057] ; [153.33907057 148.66092943],0
p11,1,0.104235,2.639518,[230  52] ; [232  73],[221.94889267  60.05110733] ; [240.05110733  64.94889267],0
s1,1,0.10585,2.615112,[ 12 265] ; [  6 295],[  8.62629758 268.37370242] ; [  9.37370242 291.62629758],0
b3,1,0.119945,2.41804,[ 88 102] ; [ 71 114],[ 80.56 109.44] ; [ 78.44 106.56],0
b2,1,0.119945,2.41804,[ 88 102] ; [ 71 114],[ 80.56 109.44] ; [ 78.44 106.56],0
d5,1,0.1235,2.372367,[231  48] ; [237  68],[223.58219178  55.41780822] ; [244.41780822  60.58219178],0
n2,1,0.127241,2.325843,[43 10] ; [54 24],[39.24427481 13.75572519] ; [57.75572519 20.24427481],0
a2,1,0.133047,2.256591,[ 78 204] ; [ 68 237],[ 70.13969336 211.86030664] ; [ 75.86030664 229.13969336],0
p5,1,0.133958,2.246025,[ 45 232] ; [ 36 266],[ 38.75129534 238.24870466] ; [ 42.24870466 259.75129534],0
a5,1,0.157222,2.000747,[217  64] ; [220  85],[209.55119454  71.44880546] ; [227.44880546  77.55119454],0
u2,1,0.157696,1.99618,[36 23] ; [51 52],[31.68518519 27.31481481] ; [55.31481481 47.68518519],0
a7,1,0.159938,1.97481,[202  78] ; [203 101],[194.17808219  85.82191781] ; [210.82191781  93.17808219],0
a4,1,0.273909,1.197064,[135 146] ; [131 170],[128.42955326 152.57044674] ; [137.57044674 163.42955326],0
p8,1,0.340215,0.909622,[151 127] ; [149 147],[145.29616725 132.70383275] ; [154.70383275 141.29616725],0
p1,1,0.439583,0.59737,[ 30 249] ; [ 27 278],[ 27.23116438 251.76883562] ; [ 29.76883562 275.23116438],0
n1,1,0.464832,0.534234,[27 25] ; [34 41],[24.97637795 27.02362205] ; [36.02362205 38.97637795],0
b1,1,0.530099,0.394202,[120 162] ; [122 183],[116.25894378 165.74105622] ; [125.74105622 179.25894378],0
a1,1,0.55571,0.347186,[ 18 264] ; [ 16 289],[ 16.33390119 265.66609881] ; [ 17.66609881 287.33390119],0
b5,1,0.699366,0.149133,[169 113] ; [178 127],[166.70187394 115.29812606] ; [180.29812606 124.70187394],0
b4,1,0.843306,0.039072,[165 117] ; [176 129],[163.81942078 118.18057922] ; [177.18057922 127.81942078],0
n3,1,1.0,0.0,[36 18] ; [50 25],[36. 18.] ; [50. 25.],0
