Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,47.376623,[ 20 380] ; [18 38],[ 33.33333333 366.66666667] ; [ 4.66666667 51.33333333],1
p12,1,0.0,28.807156,[ 29 370] ; [17 39],[ 40.33846154 358.66153846] ; [ 5.66153846 50.33846154],1
s5,1,3e-06,21.76126,[133 258] ; [34 16],[148.06575964 242.93424036] ; [18.93424036 31.06575964],1
p8,1,1.4e-05,18.807909,[211 185] ; [47  9],[226.03539823 169.96460177] ; [31.96460177 24.03539823],1
p3,1,2.3e-05,17.926349,[199 202] ; [44 11],[213.69078947 187.30921053] ; [29.30921053 25.69078947],1
p4,1,9.8e-05,15.17416,[250 150] ; [49  6],[262.85714286 137.14285714] ; [36.14285714 18.85714286],1
s7,1,0.000159,14.259213,[194 186] ; [43 12],[207.03448276 172.96551724] ; [29.96551724 25.03448276],1
a1,1,0.000397,12.544963,[ 14 388] ; [ 8 48],[ 19.31004367 382.68995633] ; [ 2.68995633 53.31004367],1
p6,1,0.000915,10.991834,[146 252] ; [33 22],[157.26710817 240.73289183] ; [21.73289183 33.26710817],1
v3,1,0.002619,9.055538,[158 225] ; [34 20],[168.27459954 214.72540046] ; [23.72540046 30.27459954],0
n5,1,0.002856,8.897353,[300 100] ; [52  4],[308.77192982  91.22807018] ; [43.22807018 12.77192982],0
v1,1,0.002938,8.845522,[215 179] ; [41 13],[225.14285714 168.85714286] ; [30.85714286 23.14285714],0
r3,1,0.005878,7.587437,[391   9] ; [50  5],[387.69230769  12.30769231] ; [53.30769231  1.69230769],0
s8,1,0.006052,7.534832,[194 205] ; [37 17],[203.46357616 195.53642384] ; [27.53642384 26.46357616],0
n3,1,0.00822,6.98482,[63 21] ; [4 7],[59.24210526 24.75789474] ; [7.75789474 3.24210526],0
u4,1,0.011176,6.437132,[ 10 392] ; [ 5 51],[ 13.16593886 388.83406114] ; [ 1.83406114 54.16593886],0
b5,1,0.014355,5.993985,[255 147] ; [26 30],[246.6419214 155.3580786] ; [34.3580786 21.6419214],0
