Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,9.9e-05,15.154182,[26 56] ; [41 23],[37.63013699 44.36986301] ; [29.36986301 34.63013699],1
r1,1,0.000283,13.182526,[41 43] ; [50 14],[51.64864865 32.35135135] ; [39.35135135 24.64864865],1
a4,1,0.00105,10.73727,[ 9 74] ; [21 43],[16.93877551 66.06122449] ; [13.06122449 50.93877551],0
a6,1,0.001349,10.273648,[36 48] ; [45 20],[45.66442953 38.33557047] ; [35.33557047 29.66442953],0
p4,1,0.001411,10.190719,[19 63] ; [31 33],[28.08219178 53.91780822] ; [21.91780822 42.08219178],0
a7,1,0.001449,10.141777,[37 47] ; [45 19],[46.54054054 37.45945946] ; [35.45945946 28.54054054],0
p8,1,0.005625,7.666765,[23 60] ; [32 32],[31.05442177 51.94557823] ; [23.94557823 40.05442177],0
r4,1,0.00604,7.538218,[51 33] ; [53 12],[58.63087248 25.36912752] ; [45.36912752 19.63087248],0
v2,1,0.008391,6.948126,[20 58] ; [30 34],[27.46478873 50.53521127] ; [22.53521127 41.46478873],0
s7,1,0.010944,6.474442,[10 71] ; [18 43],[15.97183099 65.02816901] ; [12.02816901 48.97183099],0
p10,1,0.01619,5.782174,[41 41] ; [44 19],[48.06896552 33.93103448] ; [36.93103448 26.06896552],0
v3,1,0.030062,4.705721,[18 65] ; [24 39],[23.87671233 59.12328767] ; [18.12328767 44.87671233],0
n4,1,0.040961,4.177646,[46 37] ; [46 18],[51.94557823 31.05442177] ; [40.05442177 23.94557823],0
p3,1,0.053383,3.731881,[20 64] ; [25 40],[25.36912752 58.63087248] ; [19.63087248 45.36912752],0
v1,1,0.09657,2.761297,[27 56] ; [29 34],[31.83561644 51.16438356] ; [24.16438356 38.83561644],0
b2,1,0.106997,2.598032,[12 37] ; [14 20],[15.34939759 33.65060241] ; [10.65060241 23.34939759],0
b3,1,0.106997,2.598032,[12 37] ; [14 20],[15.34939759 33.65060241] ; [10.65060241 23.34939759],0
d3,1,0.111453,2.533497,[28 56] ; [30 35],[32.69798658 51.30201342] ; [25.30201342 39.69798658],0
n6,1,0.121183,2.401961,[54 30] ; [48 15],[58.28571429 25.71428571] ; [43.71428571 19.28571429],0
p12,1,0.127234,2.325932,[ 2 81] ; [ 5 59],[ 3.95238095 79.04761905] ; [ 3.04761905 60.95238095],0
p9,1,0.127505,2.322627,[49 33] ; [46 18],[53.35616438 28.64383562] ; [41.64383562 22.35616438],0
n2,1,0.141019,2.166801,[21 10] ; [14  2],[23.08510638  7.91489362] ; [11.91489362  4.08510638],0
v4,1,0.147802,2.094789,[65 18] ; [56  8],[68.31972789 14.68027211] ; [52.68027211 11.31972789],0
p7,1,0.156084,2.011765,[42 38] ; [26 38],[37.77777778 42.22222222] ; [30.22222222 33.77777778],0
u3,1,0.196456,1.668523,[22 35] ; [13 11],[24.62962963 32.37037037] ; [10.37037037 13.62962963],0
r3,1,0.202907,1.621324,[65 19] ; [54  9],[68. 16.] ; [51. 12.],0
u2,1,0.218877,1.511716,[22 34] ; [13 11],[24.5 31.5] ; [10.5 13.5],0
d2,1,0.221329,1.495733,[15 69] ; [17 48],[18.04026846 65.95973154] ; [13.95973154 51.04026846],0
s5,1,0.228964,1.447283,[13 69] ; [15 48],[15.83448276 66.16551724] ; [12.16551724 50.83448276],0
n5,1,0.240329,1.378661,[50 32] ; [45 19],[53.35616438 28.64383562] ; [41.64383562 22.35616438],0
p5,1,0.27102,1.211579,[ 5 79] ; [ 7 57],[ 6.81081081 77.18918919] ; [ 5.18918919 58.81081081],0
a1,1,0.279638,1.168849,[ 4 80] ; [ 6 59],[ 5.63758389 78.36241611] ; [ 4.36241611 60.63758389],0
b1,1,0.303931,1.056866,[33 51] ; [31 34],[36.08053691 47.91946309] ; [27.91946309 37.08053691],0
r2,1,0.328037,0.956633,[67 17] ; [55  9],[69.24324324 14.75675676] ; [52.75675676 11.24324324],0
b4,1,0.329914,0.949234,[45 39] ; [40 25],[47.91946309 36.08053691] ; [37.08053691 27.91946309],0
s6,1,0.340981,0.906739,[32 50] ; [30 34],[34.82191781 47.17808219] ; [27.17808219 36.82191781],0
p6,1,0.345631,0.889432,[17 64] ; [18 47],[19.41780822 61.58219178] ; [15.58219178 49.41780822],0
s2,1,0.350088,0.873138,[23 60] ; [22 41],[25.58219178 57.41780822] ; [19.41780822 43.58219178],0
p11,1,0.352165,0.865642,[52 32] ; [45 20],[54.68456376 29.31543624] ; [42.31543624 22.68456376],0
a8,1,0.364426,0.822582,[ 6 74] ; [ 7 51],[ 7.53623188 72.46376812] ; [ 5.46376812 52.53623188],0
s4,1,0.371822,0.797568,[12 71] ; [13 52],[14.02027027 68.97972973] ; [10.97972973 54.02027027],0
p1,1,0.423958,0.639318,[ 7 77] ; [ 8 57],[ 8.45637584 75.54362416] ; [ 6.54362416 58.45637584],0
d1,1,0.460033,0.545815,[ 3 81] ; [ 4 61],[ 3.94630872 80.05369128] ; [ 3.05369128 61.94630872],0
b5,1,0.583877,0.300008,[49 35] ; [35 30],[47.3557047 36.6442953] ; [36.6442953 28.3557047],0
p2,1,0.625851,0.237729,[51 33] ; [42 23],[52.4295302 31.5704698] ; [40.5704698 24.4295302],0
s1,1,0.645692,0.211374,[ 5 77] ; [ 5 57],[ 5.69444444 76.30555556] ; [ 4.30555556 57.69444444],0
d4,1,0.676738,0.173822,[38 45] ; [32 33],[39.25675676 43.74324324] ; [30.74324324 34.25675676],0
u1,1,0.794358,0.067941,[ 2 82] ; [ 2 63],[ 2.25503356 81.74496644] ; [ 1.74496644 63.25503356],0
n1,1,0.885848,0.020609,[11 20] ; [ 5 10],[10.7826087 20.2173913] ; [5.2173913 9.7826087],0
n3,1,0.885848,0.020609,[20 11] ; [10  5],[20.2173913 10.7826087] ; [9.7826087 5.2173913],0
s3,1,1.0,0.0,[35 45] ; [28 36],[35. 45.] ; [28. 36.],0
