Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,58.787928,[ 24 108] ; [69 33],[52.46153846 79.53846154] ; [40.53846154 61.46153846],1
s3,1,0.0,46.990398,[41 86] ; [80 23],[66.81304348 60.18695652] ; [54.18695652 48.81304348],1
s2,1,0.0,39.631154,[34 96] ; [70 34],[57.77777778 72.22222222] ; [46.22222222 57.77777778],1
s6,1,0.0,37.863101,[60 68] ; [87 14],[82.16593886 45.83406114] ; [64.83406114 36.16593886],1
a3,1,1e-06,23.269559,[69 62] ; [86 18],[86.40425532 44.59574468] ; [68.59574468 35.40425532],1
p2,1,0.000886,11.052321,[109  21] ; [101   3],[116.66666667  13.33333333] ; [93.33333333 10.66666667],1
s5,1,0.001111,10.632211,[ 26 101] ; [41 61],[37.15720524 89.84279476] ; [29.84279476 72.15720524],0
p10,1,0.002461,9.169015,[103  27] ; [97  7],[111.11111111  18.88888889] ; [88.88888889 15.11111111],0
u1,1,0.008244,6.979646,[ 11 121] ; [21 83],[ 17.89830508 114.10169492] ; [14.10169492 89.89830508],0
n4,1,0.008461,6.933286,[87 44] ; [85 19],[95.88085106 35.11914894] ; [76.11914894 27.88085106],0
s4,1,0.01469,5.953322,[ 10 120] ; [19 85],[ 16.11111111 113.88888889] ; [12.88888889 91.11111111],0
a2,1,0.025938,4.960144,[ 19 113] ; [27 77],[ 25.72881356 106.27118644] ; [20.27118644 83.72881356],0
n5,1,0.039062,4.25816,[87 44] ; [81 22],[94.05128205 36.94871795] ; [73.94871795 29.05128205],0
n2,1,0.066206,3.374657,[15  8] ; [17  2],[17.52380952  5.47619048] ; [14.47619048  4.52380952],0
v3,1,0.067982,3.331091,[43 81] ; [48 55],[49.7092511 74.2907489] ; [41.2907489 61.7092511],0
r1,1,0.07045,3.272505,[101  30] ; [89 14],[106.36752137  24.63247863] ; [83.63247863 19.36752137],0
p9,1,0.119024,2.430114,[106  23] ; [93 11],[110.17596567  18.82403433] ; [88.82403433 15.17596567],0
v4,1,0.12134,2.399933,[123   8] ; [100   2],[125.3776824   5.6223176] ; [97.6223176  4.3776824],0
n6,1,0.121837,2.393543,[106  25] ; [91 12],[110.28632479  20.71367521] ; [86.71367521 16.28632479],0
a5,1,0.13003,2.292152,[94 38] ; [83 21],[99. 33.] ; [78. 26.],0
p7,1,0.154852,2.023794,[87 41] ; [78 24],[91.82608696 36.17391304] ; [73.17391304 28.82608696],0
a8,1,0.159003,1.983685,[ 12 105] ; [16 79],[ 15.45283019 101.54716981] ; [12.54716981 82.45283019],0
d1,1,0.164308,1.934127,[68 64] ; [63 41],[73.27118644 58.72881356] ; [57.72881356 46.27118644],0
s1,1,0.165379,1.924342,[  5 125] ; [  1 103],[  3.33333333 126.66666667] ; [  2.66666667 101.33333333],0
a4,1,0.167688,1.903494,[42 89] ; [42 61],[47.02564103 83.97435897] ; [36.97435897 66.02564103],0
v1,1,0.186864,1.742171,[61 67] ; [57 44],[65.95633188 62.04366812] ; [52.04366812 48.95633188],0
p4,1,0.199796,1.643868,[73 57] ; [67 37],[77.77777778 52.22222222] ; [62.22222222 41.77777778],0
p5,1,0.212401,1.554986,[ 10 121] ; [13 91],[ 12.8212766 118.1787234] ; [10.1787234 93.8212766],0
b5,1,0.222915,1.485503,[79 53] ; [54 50],[74.38983051 57.61016949] ; [58.61016949 45.38983051],0
r3,1,0.22853,1.449985,[122  10] ; [100   4],[124.16949153   7.83050847] ; [97.83050847  6.16949153],0
u2,1,0.233148,1.421551,[32 31] ; [12  6],[34.22222222 28.77777778] ; [9.77777778 8.22222222],0
v2,1,0.267301,1.230546,[67 57] ; [62 39],[71.09333333 52.90666667] ; [57.90666667 43.09333333],0
p11,1,0.288394,1.127102,[106  26] ; [89 15],[109.06779661  22.93220339] ; [85.93220339 18.06779661],0
r4,1,0.303403,1.059176,[115  17] ; [95  9],[117.45762712  14.54237288] ; [92.54237288 11.45762712],0
d4,1,0.30447,1.054512,[102  30] ; [86 18],[105.15254237  26.84745763] ; [82.84745763 21.15254237],0
