Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,7e-06,20.089286,[3 7] ; [33  2],[8. 2.] ; [28.  7.],1
v4,1,0.00011,14.958791,[5 5] ; [34  1],[8.66666667 1.33333333] ; [30.33333333  4.66666667],1
p2,1,0.002394,9.219639,[2 7] ; [26  8],[5.86046512 3.13953488] ; [22.13953488 11.86046512],0
a5,1,0.016585,5.739796,[5 5] ; [30  5],[7.77777778 2.22222222] ; [27.22222222  7.77777778],0
p8,1,0.016643,5.733639,[1 8] ; [19 15],[4.18604651 4.81395349] ; [15.81395349 18.18604651],0
v2,1,0.019301,5.474064,[4 6] ; [26  7],[6.97674419 3.02325581] ; [23.02325581  9.97674419],0
p4,1,0.024641,5.048962,[1 8] ; [18 16],[3.97674419 5.02325581] ; [15.02325581 18.97674419],0
n2,1,0.030383,4.6875,[1 3] ; [7 1],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
p10,1,0.039776,4.227397,[3 6] ; [24 10],[5.65116279 3.34883721] ; [21.34883721 12.65116279],0
p3,1,0.049838,3.846893,[1 8] ; [16 18],[3.55813953 5.44186047] ; [13.44186047 20.55813953],0
a1,1,0.055285,3.673469,[2 8] ; [ 1 34],[0.66666667 9.33333333] ; [ 2.33333333 32.66666667],0
s1,1,0.059929,3.539359,[2 8] ; [ 1 33],[0.68181818 9.31818182] ; [ 2.31818182 31.68181818],0
p11,1,0.065168,3.400714,[3 7] ; [22 13],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
p7,1,0.065914,3.381961,[2 8] ; [18 16],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
d2,1,0.067089,3.352833,[6 4] ; [10 25],[3.55555556 6.44444444] ; [12.44444444 22.55555556],0
s8,1,0.075927,3.15,[1 9] ; [14 21],[3.33333333 6.66666667] ; [11.66666667 23.33333333],0
s2,1,0.106684,2.60266,[2 8] ; [17 18],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
d4,1,0.194329,1.684492,[6 4] ; [28  7],[7.55555556 2.44444444] ; [26.44444444  8.55555556],0
s3,1,0.201688,1.630106,[3 7] ; [18 16],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
s6,1,0.230958,1.434949,[3 7] ; [18 17],[4.66666667 5.33333333] ; [16.33333333 18.66666667],0
b4,1,0.279253,1.17072,[5 5] ; [24 11],[6.44444444 3.55555556] ; [22.55555556 12.44444444],0
v1,1,0.297264,1.086429,[7 3] ; [18 17],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
p1,1,0.310494,1.028571,[2 8] ; [ 3 32],[1.11111111 8.88888889] ; [ 3.88888889 31.11111111],0
r2,1,0.310494,1.028571,[8 2] ; [32  3],[8.88888889 1.11111111] ; [31.11111111  3.88888889],0
a2,1,0.310494,1.028571,[2 8] ; [ 3 32],[1.11111111 8.88888889] ; [ 3.88888889 31.11111111],0
u3,1,0.37472,0.787953,[1 2] ; [8 5],[1.6875 1.3125] ; [7.3125 5.6875],0
n3,1,0.386476,0.75,[2 2] ; [6 2],[2.66666667 1.33333333] ; [5.33333333 2.66666667],0
b5,1,0.425442,0.635234,[4 6] ; [19 16],[5.11111111 4.88888889] ; [17.88888889 17.11111111],0
b1,1,0.523726,0.40655,[6 4] ; [17 18],[5.11111111 4.88888889] ; [17.88888889 17.11111111],0
s5,1,0.561119,0.33777,[1 9] ; [ 6 28],[1.59090909 8.40909091] ; [ 5.40909091 28.59090909],0
a6,1,0.56514,0.330882,[7 3] ; [21 14],[6.22222222 3.77777778] ; [21.77777778 13.22222222],0
a3,1,0.56514,0.330882,[7 3] ; [21 14],[6.22222222 3.77777778] ; [21.77777778 13.22222222],0
n5,1,0.572314,0.318826,[5 5] ; [14 21],[4.22222222 5.77777778] ; [14.77777778 20.22222222],0
d5,1,0.588809,0.292208,[8 2] ; [25 10],[7.33333333 2.66666667] ; [25.66666667  9.33333333],0
b2,1,0.599275,0.276091,[2 3] ; [ 5 13],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
b3,1,0.599275,0.276091,[2 3] ; [ 5 13],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
u2,1,0.659118,0.194597,[2 1] ; [11  3],[2.29411765 0.70588235] ; [10.70588235  3.29411765],0
d3,1,0.677298,0.173183,[7 3] ; [22 13],[6.44444444 3.55555556] ; [22.55555556 12.44444444],0
s4,1,0.725134,0.123626,[1 9] ; [ 5 30],[1.33333333 8.66666667] ; [ 4.66666667 30.33333333],0
d1,1,0.810657,0.057398,[5 5] ; [16 19],[4.66666667 5.33333333] ; [16.33333333 18.66666667],0
a4,1,0.869456,0.027011,[4 6] ; [13 22],[3.77777778 6.22222222] ; [13.22222222 21.77777778],0
n4,1,0.871835,0.026027,[6 4] ; [20 15],[5.77777778 4.22222222] ; [20.22222222 14.77777778],0
p9,1,0.888322,0.01972,[7 3] ; [23 11],[6.81818182 3.18181818] ; [23.18181818 10.81818182],0
n1,1,0.898195,0.016369,[1 3] ; [2 5],[1.09090909 2.90909091] ; [1.90909091 5.09090909],0
s7,1,0.905546,0.01408,[3 6] ; [10 22],[2.85365854 6.14634146] ; [10.14634146 21.85365854],0
a7,1,0.931419,0.007406,[7 3] ; [24 11],[6.88888889 3.11111111] ; [24.11111111 10.88888889],0
