Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.011045,6.458136,[15 13] ; [ 1 10],[11.48717949 16.51282051] ; [4.51282051 6.48717949],0
d2,1,0.012284,6.26936,[17 10] ; [2 9],[13.5 13.5] ; [5.5 5.5],0
d5,1,0.021953,5.249526,[23  5] ; [5 6],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
s4,1,0.022848,5.180047,[ 2 26] ; [4 7],[ 4.30769231 23.69230769] ; [1.69230769 9.30769231],0
p11,1,0.043754,4.066017,[22  6] ; [5 6],[19.38461538  8.61538462] ; [7.61538462 3.38461538],0
b1,1,0.060082,3.535125,[11 17] ; [8 3],[13.64102564 14.35897436] ; [5.35897436 5.64102564],0
a6,1,0.093075,2.820369,[16 12] ; [3 8],[13.64102564 14.35897436] ; [5.35897436 5.64102564],0
v3,1,0.137916,2.201064,[ 9 19] ; [ 1 10],[ 7.17948718 20.82051282] ; [2.82051282 8.17948718],0
d3,1,0.169849,1.884276,[17 11] ; [4 7],[15.07692308 12.92307692] ; [5.92307692 5.07692308],0
a3,1,0.195644,1.674594,[19  9] ; [5 6],[17.23076923 10.76923077] ; [6.76923077 4.23076923],0
r4,1,0.27377,1.197761,[13 15] ; [3 8],[11.48717949 16.51282051] ; [4.51282051 6.48717949],0
s5,1,0.295993,1.092162,[ 7 20] ; [1 9],[ 5.83783784 21.16216216] ; [2.16216216 7.83783784],0
a8,1,0.3208,0.985681,[ 6 20] ; [ 1 10],[ 4.91891892 21.08108108] ; [2.08108108 8.91891892],0
v1,1,0.351055,0.86964,[ 8 19] ; [5 6],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
s2,1,0.351055,0.86964,[ 8 19] ; [5 6],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
p8,1,0.383281,0.760151,[ 9 19] ; [2 9],[ 7.8974359 20.1025641] ; [3.1025641 7.8974359],0
p4,1,0.387145,0.74789,[11 17] ; [6 5],[12.20512821 15.79487179] ; [4.79487179 6.20512821],0
r3,1,0.418796,0.65369,[23  5] ; [7 3],[22.10526316  5.89473684] ; [7.89473684 2.10526316],0
p3,1,0.435484,0.608154,[ 9 19] ; [5 6],[10.05128205 17.94871795] ; [3.94871795 7.05128205],0
u2,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
b4,1,0.477916,0.503616,[21  7] ; [7 4],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
r2,1,0.49478,0.466115,[15 11] ; [5 6],[14.05405405 11.94594595] ; [5.94594595 5.05405405],0
a7,1,0.509966,0.434137,[12 16] ; [6 5],[12.92307692 15.07692308] ; [5.07692308 5.92307692],0
r1,1,0.568403,0.325361,[13 15] ; [4 7],[12.20512821 15.79487179] ; [4.79487179 6.20512821],0
b5,1,0.568403,0.325361,[15 13] ; [7 4],[15.79487179 12.20512821] ; [6.20512821 4.79487179],0
p6,1,0.584191,0.299507,[ 6 22] ; [3 7],[ 6.63157895 21.36842105] ; [2.36842105 7.63157895],0
s8,1,0.614798,0.253247,[10 18] ; [3 8],[ 9.33333333 18.66666667] ; [3.66666667 7.33333333],0
s7,1,0.63591,0.224132,[10 16] ; [3 7],[ 9.38888889 16.61111111] ; [3.61111111 6.38888889],0
n5,1,0.649273,0.206818,[21  7] ; [9 2],[21.53846154  6.46153846] ; [8.46153846 2.53846154],0
n4,1,0.649273,0.206818,[21  7] ; [9 2],[21.53846154  6.46153846] ; [8.46153846 2.53846154],0
p2,1,0.710644,0.137634,[16 12] ; [7 4],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
p7,1,0.724507,0.124215,[11 17] ; [5 6],[11.48717949 16.51282051] ; [4.51282051 6.48717949],0
a5,1,0.724507,0.124215,[17 11] ; [6 5],[16.51282051 11.48717949] ; [6.48717949 4.51282051],0
n3,1,0.746886,0.104167,[5 1] ; [3 1],[4.8 1.2] ; [3.2 0.8],0
v2,1,0.79829,0.065311,[14 14] ; [5 6],[13.64102564 14.35897436] ; [5.35897436 5.64102564],0
n2,1,0.818971,0.052381,[4 3] ; [2 2],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
n1,1,0.818971,0.052381,[3 4] ; [2 2],[3.18181818 3.81818182] ; [1.81818182 2.18181818],0
a2,1,0.837224,0.042208,[ 2 26] ; [ 1 10],[ 2.15384615 25.84615385] ; [ 0.84615385 10.15384615],0
p10,1,0.858273,0.031888,[18  9] ; [7 4],[17.76315789  9.23684211] ; [7.23684211 3.76315789],0
p12,1,0.861443,0.030463,[ 2 25] ; [ 1 10],[ 2.13157895 24.86842105] ; [ 0.86842105 10.13157895],0
s3,1,0.88012,0.022746,[13 14] ; [5 6],[12.78947368 14.21052632] ; [5.21052632 5.78947368],0
p1,1,0.880472,0.022611,[ 3 25] ; [ 1 10],[ 2.87179487 25.12820513] ; [1.12820513 9.87179487],0
u1,1,0.880472,0.022611,[ 3 25] ; [ 1 10],[ 2.87179487 25.12820513] ; [1.12820513 9.87179487],0
a4,1,0.884483,0.021109,[ 8 19] ; [3 8],[ 7.81578947 19.18421053] ; [3.18421053 7.81578947],0
p9,1,0.918904,0.010366,[17  9] ; [7 4],[16.86486486  9.13513514] ; [7.13513514 3.86486486],0
s6,1,0.920276,0.010017,[14 13] ; [5 5],[13.86486486 13.13513514] ; [5.13513514 4.86486486],0
u3,1,1.0,0.0,[3 6] ; [2 4],[3. 6.] ; [2. 4.],0
