Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.021685,5.270881,[ 4 96] ; [2 7],[ 5.50458716 94.49541284] ; [0.49541284 8.50458716],0
n5,1,0.023144,5.15765,[67 34] ; [3 7],[63.69369369 37.30630631] ; [6.30630631 3.69369369],0
v1,1,0.028645,4.788805,[22 76] ; [5 4],[24.72897196 73.27102804] ; [2.27102804 6.72897196],0
s2,1,0.044007,4.056277,[15 86] ; [4 6],[17.28828829 83.71171171] ; [1.71171171 8.28828829],0
p2,1,0.046055,3.9796,[54 45] ; [8 1],[56.83333333 42.16666667] ; [5.16666667 3.83333333],0
p1,1,0.052901,3.747053,[11 90] ; [3 6],[12.85454545 88.14545455] ; [1.14545455 7.85454545],0
d4,1,0.095164,2.784783,[53 48] ; [8 2],[55.5045045 45.4954955] ; [5.4954955 4.5045045],0
u1,1,0.10102,2.689373,[ 6 95] ; [2 8],[ 7.27927928 93.72072072] ; [0.72072072 9.27927928],0
p6,1,0.119706,2.421168,[18 77] ; [4 6],[19.9047619 75.0952381] ; [2.0952381 7.9047619],0
p3,1,0.132572,2.26212,[27 72] ; [5 5],[29.06422018 69.93577982] ; [2.93577982 7.06422018],0
p10,1,0.153633,2.035799,[52 46] ; [7 2],[54.03738318 43.96261682] ; [4.96261682 4.03738318],0
b5,1,0.188866,1.726445,[62 39] ; [4 6],[60.05405405 40.94594595] ; [5.94594595 4.05405405],0
d5,1,0.194422,1.68379,[59 41] ; [8 2],[60.90909091 39.09090909] ; [6.09090909 3.90909091],0
n4,1,0.211697,1.559785,[61 40] ; [4 6],[59.14414414 41.85585586] ; [5.85585586 4.14414414],0
b4,1,0.216122,1.529937,[50 51] ; [7 3],[51.86486486 49.13513514] ; [5.13513514 4.86486486],0
v4,1,0.234844,1.411281,[71 30] ; [8 1],[72.53636364 28.46363636] ; [6.46363636 2.53636364],0
s3,1,0.250153,1.322449,[23 75] ; [4 6],[24.5 73.5] ; [2.5 7.5],0
a7,1,0.276453,1.184447,[52 48] ; [7 3],[53.63636364 46.36363636] ; [5.36363636 4.63636364],0
p11,1,0.288803,1.125192,[53 48] ; [7 3],[54.59459459 46.40540541] ; [5.40540541 4.59459459],0
p4,1,0.291863,1.111008,[33 66] ; [5 5],[34.51376147 64.48623853] ; [3.48623853 6.51376147],0
s7,1,0.303923,1.056899,[16 79] ; [3 7],[17.19047619 77.80952381] ; [1.80952381 8.19047619],0
n6,1,0.338441,0.916327,[65 35] ; [8 2],[66.36363636 33.63636364] ; [6.63636364 3.36363636],0
d2,1,0.347128,0.883929,[35 65] ; [5 5],[36.36363636 63.63636364] ; [3.63636364 6.36363636],0
s8,1,0.392837,0.730143,[11 90] ; [2 8],[11.82882883 89.17117117] ; [1.17117117 8.82882883],0
a4,1,0.425667,0.634615,[28 72] ; [4 6],[29.09090909 70.90909091] ; [2.90909091 7.09090909],0
p8,1,0.446833,0.578672,[31 67] ; [2 8],[29.94444444 68.05555556] ; [3.05555556 6.94444444],0
r3,1,0.469221,0.52381,[69 31] ; [8 2],[70. 30.] ; [7. 3.],0
s1,1,0.500567,0.453734,[ 5 96] ; [1 9],[ 5.45945946 95.54054054] ; [0.54054054 9.45945946],0
r4,1,0.564645,0.331725,[41 60] ; [5 5],[41.85585586 59.14414414] ; [4.14414414 5.85585586],0
v3,1,0.566,0.329422,[19 82] ; [1 8],[18.36363636 82.63636364] ; [1.63636364 7.36363636],0
d1,1,0.592015,0.287208,[32 69] ; [4 6],[32.75675676 68.24324324] ; [3.24324324 6.75675676],0
d3,1,0.600334,0.274493,[41 58] ; [5 5],[41.77981651 57.22018349] ; [4.22018349 5.77981651],0
b1,1,0.6071,0.26442,[49 52] ; [4 6],[48.22522523 52.77477477] ; [4.77477477 5.22522523],0
r2,1,0.607785,0.263412,[71 27] ; [8 2],[71.68518519 26.31481481] ; [7.31481481 2.68518519],0
u3,1,0.66155,0.191646,[14 32] ; [2 3],[14.43137255 31.56862745] ; [1.56862745 3.43137255],0
a6,1,0.692449,0.156447,[54 47] ; [6 4],[54.59459459 46.40540541] ; [5.40540541 4.59459459],0
b2,1,0.719258,0.129205,[25 34] ; [3 3],[25.41538462 33.58461538] ; [2.58461538 3.41538462],0
b3,1,0.719258,0.129205,[25 34] ; [3 3],[25.41538462 33.58461538] ; [2.58461538 3.41538462],0
a8,1,0.75766,0.095206,[ 9 89] ; [1 7],[ 9.24528302 88.75471698] ; [0.75471698 7.24528302],0
p9,1,0.781002,0.077292,[63 33] ; [7 3],[63.39622642 32.60377358] ; [6.60377358 3.39622642],0
a5,1,0.782032,0.076547,[45 56] ; [4 6],[44.58558559 56.41441441] ; [4.41441441 5.58558559],0
s4,1,0.794181,0.068061,[13 88] ; [1 9],[12.73873874 88.26126126] ; [1.26126126 8.73873874],0
p7,1,0.794635,0.067754,[40 60] ; [4 5],[40.36697248 59.63302752] ; [3.63302752 5.36697248],0
v2,1,0.798808,0.064969,[26 73] ; [3 7],[26.33944954 72.66055046] ; [2.66055046 7.33944954],0
u2,1,0.816654,0.053755,[16 30] ; [2 3],[16.23529412 29.76470588] ; [1.76470588 3.23529412],0
a2,1,0.908647,0.013166,[ 9 92] ; [1 9],[ 9.0990991 91.9009009] ; [0.9009009 9.0990991],0
a3,1,0.949359,0.004034,[55 46] ; [5 4],[55.09090909 45.90909091] ; [4.90909091 4.09090909],0
