Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,35.446889,[72 10] ; [113 112],[49.41368078 32.58631922] ; [135.58631922  89.41368078],1
s7,1,3e-06,21.604165,[56 24] ; [ 86 131],[38.24915825 41.75084175] ; [103.75084175 113.24915825],1
p5,1,9.2e-05,15.284917,[16 69] ; [ 11 216],[ 7.35576923 77.64423077] ; [ 19.64423077 207.35576923],1
s2,1,0.00017,14.141402,[52 33] ; [ 85 142],[37.32371795 47.67628205] ; [ 99.67628205 127.32371795],1
n6,1,0.001465,10.121905,[80  4] ; [182  44],[70.99354839 13.00645161] ; [191.00645161  34.99354839],0
s4,1,0.001935,9.609985,[21 62] ; [ 25 200],[12.3961039 70.6038961] ; [ 33.6038961 191.3961039],0
p6,1,0.002354,9.25109,[36 49] ; [ 55 168],[25.11363636 59.88636364] ; [ 65.88636364 157.11363636],0
p4,1,0.00324,8.667017,[55 29] ; [105 120],[43.49514563 40.50485437] ; [116.50485437 108.49514563],0
p9,1,0.004002,8.282822,[72 10] ; [162  63],[62.50162866 19.49837134] ; [171.49837134  53.50162866],0
n5,1,0.005102,7.842958,[77  7] ; [175  50],[68.50485437 15.49514563] ; [183.49514563  41.50485437],0
p10,1,0.010665,6.520236,[71 13] ; [158  67],[62.25242718 21.74757282] ; [166.74757282  58.25242718],0
r1,1,0.012093,6.297119,[73 12] ; [164  63],[64.56730769 20.43269231] ; [172.43269231  54.56730769],0
s3,1,0.017418,5.653709,[54 30] ; [110 114],[44.72727273 39.27272727] ; [119.27272727 104.72727273],0
p3,1,0.019446,5.460926,[46 39] ; [ 89 137],[36.89710611 48.10289389] ; [ 98.10289389 127.89710611],0
s8,1,0.01993,5.418028,[39 45] ; [ 73 154],[30.25080386 53.74919614] ; [ 81.74919614 145.25080386],0
p2,1,0.025729,4.974127,[72 13] ; [164  62],[64.50160772 20.49839228] ; [171.49839228  54.50160772],0
p7,1,0.026124,4.947791,[56 27] ; [120 105],[47.42857143 35.57142857] ; [128.57142857  96.42857143],0
r4,1,0.035368,4.427344,[77  8] ; [183  44],[70.83333333 14.16666667] ; [189.16666667  37.83333333],0
p12,1,0.061034,3.509073,[ 9 75] ; [ 11 216],[ 5.40192926 78.59807074] ; [ 14.59807074 212.40192926],0
u1,1,0.062282,3.475541,[19 66] ; [ 31 196],[13.62179487 71.37820513] ; [ 36.37820513 190.62179487],0
u3,1,0.064044,3.429438,[15 10] ; [27 43],[11.05263158 13.94736842] ; [30.94736842 39.05263158],0
r2,1,0.068083,3.328655,[80  4] ; [196  26],[75.76470588  8.23529412] ; [200.23529412  21.76470588],0
n2,1,0.077353,3.119664,[17  3] ; [43 24],[13.79310345  6.20689655] ; [46.20689655 20.79310345],0
v4,1,0.104653,2.633163,[79  5] ; [199  28],[75.08681672  8.91318328] ; [202.91318328  24.08681672],0
a5,1,0.122315,2.387425,[67 18] ; [159  68],[61.57051282 23.42948718] ; [164.42948718  62.57051282],0
n3,1,0.147299,2.1,[16  4] ; [40 24],[13.33333333  6.66666667] ; [42.66666667 21.33333333],0
d2,1,0.189046,1.725036,[47 37] ; [107 118],[41.86407767 42.13592233] ; [112.13592233 112.86407767],0
a4,1,0.209418,1.575443,[44 41] ; [ 99 127],[39.08360129 45.91639871] ; [103.91639871 122.08360129],0
p1,1,0.223877,1.479348,[10 74] ; [ 17 209],[ 7.31612903 76.68387097] ; [ 19.68387097 206.31612903],0
v2,1,0.254907,1.296209,[38 46] ; [ 83 135],[33.65562914 50.34437086] ; [ 87.34437086 130.65562914],0
s1,1,0.262866,1.253599,[ 6 79] ; [  9 216],[ 4.11290323 80.88709677] ; [ 10.88709677 214.11290323],0
b5,1,0.348754,0.877987,[41 44] ; [123 104],[44.67948718 40.32051282] ; [119.32051282 107.67948718],0
b2,1,0.35537,0.854191,[20 32] ; [42 92],[17.33333333 34.66666667] ; [44.66666667 89.33333333],0
b3,1,0.35537,0.854191,[20 32] ; [42 92],[17.33333333 34.66666667] ; [44.66666667 89.33333333],0
p8,1,0.425883,0.634024,[40 43] ; [ 97 128],[36.91883117 46.08116883] ; [100.08116883 124.91883117],0
v3,1,0.457173,0.552806,[28 56] ; [ 64 157],[25.33770492 58.66229508] ; [ 66.66229508 154.33770492],0
u2,1,0.471668,0.518065,[13 10] ; [34 37],[11.5 11.5] ; [35.5 35.5],0
a2,1,0.525804,0.402494,[22 63] ; [ 51 176],[19.88782051 65.11217949] ; [ 53.11217949 173.88782051],0
r3,1,0.600529,0.274199,[74  8] ; [200  27],[72.71197411  9.28802589] ; [201.28802589  25.71197411],0
