Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.1e-05,19.288298,[28 35] ; [46  9],[39.50847458 23.49152542] ; [34.49152542 20.50847458],1
r3,1,4.5e-05,16.639883,[38 25] ; [51  4],[47.51694915 15.48305085] ; [41.48305085 13.51694915],1
v4,1,0.00016,14.245954,[39 23] ; [50  4],[47.56896552 14.43103448] ; [41.43103448 12.56896552],1
p10,1,0.000229,13.575631,[18 43] ; [35 20],[27.87068966 33.12931034] ; [25.12931034 29.87068966],1
p2,1,0.001407,10.196906,[27 36] ; [39 15],[35.53846154 27.46153846] ; [30.46153846 23.53846154],0
p9,1,0.00194,9.605087,[27 34] ; [40 15],[35.23275862 25.76724138] ; [31.76724138 23.23275862],0
n2,1,0.002123,9.439796,[17 18] ; [18  2],[22.27272727 12.72727273] ; [12.72727273  7.27272727],0
s8,1,0.004828,7.942649,[ 8 55] ; [19 36],[14.41525424 48.58474576] ; [12.58474576 42.41525424],0
p4,1,0.009985,6.637542,[12 51] ; [22 32],[18.30769231 44.69230769] ; [15.69230769 38.30769231],0
v2,1,0.017839,5.61188,[16 43] ; [25 26],[21.99090909 37.00909091] ; [19.00909091 31.99090909],0
s6,1,0.025648,4.979568,[19 43] ; [28 27],[24.90598291 37.09401709] ; [22.09401709 32.90598291],0
b1,1,0.030797,4.664251,[40 23] ; [24 31],[34.16949153 28.83050847] ; [29.83050847 25.16949153],0
p7,1,0.033724,4.508645,[16 47] ; [23 29],[21.36521739 41.63478261] ; [17.63478261 34.36521739],0
r1,1,0.042151,4.129136,[34 29] ; [39 15],[39.30769231 23.69230769] ; [33.69230769 20.30769231],0
r2,1,0.053139,3.739529,[48 14] ; [49  5],[51.84482759 10.15517241] ; [45.15517241  8.84482759],0
a1,1,0.077863,3.108954,[ 8 55] ; [ 2 53],[ 5.33898305 57.66101695] ; [ 4.66101695 50.33898305],0
s3,1,0.091347,2.850475,[27 35] ; [32 22],[31.53448276 30.46551724] ; [27.46551724 26.53448276],0
a5,1,0.100436,2.698602,[33 30] ; [37 18],[37.37288136 25.62711864] ; [32.62711864 22.37288136],0
b5,1,0.115252,2.480684,[31 32] ; [35 20],[35.23728814 27.76271186] ; [30.76271186 24.23728814],0
u2,1,0.1234,2.373626,[14 11] ; [12  3],[16.25  8.75] ; [9.75 5.25],0
s2,1,0.129129,2.302941,[19 44] ; [24 31],[22.95762712 40.04237288] ; [20.04237288 34.95762712],0
p1,1,0.133881,2.246914,[ 7 56] ; [ 2 52],[ 4.84615385 58.15384615] ; [ 4.15384615 49.84615385],0
a3,1,0.137477,2.205976,[37 25] ; [40 15],[40.8034188 21.1965812] ; [36.1965812 18.8034188],0
u3,1,0.144089,2.133742,[13 13] ; [11  4],[15.2195122 10.7804878] ; [8.7804878 6.2195122],0
b4,1,0.150522,2.06695,[33 30] ; [36 19],[36.83898305 26.16101695] ; [32.16101695 22.83898305],0
d4,1,0.154602,2.026245,[43 18] ; [45 10],[46.27586207 14.72413793] ; [41.72413793 13.27586207],0
v3,1,0.154765,2.02465,[ 9 48] ; [14 38],[12.02752294 44.97247706] ; [10.97247706 41.02752294],0
d2,1,0.189476,1.721688,[30 32] ; [20 35],[26.4957265 35.5042735] ; [23.5042735 31.4957265],0
p5,1,0.238964,1.386694,[ 1 62] ; [ 3 51],[ 2.15384615 60.84615385] ; [ 1.84615385 52.15384615],0
a2,1,0.253404,1.304439,[13 50] ; [ 7 48],[10.6779661 52.3220339] ; [ 9.3220339 45.6779661],0
s1,1,0.348277,0.879724,[ 5 58] ; [ 2 51],[ 3.80172414 59.19827586] ; [ 3.19827586 49.80172414],0
n1,1,0.349396,0.87565,[11 24] ; [ 8 10],[12.54716981 22.45283019] ; [ 6.45283019 11.54716981],0
s4,1,0.351422,0.868317,[12 51] ; [ 7 48],[10.1440678 52.8559322] ; [ 8.8559322 46.1440678],0
u1,1,0.374957,0.787171,[ 4 59] ; [ 6 49],[ 5.33898305 57.66101695] ; [ 4.66101695 50.33898305],0
d1,1,0.406383,0.689359,[25 38] ; [26 29],[27.22881356 35.77118644] ; [23.77118644 31.22881356],0
v1,1,0.449963,0.570744,[23 40] ; [23 30],[24.98275862 38.01724138] ; [21.01724138 31.98275862],0
n3,1,0.489402,0.47784,[20 13] ; [14  6],[21.16981132 11.83018868] ; [12.83018868  7.16981132],0
a4,1,0.491016,0.4743,[28 35] ; [21 34],[26.16101695 36.83898305] ; [22.83898305 32.16101695],0
s5,1,0.560021,0.339668,[11 46] ; [ 8 45],[ 9.84545455 47.15454545] ; [ 9.15454545 43.84545455],0
p3,1,0.639985,0.218761,[17 45] ; [13 42],[15.8974359 46.1025641] ; [14.1025641 40.8974359],0
d3,1,0.642598,0.215361,[34 27] ; [33 22],[35.23275862 25.76724138] ; [31.76724138 23.23275862],0
n4,1,0.645584,0.211513,[34 29] ; [32 23],[35.23728814 27.76271186] ; [30.76271186 24.23728814],0
n5,1,0.651468,0.204054,[29 33] ; [23 31],[27.79310345 34.20689655] ; [24.20689655 29.79310345],0
d5,1,0.732762,0.116591,[41 21] ; [38 17],[41.86324786 20.13675214] ; [37.13675214 17.86324786],0
p6,1,0.735038,0.114535,[ 8 54] ; [ 8 45],[ 8.62608696 53.37391304] ; [ 7.37391304 45.62608696],0
a6,1,0.747328,0.10379,[39 23] ; [33 22],[38.15384615 23.84615385] ; [33.84615385 21.15384615],0
a7,1,0.813753,0.055501,[38 25] ; [32 23],[37.37288136 25.62711864] ; [32.62711864 22.37288136],0
s7,1,0.87772,0.023673,[16 41] ; [15 36],[16.36111111 40.63888889] ; [14.63888889 36.36111111],0
a8,1,0.931851,0.007313,[ 7 54] ; [ 6 44],[ 7.14414414 53.85585586] ; [ 5.85585586 44.14414414],0
b2,1,0.987443,0.000248,[11 24] ; [10 22],[10.97014925 24.02985075] ; [10.02985075 21.97014925],0
b3,1,0.987443,0.000248,[11 24] ; [10 22],[10.97014925 24.02985075] ; [10.02985075 21.97014925],0
