Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.2e-05,16.762772,[ 1 13] ; [22  8],[7.31818182 6.68181818] ; [15.68181818 14.31818182],1
s3,1,0.002036,9.516629,[5 9] ; [24  5],[9.44186047 4.55813953] ; [19.55813953  9.44186047],0
r1,1,0.008892,6.844444,[7 7] ; [26  4],[10.5  3.5] ; [22.5  7.5],0
r2,1,0.014014,6.036435,[10  4] ; [29  1],[12.40909091  1.59090909] ; [26.59090909  3.40909091],0
s2,1,0.031203,4.641758,[5 9] ; [21  9],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
v4,1,0.05181,3.781905,[11  3] ; [29  1],[12.72727273  1.27272727] ; [27.27272727  2.72727273],0
a3,1,0.076916,3.128889,[7 7] ; [23  7],[9.54545455 4.45454545] ; [20.45454545  9.54545455],0
s6,1,0.081873,3.027318,[8 3] ; [27  2],[9.625 1.375] ; [25.375  3.625],0
u2,1,0.108809,2.571429,[5 2] ; [2 5],[3.5 3.5] ; [3.5 3.5],0
a6,1,0.109287,2.564498,[11  3] ; [16 14],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
r4,1,0.116712,2.460894,[10  4] ; [27  3],[11.77272727  2.22727273] ; [25.22727273  4.77272727],0
b2,1,0.124238,2.363064,[1 7] ; [ 9 12],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
b3,1,0.124238,2.363064,[1 7] ; [ 9 12],[2.75862069 5.24137931] ; [ 7.24137931 13.75862069],0
p6,1,0.131475,2.275006,[5 8] ; [19 11],[7.25581395 5.74418605] ; [16.74418605 13.25581395],0
n5,1,0.1507,2.065153,[11  3] ; [28  2],[12.40909091  1.59090909] ; [26.59090909  3.40909091],0
p9,1,0.1507,2.065153,[11  3] ; [28  2],[12.40909091  1.59090909] ; [26.59090909  3.40909091],0
p7,1,0.171857,1.866667,[7 7] ; [20  8],[9. 5.] ; [18. 10.],0
v1,1,0.19043,1.714286,[5 9] ; [16 12],[7. 7.] ; [14. 14.],0
b5,1,0.195431,1.67619,[9 5] ; [13 17],[7. 7.] ; [15. 15.],0
p12,1,0.259512,1.271356,[ 1 13] ; [ 6 23],[ 2.27906977 11.72093023] ; [ 4.72093023 24.27906977],0
p8,1,0.262193,1.257143,[9 5] ; [24  6],[10.5  3.5] ; [22.5  7.5],0
d1,1,0.290269,1.118373,[7 7] ; [20 10],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
p2,1,0.296482,1.089953,[9 4] ; [25  5],[10.27906977  2.72093023] ; [23.72093023  6.27906977],0
b4,1,0.348928,0.877352,[10  4] ; [17 13],[8.59090909 5.40909091] ; [18.40909091 11.59090909],0
b1,1,0.375399,0.785714,[9 5] ; [15 15],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
s5,1,0.385039,0.754551,[7 4] ; [14 15],[5.775 5.225] ; [15.225 13.775],0
s1,1,0.391212,0.735171,[ 1 13] ; [ 5 25],[ 1.90909091 12.09090909] ; [ 4.09090909 25.90909091],0
p4,1,0.421246,0.646838,[11  2] ; [22  8],[9.97674419 3.02325581] ; [23.02325581  6.97674419],0
v3,1,0.462941,0.538776,[ 4 10] ; [12 18],[5.09090909 8.90909091] ; [10.90909091 19.09090909],0
a5,1,0.527437,0.399328,[10  4] ; [24  6],[10.81818182  3.18181818] ; [23.18181818  6.81818182],0
a1,1,0.546748,0.363175,[ 1 13] ; [ 4 26],[ 1.59090909 12.40909091] ; [ 3.40909091 26.59090909],0
a4,1,0.658617,0.195209,[6 8] ; [15 15],[6.68181818 7.31818182] ; [14.31818182 15.68181818],0
a8,1,0.670648,0.180846,[ 2 11] ; [ 3 25],[ 1.58536585 11.41463415] ; [ 3.41463415 24.58536585],0
r3,1,0.676523,0.174066,[12  2] ; [27  3],[12.40909091  1.59090909] ; [26.59090909  3.40909091],0
a2,1,0.702871,0.145503,[ 3 11] ; [ 5 25],[ 2.54545455 11.45454545] ; [ 5.45454545 24.54545455],0
d3,1,0.704656,0.143673,[9 5] ; [21  9],[9.54545455 4.45454545] ; [20.45454545  9.54545455],0
d5,1,0.708597,0.139683,[10  4] ; [23  7],[10.5  3.5] ; [22.5  7.5],0
p10,1,0.720952,0.127582,[11  2] ; [24  6],[10.58139535  2.41860465] ; [24.41860465  5.58139535],0
p3,1,0.752102,0.099773,[10  4] ; [20 10],[9.54545455 4.45454545] ; [20.45454545  9.54545455],0
d2,1,0.813142,0.055873,[8 6] ; [16 14],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
a7,1,0.857514,0.032234,[8 6] ; [18 12],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
