Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001763,9.781488,[5 5] ; [ 3 34],[1.70212766 8.29787234] ; [ 6.29787234 30.70212766],0
p11,1,0.004052,8.260577,[8 2] ; [11 26],[4.04255319 5.95744681] ; [14.95744681 22.04255319],0
d5,1,0.012911,6.181284,[9 1] ; [17 20],[5.53191489 4.46808511] ; [20.46808511 16.53191489],0
n6,1,0.028108,4.821429,[7 3] ; [11 24],[4. 6.] ; [14. 21.],0
s8,1,0.047104,3.941687,[2 8] ; [ 1 36],[0.63829787 9.36170213] ; [ 2.36170213 34.63829787],0
r1,1,0.050892,3.811835,[6 4] ; [10 27],[3.40425532 6.59574468] ; [12.59574468 24.40425532],0
n2,1,0.059346,3.555556,[5 1] ; [ 7 11],[3. 3.] ; [9. 9.],0
n5,1,0.111574,2.53178,[4 6] ; [25 12],[6.17021277 3.82978723] ; [22.82978723 14.17021277],0
p8,1,0.141252,2.164265,[3 7] ; [ 4 32],[1.52173913 8.47826087] ; [ 5.47826087 30.52173913],0
p2,1,0.184792,1.758662,[5 5] ; [10 26],[3.26086957 6.73913043] ; [11.73913043 24.26086957],0
p9,1,0.200328,1.639984,[5 3] ; [14 23],[3.37777778 4.62222222] ; [15.62222222 21.37777778],0
p7,1,0.204249,1.611731,[1 9] ; [11 26],[2.55319149 7.44680851] ; [ 9.44680851 27.55319149],0
b4,1,0.230359,1.438643,[8 2] ; [22 15],[6.38297872 3.61702128] ; [23.61702128 13.38297872],0
d4,1,0.290871,1.115584,[8 2] ; [23 14],[6.59574468 3.40425532] ; [24.40425532 12.59574468],0
d2,1,0.303172,1.06019,[6 4] ; [15 21],[4.56521739 5.43478261] ; [16.43478261 19.56521739],0
d1,1,0.304971,1.052332,[5 5] ; [12 25],[3.61702128 6.38297872] ; [13.38297872 23.61702128],0
p4,1,0.325661,0.966074,[3 7] ; [ 6 31],[1.91489362 8.08510638] ; [ 7.08510638 29.91489362],0
a4,1,0.334068,0.933063,[5 5] ; [12 24],[3.69565217 6.30434783] ; [13.30434783 22.69565217],0
n1,1,0.345779,0.888889,[4 2] ; [ 8 10],[3. 3.] ; [9. 9.],0
n4,1,0.362299,0.82991,[8 2] ; [24 13],[6.80851064 3.19148936] ; [25.19148936 11.80851064],0
r2,1,0.412886,0.670476,[6 3] ; [18 17],[4.90909091 4.09090909] ; [19.09090909 15.90909091],0
a7,1,0.430213,0.622248,[6 4] ; [17 20],[4.89361702 5.10638298] ; [18.10638298 18.89361702],0
b2,1,0.462562,0.539688,[2 5] ; [11 14],[2.84375 4.15625] ; [10.15625 14.84375],0
b3,1,0.462562,0.539688,[2 5] ; [11 14],[2.84375 4.15625] ; [10.15625 14.84375],0
p10,1,0.497409,0.46046,[4 5] ; [12 25],[3.13043478 5.86956522] ; [12.86956522 24.13043478],0
p3,1,0.505499,0.443373,[1 9] ; [ 7 30],[1.70212766 8.29787234] ; [ 6.29787234 30.70212766],0
a6,1,0.52404,0.405934,[4 6] ; [19 18],[4.89361702 5.10638298] ; [18.10638298 18.89361702],0
v1,1,0.580941,0.304716,[3 6] ; [ 9 28],[2.34782609 6.65217391] ; [ 9.65217391 27.34782609],0
s7,1,0.587043,0.294987,[2 7] ; [ 5 29],[1.46511628 7.53488372] ; [ 5.53488372 28.46511628],0
u1,1,0.597941,0.278112,[1 9] ; [ 2 35],[0.63829787 9.36170213] ; [ 2.36170213 34.63829787],0
v3,1,0.60922,0.261313,[2 8] ; [ 5 32],[1.4893617 8.5106383] ; [ 5.5106383 31.4893617],0
s1,1,0.624213,0.23999,[1 9] ; [ 6 31],[1.4893617 8.5106383] ; [ 5.5106383 31.4893617],0
a5,1,0.626745,0.236501,[6 4] ; [19 18],[5.31914894 4.68085106] ; [19.68085106 17.31914894],0
s3,1,0.742234,0.108173,[3 6] ; [10 26],[2.6 6.4] ; [10.4 25.6],0
s5,1,0.774304,0.082225,[1 8] ; [ 3 34],[0.7826087 8.2173913] ; [ 3.2173913 33.7826087],0
a8,1,0.826444,0.048077,[1 8] ; [ 5 31],[1.2 7.8] ; [ 4.8 31.2],0
s2,1,0.847798,0.036837,[1 8] ; [ 5 32],[1.17391304 7.82608696] ; [ 4.82608696 32.17391304],0
b5,1,0.853975,0.033874,[4 6] ; [16 21],[4.25531915 5.74468085] ; [15.74468085 21.25531915],0
d3,1,0.853975,0.033874,[4 6] ; [16 21],[4.25531915 5.74468085] ; [15.74468085 21.25531915],0
b1,1,0.853975,0.033874,[6 4] ; [21 16],[5.74468085 4.25531915] ; [21.25531915 15.74468085],0
s4,1,0.941183,0.005444,[1 9] ; [ 4 33],[1.06382979 8.93617021] ; [ 3.93617021 33.06382979],0
a2,1,0.941183,0.005444,[1 9] ; [ 4 33],[1.06382979 8.93617021] ; [ 3.93617021 33.06382979],0
a3,1,0.949217,0.004056,[6 4] ; [22 14],[6.08695652 3.91304348] ; [21.91304348 14.08695652],0
