Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,53.839771,[53 63] ; [203  41],[82.48888889 33.51111111] ; [173.51111111  70.48888889],1
d3,1,0.0,52.959438,[42 74] ; [185  59],[73.14444444 42.85555556] ; [153.85555556  90.14444444],1
a2,1,1e-05,19.553116,[  8 108] ; [ 66 178],[23.84444444 92.15555556] ; [ 50.15555556 193.84444444],1
d5,1,6.1e-05,16.081594,[77 39] ; [207  37],[91.51111111 24.48888889] ; [192.48888889  51.51111111],1
r4,1,9.5e-05,15.232743,[85 31] ; [218  26],[97.63333333 18.36666667] ; [205.36666667  38.63333333],1
r3,1,0.000227,13.593334,[95 21] ; [229  14],[104.6908078  11.3091922] ; [219.3091922  23.6908078],1
u1,1,0.000291,13.129342,[  5 111] ; [ 45 199],[16.11111111 99.88888889] ; [ 33.88888889 210.11111111],1
u3,1,0.000573,11.861879,[12 35] ; [41 30],[21.11016949 25.88983051] ; [31.88983051 39.11016949],1
d4,1,0.001276,10.377159,[75 41] ; [196  48],[87.32222222 28.67777778] ; [183.67777778  60.32222222],0
b5,1,0.002938,8.845756,[55 61] ; [156  88],[67.98888889 48.01111111] ; [143.01111111 100.98888889],0
r1,1,0.00354,8.505862,[76 40] ; [193  49],[87.16201117 28.83798883] ; [181.83798883  60.16201117],0
v4,1,0.007835,7.070701,[96 19] ; [226  18],[103.14763231  11.85236769] ; [218.85236769  25.14763231],0
a5,1,0.008272,6.973535,[74 42] ; [188  56],[84.42222222 31.57777778] ; [177.57777778  66.42222222],0
v2,1,0.009569,6.713443,[47 65] ; [133 101],[58.26589595 53.73410405] ; [121.73410405 112.26589595],0
d1,1,0.011239,6.427098,[50 66] ; [140 104],[61.22222222 54.77777778] ; [128.77777778 115.22222222],0
b1,1,0.014631,5.96036,[56 60] ; [ 85 159],[45.43333333 70.56666667] ; [ 95.56666667 148.43333333],0
v1,1,0.014721,5.949517,[45 69] ; [127 111],[55.70454545 58.29545455] ; [116.29545455 121.70454545],0
a3,1,0.024711,5.044044,[69 47] ; [172  69],[78.30812325 37.69187675] ; [162.69187675  78.30812325],0
r2,1,0.025386,4.997338,[97 15] ; [225  15],[102.45454545   9.54545455] ; [219.54545455  20.45454545],0
p7,1,0.049103,3.871828,[59 55] ; [150  89],[67.49575071 46.50424929] ; [141.50424929  97.49575071],0
u2,1,0.057312,3.6135,[17 29] ; [39 32],[22.01709402 23.98290598] ; [33.98290598 37.01709402],0
p2,1,0.066722,3.361868,[82 31] ; [198  46],[88.62745098 24.37254902] ; [191.37254902  52.62745098],0
p4,1,0.068247,3.324693,[52 61] ; [137 106],[59.99157303 53.00842697] ; [129.00842697 113.99157303],0
s5,1,0.070517,3.270933,[27 85] ; [ 38 199],[20.85959885 91.14040115] ; [ 44.14040115 192.85959885],0
p11,1,0.076927,3.128668,[83 33] ; [195  49],[89.57777778 26.42222222] ; [188.42222222  55.57777778],0
a1,1,0.115291,2.480158,[  3 113] ; [ 16 228],[  6.12222222 109.87777778] ; [ 12.87777778 231.12222222],0
a8,1,0.127748,2.319664,[11 98] ; [ 35 179],[15.52321981 93.47678019] ; [ 30.47678019 183.52321981],0
p8,1,0.180699,1.791867,[50 63] ; [123 114],[55.85428571 57.14571429] ; [117.14571429 119.85428571],0
s4,1,0.185294,1.754642,[ 13 103] ; [ 17 224],[  9.74789916 106.25210084] ; [ 20.25210084 220.74789916],0
n6,1,0.202709,1.622751,[91 25] ; [204  39],[95.32033426 20.67966574] ; [199.67966574  43.32033426],0
n2,1,0.244911,1.3521,[21 13] ; [39 14],[23.44827586 10.55172414] ; [36.55172414 16.44827586],0
s6,1,0.249806,1.324386,[47 66] ; [116 125],[52.03107345 60.96892655] ; [110.96892655 130.03107345],0
p10,1,0.252351,1.310244,[79 33] ; [183  57],[83.36363636 28.63636364] ; [178.63636364  61.36363636],0
s8,1,0.295223,1.09565,[27 89] ; [ 69 173],[31.10614525 84.89385475] ; [ 64.89385475 177.10614525],0
d2,1,0.306027,1.047745,[58 56] ; [110 134],[53.4972067 60.5027933] ; [114.5027933 129.4972067],0
p3,1,0.306628,1.045147,[49 65] ; [119 125],[53.4972067 60.5027933] ; [114.5027933 129.4972067],0
v3,1,0.315466,1.007653,[36 76] ; [ 90 149],[40.20512821 71.79487179] ; [ 85.79487179 153.20512821],0
b2,1,0.337079,0.92151,[33 43] ; [56 96],[29.66666667 46.33333333] ; [59.33333333 92.66666667],0
b3,1,0.337079,0.92151,[33 43] ; [56 96],[29.66666667 46.33333333] ; [59.33333333 92.66666667],0
p6,1,0.413813,0.667819,[32 80] ; [ 79 161],[35.31818182 76.68181818] ; [ 75.68181818 164.31818182],0
a4,1,0.447257,0.577593,[46 68] ; [108 134],[49.31460674 64.68539326] ; [104.68539326 137.31460674],0
s3,1,0.485074,0.487434,[30 83] ; [ 56 186],[27.37464789 85.62535211] ; [ 58.62535211 183.37464789],0
